y_m,u_l_m_per_s
0.0,0.0
0.0007936508,1.166146
0.0015873016,1.2952291
0.0023809525,1.3706597
0.0031746032,1.424169
0.003968254,1.4656713
0.004761905,1.4995803
0.0055555557,1.5282494
0.0063492064,1.5530834
0.007142857,1.5749885
0.007936508,1.5945832
0.008730159,1.6123086
0.00952381,1.6284907
0.010317461,1.6433766
0.011111111,1.6571589
0.011904762,1.66999
0.012698413,1.6819924
0.013492064,1.6932671
0.014285714,1.7038971
0.015079365,1.7139523
0.015873017,1.7234915
0.016666668,1.7325653
0.017460318,1.7412169
0.018253969,1.7494837
0.01904762,1.7573987
0.01984127,1.7649906
0.020634921,1.7722846
0.021428572,1.7793034
0.022222223,1.7860669
0.023015874,1.792593
0.023809524,1.7988977
0.024603175,1.8049959
0.025396826,1.7792735
0.026190476,1.7218776
0.026984127,1.6644816
0.027777778,1.6070858
0.028571429,1.5496899
0.02936508,1.492294
0.03015873,1.434898
0.030952381,1.3775021
0.031746034,1.3201061
0.032539684,1.2627102
0.033333335,1.2053143
0.034126986,1.1479185
0.034920637,1.0905225
0.035714287,1.0331266
0.036507938,0.97573066
0.03730159,0.9183347
0.03809524,0.8609388
0.03888889,0.8035429
0.03968254,0.746147
0.04047619,0.68875104
0.041269843,0.6313551
0.042063493,0.57395923
0.042857144,0.5165633
0.043650795,0.45916736
0.044444446,0.40177146
0.045238096,0.34437552
0.046031747,0.28697962
0.046825398,0.22958368
0.04761905,0.17218776
0.0484127,0.11479184
0.04920635,0.05739592
0.05,0.0
