y_m,u_l_m_per_s
0.0,0.0
0.0007936508,1.4107556
0.0015873016,1.5559907
0.0023809525,1.6408598
0.0031746032,1.7010646
0.003968254,1.7477602
0.004761905,1.785912
0.0055555557,1.8181684
0.0063492064,1.84611
0.007142857,1.8707559
0.007936508,1.8928025
0.008730159,1.9127458
0.00952381,1.9309528
0.010317461,1.9477015
0.011111111,1.9632083
0.011904762,1.9776448
0.012698413,1.9911492
0.013492064,2.0038347
0.014285714,2.0157948
0.015079365,2.0271082
0.015873017,2.037841
0.016666668,2.0480502
0.017460318,2.0577843
0.018253969,2.0670855
0.01904762,2.075991
0.01984127,2.0845327
0.020634921,2.0927396
0.021428572,2.1006365
0.022222223,2.1082463
0.023015874,2.115589
0.023809524,2.1226828
0.024603175,2.1295438
0.025396826,2.0990365
0.026190476,2.0313256
0.026984127,1.9636147
0.027777778,1.8959038
0.028571429,1.8281931
0.02936508,1.7604822
0.03015873,1.6927713
0.030952381,1.6250604
0.031746034,1.5573496
0.032539684,1.4896388
0.033333335,1.4219279
0.034126986,1.354217
0.034920637,1.2865062
0.035714287,1.2187953
0.036507938,1.1510845
0.03730159,1.0833737
0.03809524,1.0156628
0.03888889,0.9479519
0.03968254,0.8802411
0.04047619,0.8125302
0.041269843,0.7448194
0.042063493,0.6771085
0.042857144,0.60939765
0.043650795,0.54168683
0.044444446,0.47397596
0.045238096,0.4062651
0.046031747,0.33855426
0.046825398,0.27084342
0.04761905,0.20313255
0.0484127,0.13542171
0.04920635,0.067710854
0.05,0.0
