y_m,u_l_m_per_s
0.0,0.0
0.0007936508,0.81985664
0.0015873016,0.9103741
0.0023809525,0.96326864
0.0031746032,1.0007912
0.003968254,1.0298941
0.004761905,1.0536722
0.0055555557,1.0737759
0.0063492064,1.0911905
0.007142857,1.106551
0.007936508,1.1202915
0.008730159,1.1327212
0.00952381,1.1440686
0.010317461,1.1545072
0.011111111,1.1641718
0.011904762,1.1731693
0.012698413,1.1815859
0.013492064,1.1894921
0.014285714,1.1969463
0.015079365,1.2039973
0.015873017,1.2106864
0.016666668,1.2170494
0.017460318,1.223116
0.018253969,1.2289131
0.01904762,1.2344635
0.01984127,1.2397871
0.020634921,1.2449019
0.021428572,1.2498237
0.022222223,1.2545664
0.023015874,1.2591428
0.023809524,1.263564
0.024603175,1.2678401
0.025396826,1.2497692
0.026190476,1.209454
0.026984127,1.1691389
0.027777778,1.1288238
0.028571429,1.0885086
0.02936508,1.0481935
0.03015873,1.0078784
0.030952381,0.9675632
0.031746034,0.9272481
0.032539684,0.88693297
0.033333335,0.8466178
0.034126986,0.80630267
0.034920637,0.7659876
0.035714287,0.7256724
0.036507938,0.6853573
0.03730159,0.6450422
0.03809524,0.604727
0.03888889,0.5644119
0.03968254,0.5240967
0.04047619,0.4837816
0.041269843,0.44346648
0.042063493,0.40315133
0.042857144,0.3628362
0.043650795,0.3225211
0.044444446,0.28220594
0.045238096,0.2418908
0.046031747,0.20157567
0.046825398,0.16126055
0.04761905,0.1209454
0.0484127,0.08063027
0.04920635,0.040315136
0.05,0.0
