y_m,u_l_m_per_s
0.0,0.0
0.0007936508,0.15512858
0.0015873016,0.17702492
0.0023809525,0.1898202
0.0031746032,0.19889697
0.003968254,0.20593701
0.004761905,0.21168898
0.0055555557,0.21655211
0.0063492064,0.22076471
0.007142857,0.22448047
0.007936508,0.2278043
0.008730159,0.23081107
0.00952381,0.23355603
0.010317461,0.23608114
0.011111111,0.23841903
0.011904762,0.24059553
0.012698413,0.24263154
0.013492064,0.24454406
0.014285714,0.24634722
0.015079365,0.24805288
0.015873017,0.24967103
0.016666668,0.2512102
0.017460318,0.25267777
0.018253969,0.2540801
0.01904762,0.25542268
0.01984127,0.2567105
0.020634921,0.2579478
0.021428572,0.25913838
0.022222223,0.26028568
0.023015874,0.26139268
0.023809524,0.26246217
0.024603175,0.26349658
0.025396826,0.25981084
0.026190476,0.25142986
0.026984127,0.24304885
0.027777778,0.23466785
0.028571429,0.22628686
0.02936508,0.21790586
0.03015873,0.20952487
0.030952381,0.20114388
0.031746034,0.19276288
0.032539684,0.18438189
0.033333335,0.1760009
0.034126986,0.1676199
0.034920637,0.1592389
0.035714287,0.15085791
0.036507938,0.14247692
0.03730159,0.13409592
0.03809524,0.12571493
0.03888889,0.117333926
0.03968254,0.10895293
0.04047619,0.10057194
0.041269843,0.09219094
0.042063493,0.08380995
0.042857144,0.075428955
0.043650795,0.06704796
0.044444446,0.058666963
0.045238096,0.05028597
0.046031747,0.041904975
0.046825398,0.03352398
0.04761905,0.025142984
0.0484127,0.01676199
0.04920635,0.008380995
0.05,0.0
