y_m,u_l_m_per_s
0.0,0.0
0.0007936508,0.32698464
0.0015873016,0.3671545
0.0023809525,0.39062807
0.0031746032,0.40727982
0.003968254,0.4201951
0.004761905,0.43074736
0.0055555557,0.439669
0.0063492064,0.44739723
0.007142857,0.45421395
0.007936508,0.46031168
0.008730159,0.46582773
0.00952381,0.4708635
0.010317461,0.47549593
0.011111111,0.4797849
0.011904762,0.48377782
0.012698413,0.48751295
0.013492064,0.49102154
0.014285714,0.49432954
0.015079365,0.49745867
0.015873017,0.50042725
0.016666668,0.5032509
0.017460318,0.50594324
0.018253969,0.50851583
0.01904762,0.51097894
0.01984127,0.5133415
0.020634921,0.51561135
0.021428572,0.5177955
0.022222223,0.51990026
0.023015874,0.5219312
0.023809524,0.5238932
0.024603175,0.52579087
0.025396826,0.51835626
0.026190476,0.50163513
0.026984127,0.48491395
0.027777778,0.46819276
0.028571429,0.4514716
0.02936508,0.43475044
0.03015873,0.41802925
0.030952381,0.4013081
0.031746034,0.38458693
0.032539684,0.36786574
0.033333335,0.35114458
0.034126986,0.3344234
0.034920637,0.31770223
0.035714287,0.30098107
0.036507938,0.2842599
0.03730159,0.26753873
0.03809524,0.25081757
0.03888889,0.23409638
0.03968254,0.21737522
0.04047619,0.20065404
0.041269843,0.18393287
0.042063493,0.1672117
0.042857144,0.15049054
0.043650795,0.13376936
0.044444446,0.11704819
0.045238096,0.10032702
0.046031747,0.08360585
0.046825398,0.06688468
0.04761905,0.05016351
0.0484127,0.03344234
0.04920635,0.01672117
0.05,0.0
