y_m,u_l_m_per_s
0.0,0.0
0.0007936508,0.55939406
0.0015873016,0.6278238
0.0023809525,0.6678113
0.0031746032,0.6961777
0.003968254,0.71817905
0.004761905,0.7361549
0.0055555557,0.751353
0.0063492064,0.7645181
0.007142857,0.77613044
0.007936508,0.786518
0.008730159,0.79591465
0.00952381,0.8044931
0.010317461,0.81238455
0.011111111,0.8196908
0.011904762,0.8264928
0.012698413,0.8328556
0.013492064,0.83883256
0.014285714,0.84446776
0.015079365,0.8497982
0.015873017,0.8548552
0.016666668,0.8596654
0.017460318,0.8642518
0.018253969,0.8686342
0.01904762,0.87283015
0.01984127,0.8768548
0.020634921,0.8807215
0.021428572,0.88444227
0.022222223,0.8880277
0.023015874,0.89148736
0.023809524,0.8948297
0.024603175,0.8980624
0.025396826,0.8853599
0.026190476,0.8567999
0.026984127,0.82823986
0.027777778,0.7996799
0.028571429,0.7711199
0.02936508,0.7425599
0.03015873,0.7139999
0.030952381,0.6854399
0.031746034,0.6568799
0.032539684,0.6283199
0.033333335,0.59975994
0.034126986,0.5711999
0.034920637,0.5426399
0.035714287,0.5140799
0.036507938,0.48551995
0.03730159,0.45695993
0.03809524,0.42839995
0.03888889,0.39983994
0.03968254,0.37127995
0.04047619,0.34271994
0.041269843,0.31415996
0.042063493,0.28559995
0.042857144,0.25703996
0.043650795,0.22847997
0.044444446,0.19991997
0.045238096,0.17135997
0.046031747,0.14279997
0.046825398,0.11423998
0.04761905,0.085679986
0.0484127,0.05711999
0.04920635,0.028559996
0.05,0.0
