y_m,u_l_m_per_s
0.0,0.0
0.0007936508,1.2873477
0.0015873016,1.42383
0.0023809525,1.5035845
0.0031746032,1.5601611
0.003968254,1.6040424
0.004761905,1.6398951
0.0055555557,1.6702076
0.0063492064,1.6964651
0.007142857,1.7196258
0.007936508,1.7403437
0.008730159,1.7590853
0.00952381,1.7761949
0.010317461,1.7919343
0.011111111,1.8065065
0.011904762,1.820073
0.012698413,1.8327636
0.013492064,1.8446845
0.014285714,1.8559239
0.015079365,1.8665555
0.015873017,1.8766415
0.016666668,1.8862354
0.017460318,1.8953829
0.018253969,1.9041237
0.01904762,1.9124924
0.01984127,1.9205194
0.020634921,1.9282316
0.021428572,1.9356526
0.022222223,1.9428037
0.023015874,1.9497039
0.023809524,1.9563701
0.024603175,1.9628178
0.025396826,1.9347582
0.026190476,1.8723466
0.026984127,1.8099351
0.027777778,1.7475235
0.028571429,1.685112
0.02936508,1.6227005
0.03015873,1.5602889
0.030952381,1.4978774
0.031746034,1.4354658
0.032539684,1.3730543
0.033333335,1.3106427
0.034126986,1.2482312
0.034920637,1.1858196
0.035714287,1.123408
0.036507938,1.0609964
0.03730159,0.9985849
0.03809524,0.9361733
0.03888889,0.8737618
0.03968254,0.8113502
0.04047619,0.7489387
0.041269843,0.68652713
0.042063493,0.6241156
0.042857144,0.561704
0.043650795,0.49929246
0.044444446,0.4368809
0.045238096,0.37446934
0.046031747,0.3120578
0.046825398,0.24964623
0.04761905,0.18723467
0.0484127,0.124823116
0.04920635,0.062411558
0.05,0.0
