y_m,u_l_m_per_s
0.0,0.0
0.0007936508,0.13219595
0.0015873016,0.15355702
0.0023809525,0.16603951
0.0031746032,0.17489439
0.003968254,0.18176234
0.004761905,0.1873737
0.0055555557,0.19211794
0.0063492064,0.19622757
0.007142857,0.19985248
0.007936508,0.20309508
0.008730159,0.20602834
0.00952381,0.20870619
0.010317461,0.21116957
0.011111111,0.21345031
0.011904762,0.21557362
0.012698413,0.21755984
0.013492064,0.21942562
0.014285714,0.2211847
0.015079365,0.22284865
0.015873017,0.22442725
0.016666668,0.2259288
0.017460318,0.22736049
0.018253969,0.22872852
0.01904762,0.23003832
0.01984127,0.23129465
0.020634921,0.23250169
0.021428572,0.23366317
0.022222223,0.23478241
0.023015874,0.23586236
0.023809524,0.23690571
0.024603175,0.23791483
0.025396826,0.23462301
0.026190476,0.22705452
0.026984127,0.21948604
0.027777778,0.21191756
0.028571429,0.20434907
0.02936508,0.19678059
0.03015873,0.18921211
0.030952381,0.18164362
0.031746034,0.17407514
0.032539684,0.16650665
0.033333335,0.15893817
0.034126986,0.15136969
0.034920637,0.1438012
0.035714287,0.13623272
0.036507938,0.12866423
0.03730159,0.12109575
0.03809524,0.11352726
0.03888889,0.10595878
0.03968254,0.098390296
0.04047619,0.09082181
0.041269843,0.083253324
0.042063493,0.075684845
0.042857144,0.06811636
0.043650795,0.060547873
0.044444446,0.05297939
0.045238096,0.045410905
0.046031747,0.037842423
0.046825398,0.030273937
0.04761905,0.022705453
0.0484127,0.015136968
0.04920635,0.007568484
0.05,0.0
