y_m,u_l_m_per_s
0.0,0.0
0.0007936508,1.0750602
0.0015873016,1.1950136
0.0023809525,1.2651093
0.0031746032,1.314834
0.003968254,1.3534011
0.004761905,1.3849117
0.0055555557,1.411553
0.0063492064,1.4346306
0.007142857,1.4549865
0.007936508,1.4731952
0.008730159,1.489667
0.00952381,1.5047046
0.010317461,1.5185378
0.011111111,1.5313452
0.011904762,1.5432687
0.012698413,1.5544224
0.013492064,1.5648996
0.014285714,1.5747778
0.015079365,1.5841218
0.015873017,1.5929863
0.016666668,1.6014184
0.017460318,1.609458
0.018253969,1.6171402
0.01904762,1.6244954
0.01984127,1.6315503
0.020634921,1.6383284
0.021428572,1.6448507
0.022222223,1.6511359
0.023015874,1.6572003
0.023809524,1.6630592
0.024603175,1.6687261
0.025396826,1.6449597
0.026190476,1.5918964
0.026984127,1.5388333
0.027777778,1.48577
0.028571429,1.4327068
0.02936508,1.3796436
0.03015873,1.3265804
0.030952381,1.2735171
0.031746034,1.220454
0.032539684,1.1673907
0.033333335,1.1143275
0.034126986,1.0612643
0.034920637,1.0082011
0.035714287,0.95513785
0.036507938,0.90207464
0.03730159,0.8490114
0.03809524,0.7959482
0.03888889,0.742885
0.03968254,0.6898218
0.04047619,0.63675857
0.041269843,0.58369535
0.042063493,0.53063214
0.042857144,0.47756892
0.043650795,0.4245057
0.044444446,0.3714425
0.045238096,0.31837928
0.046031747,0.26531607
0.046825398,0.21225286
0.04761905,0.15918964
0.0484127,0.10612643
0.04920635,0.053063214
0.05,0.0
