y_m,u_l_m_per_s
0.0,0.0
0.0007936508,1.2895329
0.0015873016,1.4295642
0.0023809525,1.5113926
0.0031746032,1.5694404
0.003968254,1.6144627
0.004761905,1.6512477
0.0055555557,1.6823484
0.0063492064,1.7092888
0.007142857,1.7330518
0.007936508,1.7543083
0.008730159,1.7735373
0.00952381,1.7910918
0.010317461,1.8072404
0.011111111,1.8221916
0.011904762,1.8361108
0.012698413,1.8491313
0.013492064,1.8613623
0.014285714,1.8728939
0.015079365,1.8838019
0.015873017,1.8941503
0.016666668,1.9039936
0.017460318,1.913379
0.018253969,1.9223471
0.01904762,1.9309334
0.01984127,1.9391692
0.020634921,1.9470818
0.021428572,1.9546959
0.022222223,1.962033
0.023015874,1.9691126
0.023809524,1.9759521
0.024603175,1.9825674
0.025396826,1.9542749
0.026190476,1.8912338
0.026984127,1.8281927
0.027777778,1.7651515
0.028571429,1.7021104
0.02936508,1.6390693
0.03015873,1.5760282
0.030952381,1.512987
0.031746034,1.4499459
0.032539684,1.3869048
0.033333335,1.3238636
0.034126986,1.2608225
0.034920637,1.1977814
0.035714287,1.1347402
0.036507938,1.0716991
0.03730159,1.008658
0.03809524,0.9456169
0.03888889,0.88257575
0.03968254,0.81953466
0.04047619,0.7564935
0.041269843,0.6934524
0.042063493,0.63041127
0.042857144,0.5673701
0.043650795,0.504329
0.044444446,0.44128788
0.045238096,0.37824675
0.046031747,0.31520563
0.046825398,0.2521645
0.04761905,0.18912338
0.0484127,0.12608226
0.04920635,0.06304113
0.05,0.0
