y_m,u_l_m_per_s
0.0,0.0
0.0007936508,0.7375244
0.0015873016,0.8229652
0.0023809525,0.87289315
0.0031746032,0.90831125
0.003968254,0.9357819
0.004761905,0.9582264
0.0055555557,0.97720265
0.0063492064,0.9936404
0.007142857,1.0081395
0.007936508,1.0211093
0.008730159,1.0328419
0.00952381,1.0435529
0.010317461,1.053406
0.011111111,1.0625286
0.011904762,1.0710216
0.012698413,1.078966
0.013492064,1.0864289
0.014285714,1.093465
0.015079365,1.1001205
0.015873017,1.1064346
0.016666668,1.1124406
0.017460318,1.118167
0.018253969,1.123639
0.01904762,1.128878
0.01984127,1.133903
0.020634921,1.138731
0.021428572,1.1433767
0.022222223,1.1478535
0.023015874,1.1521732
0.023809524,1.1563464
0.024603175,1.1603827
0.025396826,1.1439023
0.026190476,1.1070023
0.026984127,1.0701021
0.027777778,1.033202
0.028571429,0.996302
0.02936508,0.9594019
0.03015873,0.92250186
0.030952381,0.88560176
0.031746034,0.8487017
0.032539684,0.8118016
0.033333335,0.77490157
0.034126986,0.73800147
0.034920637,0.7011014
0.035714287,0.6642013
0.036507938,0.6273013
0.03730159,0.5904012
0.03809524,0.5535011
0.03888889,0.516601
0.03968254,0.47970095
0.04047619,0.44280088
0.041269843,0.4059008
0.042063493,0.36900073
0.042857144,0.33210066
0.043650795,0.2952006
0.044444446,0.2583005
0.045238096,0.22140044
0.046031747,0.18450037
0.046825398,0.1476003
0.04761905,0.11070022
0.0484127,0.07380015
0.04920635,0.036900073
0.05,0.0
