y_m,u_l_m_per_s
0.0,0.0
0.0007936508,0.61611146
0.0015873016,0.6863121
0.0023809525,0.7273344
0.0031746032,0.7564349
0.003968254,0.7790056
0.004761905,0.79744667
0.0055555557,0.8130381
0.0063492064,0.82654387
0.007142857,0.83845675
0.007936508,0.8491131
0.008730159,0.85875297
0.00952381,0.8675534
0.010317461,0.87564903
0.011111111,0.88314444
0.011904762,0.8901224
0.012698413,0.8966499
0.013492064,0.90278155
0.014285714,0.9085626
0.015079365,0.91403097
0.015873017,0.91921884
0.016666668,0.9241535
0.017460318,0.9288586
0.018253969,0.93335444
0.01904762,0.93765897
0.01984127,0.9417877
0.020634921,0.9457545
0.021428572,0.9495716
0.022222223,0.9532499
0.023015874,0.95679903
0.023809524,0.96022785
0.024603175,0.9635442
0.025396826,0.94984245
0.026190476,0.9192024
0.026984127,0.8885623
0.027777778,0.8579222
0.028571429,0.82728213
0.02936508,0.79664207
0.03015873,0.766002
0.030952381,0.7353619
0.031746034,0.7047218
0.032539684,0.67408174
0.033333335,0.6434417
0.034126986,0.6128016
0.034920637,0.5821615
0.035714287,0.5515214
0.036507938,0.52088135
0.03730159,0.49024126
0.03809524,0.4596012
0.03888889,0.4289611
0.03968254,0.39832103
0.04047619,0.36768094
0.041269843,0.33704087
0.042063493,0.3064008
0.042857144,0.2757607
0.043650795,0.24512063
0.044444446,0.21448055
0.045238096,0.18384047
0.046031747,0.1532004
0.046825398,0.122560315
0.04761905,0.091920234
0.0484127,0.061280157
0.04920635,0.030640079
0.05,0.0
