specimen_id,mixture,rubber_pct,temperature_C,replicate,ct_porosity,ct_crack_fraction,ct_void_plus_crack,ct_connected_porosity_frac,ct_itz_width_vox,sem_crack_length_mm,sem_itz_porosity,sem_itz_width_px,xrd_ch_rel_area,xrd_caco3_rel_area,xrd_cao_rel_area,xrd_csh_hump_area,tga_mass_200C,tga_mass_400C,tga_mass_600C,tga_mass_800C,tga_total_loss,degradation_index
HPRC-0_T20_R1,HPRC-0,0,20,1,0.007066514756944444,0.04038831922743055,0.047454833984375,0.2128463476070529,2,4.587,0.09875437368789364,7,473.8136415164383,271.49535496420975,148.51101969366897,3759.9220604656175,0.9042963436575322,0.8545245512379467,0.6703066933958781,0.6637502482364588,0.34206943494780184,0.6741698344231338
HPRC-0_T200_R1,HPRC-0,0,200,1,0.012482819733796295,0.029239230685763888,0.04172205041956018,0.2621288921071687,3,8.808,0.13054120206690237,9,439.3455602099852,271.3823213671409,148.629237844149,3759.9220604656175,0.9042968914257843,0.856021659906606,0.6882403770628882,0.6817502259075628,0.3240694349552924,0.6872685462637169
HPRC-0_T400_R1,HPRC-0,0,400,1,0.01589061595775463,0.05743747287326389,0.07332808883101852,0.335676625659051,4,13.446,0.15087620856353592,11,305.29820248333954,253.56551558736402,134.26389335405145,3195.933751395775,0.9042988086146666,0.8612615402469133,0.7510082698974233,0.7447501477564272,0.26106943498150925,0.7005774903498718
HPRC-0_T600_R1,HPRC-0,0,600,1,0.028926142939814815,0.09458075629340278,0.12350689923321759,0.06710567576042646,4,21.885,0.1833833980511393,12,135.75705169113255,224.77595517056088,144.11683476562817,2443.9493393026514,0.9043012735718009,0.8679985292558798,0.8317098463989684,0.8257500472763958,0.18006943501521655,0.7496407798580077
HPRC-0_T800_R1,HPRC-0,0,800,1,0.044829191984953706,0.12199684425636574,0.16682603624131945,0.23273092369477913,5,25.947,0.2502402265715875,14,91.53618140636969,145.89497799696974,144.3635730697786,1691.9649272095278,0.9043021657651652,0.8692089263548485,0.8464012453077157,0.845150029413279,0.1560138869963481,0.9216586940142553
HPRC-20_T20_R1,HPRC-20,20,20,1,0.008650037977430556,0.038973207826967594,0.047623245804398154,0.24578059071729957,2,6.903,0.10194880016031262,8,473.61348461605337,273.8977957410077,149.46221219004184,3759.9220604656175,0.9039707325956712,0.8243212974990913,0.5911856489041216,0.5837562359360816,0.4220693945999945,0.7821567214425935
HPRC-20_T200_R1,HPRC-20,20,200,1,0.012160689742476851,0.04343894675925926,0.05559963650173611,0.20694645441389292,3,3.369,0.11303293714150553,9,439.7509863740388,272.60631522233194,148.44020309827363,3759.9220604656175,0.9039712803639233,0.8258184061677505,0.6091193325711317,0.6017562136071857,0.40406939460748514,0.7916161721576553
HPRC-20_T400_R1,HPRC-20,20,400,1,0.033270941840277776,0.051424379701967594,0.08469532154224538,0.11269117252481889,4,14.394,0.13754697955816297,11,306.56734162419616,252.87266623793025,133.0910235275411,3195.933751395775,0.9039731975528056,0.8310582865080579,0.6718872254056668,0.6647561354560501,0.341069394633702,0.806159303982846
HPRC-20_T600_R1,HPRC-20,20,600,1,0.04062228732638889,0.0873119212962963,0.12793420862268517,0.06414584740040513,4,23.523,0.21496938350870934,13,134.61134545934976,226.84024154529138,143.53342927683136,2443.9493393026514,0.9039756625099399,0.8377952755170245,0.752588801907212,0.7457560349760186,0.2600693946674093,0.9088058671832231
HPRC-20_T800_R1,HPRC-20,20,800,1,0.07493873878761574,0.12687626591435186,0.20181500470196762,0.12932604735883424,5,27.576,0.310577193805725,15,91.31944994867867,146.39447347089106,144.9985295239635,1691.9649272095278,0.9039765547033043,0.8390056726159931,0.7672802008159592,0.7651560171129018,0.23601384664854086,1.185029883394892
