Tunnel_ID,Soil_Type,Tunnel_Depth_m,Tunnel_Diameter_m,H_D_Ratio,Lining_Thickness_m,Undrained_Shear_Strength_kPa,Friction_Angle_deg,K0,Groundwater_Level_m,Volume_Loss_pct,Surface_Settlement_mm,Lateral_Displacement_mm,Pore_Water_Pressure_kPa,Crown_Convergence_mm,Risk_Score,Failure_Label
TUN-0001,Sand,16.7,7.23,2.31,0.183,5.2,31.1,0.557,6.3,6.269,1472.33,393.05,62.9,0.0,0.7561,1
TUN-0002,Mixed_Clay_Sand,28.8,9.82,2.93,0.277,26.6,22.4,0.947,11.1,2.762,695.77,369.79,94.7,1.01,0.7185,1
TUN-0003,Mixed_Clay_Sand,18.8,11.34,1.66,0.335,53.2,34.9,0.763,3.8,1.571,809.54,420.78,30.2,0.59,0.5599,1
TUN-0004,Mixed_Clay_Sand,19.1,9.08,2.1,0.194,19.7,33.1,0.719,7.0,2.755,895.07,208.44,85.9,1.19,0.663,1
TUN-0005,Mixed_Clay_Sand,21.1,6.73,3.13,0.235,10.3,22.5,0.592,14.0,4.63,746.36,203.07,147.8,0.38,0.7674,1
TUN-0006,Mixed_Clay_Sand,20.6,10.24,2.02,0.412,52.7,29.9,0.522,8.7,1.077,410.01,153.4,96.8,0.0,0.5388,0
TUN-0007,Sand,9.1,11.71,0.77,0.25,3.9,30.9,0.365,3.9,4.379,4971.75,1093.35,21.0,0.0,0.6755,1
TUN-0008,Mixed_Clay_Sand,6.7,3.08,2.17,0.168,76.0,23.1,0.695,3.8,0.696,75.4,26.82,38.1,0.91,0.4171,0
TUN-0009,Mixed_Clay_Sand,32.3,5.06,6.39,0.251,67.9,32.9,0.788,16.6,1.56,97.01,30.34,174.3,1.23,0.6285,1
TUN-0010,Clay,18.3,6.8,2.69,0.34,128.3,22.8,1.583,7.9,1.085,203.89,43.18,69.7,0.59,0.4569,0
TUN-0011,Sand,11.7,3.11,3.78,0.152,5.6,31.2,0.433,6.4,4.015,247.95,66.37,60.4,0.14,0.6755,1
TUN-0012,Sand,13.6,5.28,2.58,0.26,2.2,36.5,0.562,7.1,7.92,1215.29,535.83,59.3,0.0,0.7387,1
TUN-0013,Clay,21.1,10.23,2.06,0.564,137.0,22.8,1.95,12.3,0.35,132.63,36.32,119.8,0.6,0.4303,0
TUN-0014,Mixed_Clay_Sand,7.2,9.88,0.73,0.365,59.3,23.8,1.181,4.6,0.579,591.03,329.78,43.0,0.52,0.4254,0
TUN-0015,Mixed_Clay_Sand,11.5,3.6,3.2,0.12,44.2,23.2,0.598,7.9,0.992,84.92,49.97,81.2,1.1,0.4986,0
TUN-0016,Clay,21.6,4.89,4.41,0.129,40.3,23.8,1.94,7.8,1.252,108.11,43.07,76.6,0.78,0.5777,1
TUN-0017,Sand,12.6,4.52,2.8,0.236,1.5,34.2,0.589,5.1,8.0,963.89,393.42,50.0,0.63,0.7421,1
TUN-0018,Sand,28.7,3.8,7.56,0.078,5.9,31.7,0.569,10.6,8.0,304.2,151.02,102.4,1.92,0.8643,1
TUN-0019,Sand,32.8,11.02,2.98,0.365,6.4,40.5,0.505,12.4,8.0,2218.27,521.16,126.3,1.13,0.8606,1
TUN-0020,Clay,17.5,5.68,3.08,0.313,103.6,23.8,1.082,12.2,1.213,170.66,46.96,119.8,0.24,0.4772,0
TUN-0021,Clay,12.8,8.27,1.55,0.299,159.2,20.3,1.996,6.1,0.366,144.78,62.5,60.6,0.18,0.3562,0
TUN-0022,Sand,7.9,10.97,0.72,0.387,4.0,32.1,0.388,4.4,3.235,3679.11,1811.14,38.3,0.0,0.6107,1
TUN-0023,Sand,34.9,9.82,3.55,0.577,5.5,31.8,0.422,17.8,8.0,1657.87,958.31,164.1,0.6,0.8535,1
TUN-0024,Mixed_Clay_Sand,27.1,6.31,4.29,0.261,10.4,29.0,0.913,17.3,5.16,569.7,277.57,164.4,0.14,0.8222,1
TUN-0025,Clay,26.1,11.91,2.19,0.431,167.4,23.9,1.842,10.7,1.299,530.92,282.91,109.6,0.38,0.4946,0
TUN-0026,Sand,14.0,6.09,2.3,0.195,2.3,37.7,0.513,2.8,8.0,1586.55,445.32,37.9,0.07,0.7421,1
TUN-0027,Sand,11.0,8.52,1.29,0.241,1.3,33.4,0.548,2.1,8.0,3957.9,1254.03,14.0,0.54,0.7302,1
TUN-0028,Clay,25.9,6.34,4.09,0.357,166.4,21.9,1.066,13.3,0.802,94.99,20.89,123.8,0.0,0.4627,0
TUN-0029,Sand,19.2,7.52,2.55,0.348,5.6,41.7,0.541,8.5,6.547,1447.06,323.44,80.9,1.45,0.794,1
TUN-0030,Sand,33.6,6.44,5.21,0.291,7.1,33.7,0.469,18.9,8.0,744.13,427.31,187.3,0.27,0.847,1
TUN-0031,Mixed_Clay_Sand,29.5,4.03,7.32,0.169,44.1,33.0,0.692,12.2,1.861,77.76,45.26,144.3,1.6,0.6699,1
TUN-0032,Sand,7.0,4.76,1.47,0.128,4.1,37.5,0.429,1.2,2.984,724.78,225.11,14.7,0.0,0.5919,1
TUN-0033,Clay,28.0,6.29,4.46,0.278,171.7,25.2,1.344,13.5,0.78,83.69,20.5,125.6,0.96,0.4902,0
TUN-0034,Mixed_Clay_Sand,34.8,9.58,3.63,0.248,29.4,23.7,0.581,16.8,2.384,472.74,245.95,171.2,0.0,0.6898,1
TUN-0035,Mixed_Clay_Sand,26.7,7.13,3.74,0.238,16.5,32.7,0.619,12.2,3.865,556.07,129.75,127.1,0.14,0.7566,1
TUN-0036,Mixed_Clay_Sand,28.7,8.21,3.5,0.395,20.9,34.5,1.197,15.1,3.074,542.75,253.09,157.9,1.36,0.7449,1
TUN-0037,Clay,18.4,6.92,2.66,0.218,146.9,22.1,1.462,7.0,0.3,61.82,23.36,66.7,1.48,0.413,0
TUN-0038,Clay,15.6,3.77,4.14,0.163,134.6,23.8,1.14,6.7,0.884,58.1,27.68,63.4,0.51,0.4213,0
TUN-0039,Mixed_Clay_Sand,9.6,11.16,0.86,0.651,73.5,32.2,0.563,3.0,0.986,954.17,323.54,31.2,0.24,0.4437,0
TUN-0040,Sand,33.9,11.03,3.07,0.444,4.9,33.8,0.383,18.1,8.0,2152.33,489.41,191.8,0.34,0.8502,1
TUN-0041,Clay,31.3,4.65,6.73,0.189,148.3,26.5,1.782,23.4,1.419,70.06,18.69,222.5,0.95,0.5369,0
TUN-0042,Clay,22.8,9.97,2.29,0.439,153.1,20.7,0.893,15.1,0.473,154.63,81.68,160.9,0.0,0.4259,0
TUN-0043,Sand,11.5,7.25,1.58,0.188,1.5,40.4,0.379,2.4,8.0,2748.49,1126.13,26.7,0.24,0.7287,1
TUN-0044,Mixed_Clay_Sand,31.2,5.46,5.71,0.166,32.9,29.8,0.695,20.2,1.909,138.0,42.13,207.6,0.96,0.6769,1
TUN-0045,Mixed_Clay_Sand,31.2,8.71,3.58,0.425,28.5,31.6,0.923,9.7,2.013,367.17,190.12,101.7,1.01,0.6874,1
TUN-0046,Clay,21.4,3.23,6.63,0.09,68.6,22.7,1.784,11.4,1.128,42.75,21.48,113.0,1.39,0.515,0
TUN-0047,Clay,16.8,6.54,2.56,0.285,163.4,27.8,1.526,9.3,0.439,86.47,35.42,103.2,0.35,0.3891,0
TUN-0048,Mixed_Clay_Sand,6.5,6.99,0.93,0.251,63.9,24.5,0.804,3.6,1.217,691.17,258.48,57.2,0.55,0.4483,0
TUN-0049,Mixed_Clay_Sand,27.0,4.26,6.33,0.191,13.1,27.0,0.788,16.9,4.705,238.64,66.09,155.2,0.62,0.8114,1
TUN-0050,Sand,24.4,5.73,4.26,0.321,5.0,35.1,0.482,13.3,8.0,807.96,433.59,124.5,0.49,0.815,1
