Time_hours,Flow_Condition,Flow_Rate_L_per_min,Settlement_mm,Pore_Water_Pressure_kPa,Moisture_Content_pct,Soil_Type,Depth_m,Void_Ratio
0,Low_Flow_0.5_L_min,0.5,0.34,9.79,18.52,Sandy_Clay,2.0,0.597
1,Low_Flow_0.5_L_min,0.5,2.58,12.52,18.73,Sandy_Clay,1.6,0.841
2,Low_Flow_0.5_L_min,0.5,2.73,11.11,17.87,Sandy_Clay,2.4,0.707
3,Low_Flow_0.5_L_min,0.5,4.17,7.85,17.9,Sandy_Clay,3.3,0.592
4,Low_Flow_0.5_L_min,0.5,5.27,8.46,19.64,Sandy_Clay,2.1,0.704
5,Low_Flow_0.5_L_min,0.5,7.07,9.9,18.67,Sandy_Clay,3.3,0.601
6,Low_Flow_0.5_L_min,0.5,8.12,10.41,18.22,Sandy_Clay,1.9,0.699
7,Low_Flow_0.5_L_min,0.5,11.03,12.21,17.83,Sandy_Clay,2.4,0.706
8,Low_Flow_0.5_L_min,0.5,10.09,11.4,19.51,Sandy_Clay,1.8,0.609
9,Low_Flow_0.5_L_min,0.5,12.28,11.06,18.79,Sandy_Clay,2.7,0.631
10,Low_Flow_0.5_L_min,0.5,12.98,12.94,19.42,Sandy_Clay,1.9,0.791
11,Low_Flow_0.5_L_min,0.5,13.19,10.46,19.74,Sandy_Clay,1.5,0.795
12,Low_Flow_0.5_L_min,0.5,16.13,12.99,18.69,Sandy_Clay,4.1,0.737
13,Low_Flow_0.5_L_min,0.5,16.24,10.99,19.31,Sandy_Clay,2.4,0.648
14,Low_Flow_0.5_L_min,0.5,17.98,13.86,19.51,Sandy_Clay,1.9,0.764
15,Low_Flow_0.5_L_min,0.5,19.06,12.48,20.9,Sandy_Clay,3.8,0.698
16,Low_Flow_0.5_L_min,0.5,17.53,13.28,19.84,Sandy_Clay,2.4,0.703
17,Low_Flow_0.5_L_min,0.5,19.98,11.82,20.16,Sandy_Clay,2.7,0.777
18,Low_Flow_0.5_L_min,0.5,20.49,11.5,20.71,Sandy_Clay,3.9,0.606
19,Low_Flow_0.5_L_min,0.5,22.08,12.5,20.85,Sandy_Clay,3.9,0.819
20,Low_Flow_0.5_L_min,0.5,22.18,11.96,19.86,Sandy_Clay,4.0,0.808
21,Low_Flow_0.5_L_min,0.5,22.43,12.56,20.09,Sandy_Clay,2.8,0.617
22,Low_Flow_0.5_L_min,0.5,23.93,11.44,20.24,Sandy_Clay,3.1,0.761
23,Low_Flow_0.5_L_min,0.5,25.15,13.13,20.41,Sandy_Clay,4.4,0.626
24,Low_Flow_0.5_L_min,0.5,24.28,12.79,20.61,Sandy_Clay,1.7,0.634
25,Low_Flow_0.5_L_min,0.5,27.9,12.63,20.9,Sandy_Clay,1.9,0.697
26,Low_Flow_0.5_L_min,0.5,27.66,14.14,21.38,Sandy_Clay,2.6,0.74
27,Low_Flow_0.5_L_min,0.5,26.9,13.97,22.59,Sandy_Clay,1.8,0.801
28,Low_Flow_0.5_L_min,0.5,27.44,12.32,21.01,Sandy_Clay,3.5,0.555
29,Low_Flow_0.5_L_min,0.5,28.35,10.93,21.08,Sandy_Clay,3.4,0.602
30,Low_Flow_0.5_L_min,0.5,28.63,15.66,20.48,Sandy_Clay,4.3,0.813
31,Low_Flow_0.5_L_min,0.5,29.58,14.63,20.21,Sandy_Clay,4.0,0.717
32,Low_Flow_0.5_L_min,0.5,29.23,13.76,21.49,Sandy_Clay,2.5,0.655
33,Low_Flow_0.5_L_min,0.5,31.35,14.34,21.61,Sandy_Clay,4.2,0.784
34,Low_Flow_0.5_L_min,0.5,30.85,13.98,21.69,Sandy_Clay,1.5,0.598
35,Low_Flow_0.5_L_min,0.5,31.3,16.5,21.92,Sandy_Clay,3.5,0.617
36,Low_Flow_0.5_L_min,0.5,31.58,14.95,22.55,Sandy_Clay,3.4,0.805
37,Low_Flow_0.5_L_min,0.5,32.12,15.07,23.23,Sandy_Clay,1.8,0.66
