Longitude,Latitude,Soil_Type,Shrink_Swell_Potential,Compressibility_Index,Collapse_Potential,Overall_Susceptibility,Risk_Category,Groundwater_Depth_m,Asset_Proximity_m,Pipe_Material,Pipe_Age_years
-0.5749,52.72044,Dense_Sand,0.021,0.173,0.278,0.138,Low,14.7,62.2,Cast_Iron,52
-0.03058,53.46494,Swelling_Clay,0.81,0.5,0.157,0.538,High,11.5,139.3,Steel,41
-0.88036,52.91753,Dense_Sand,0.038,0.178,0.339,0.162,Low,3.6,35.1,Steel,18
-1.70651,53.35494,Compressible_Ground,0.274,0.81,0.377,0.488,Moderate,5.3,29.1,Concrete,34
1.34656,51.54047,Compressible_Ground,0.335,0.773,0.39,0.502,High,2.8,2.4,Concrete,87
-0.45413,52.92871,Swelling_Clay,0.775,0.436,0.075,0.481,Moderate,2.1,69.2,Steel,11
0.43568,51.05054,Swelling_Clay,0.878,0.225,0.091,0.453,Moderate,11.6,41.3,Concrete,92
-0.85581,52.6769,Firm_Clay,0.35,0.156,0.088,0.217,Low,4.5,11.8,Concrete,43
-1.07947,52.17321,Dense_Sand,0.016,0.165,0.28,0.134,Low,1.2,11.4,Concrete,34
-0.87134,51.8669,Firm_Clay,0.397,0.265,0.122,0.282,Low,13.4,41.4,Cast_Iron,40
-0.86321,53.15601,Firm_Clay,0.482,0.118,0.021,0.239,Low,0.7,26.2,Cast_Iron,63
-0.32328,53.13567,Firm_Clay,0.347,0.223,0.149,0.254,Low,3.1,39.5,Concrete,97
-0.32612,51.05575,Compressible_Ground,0.48,0.702,0.564,0.579,High,4.6,82.0,Concrete,14
-0.51138,52.52376,Swelling_Clay,0.629,0.272,0.111,0.375,Moderate,13.1,139.7,Steel,13
-1.96086,51.91958,Swelling_Clay,0.888,0.202,0.057,0.44,Moderate,2.6,21.5,Cast_Iron,36
-0.5157,52.03915,Compressible_Ground,0.468,0.665,0.486,0.541,High,13.8,31.2,Concrete,12
-1.82358,53.0801,Swelling_Clay,0.737,0.313,0.137,0.439,Moderate,6.9,0.9,Cast_Iron,55
-1.99546,51.7746,Swelling_Clay,0.763,0.342,0.193,0.473,Moderate,2.8,10.5,Concrete,94
1.23058,53.35762,Swelling_Clay,0.886,0.309,0.073,0.481,Moderate,5.2,43.7,Cast_Iron,101
-0.0802,51.44908,Swelling_Clay,0.783,0.49,0.151,0.522,High,5.8,137.3,PVC,7
0.13796,52.65681,Dense_Sand,0.015,0.125,0.263,0.116,Low,12.7,137.8,Cast_Iron,48
-0.89283,52.68026,Swelling_Clay,0.647,0.222,0.161,0.377,Moderate,12.0,26.3,Concrete,103
1.13592,51.63049,Running_Sand,0.096,0.375,0.593,0.318,Moderate,11.8,48.7,PVC,99
0.05172,51.81188,Running_Sand,0.042,0.153,0.618,0.225,Low,9.4,23.5,Steel,15
0.57668,53.087,Running_Sand,0.059,0.126,0.796,0.266,Low,6.3,32.7,Cast_Iron,77
-1.02575,52.90451,Swelling_Clay,0.703,0.394,0.109,0.447,Moderate,13.5,93.8,Steel,40
1.34005,51.82274,Compressible_Ground,0.47,0.676,0.488,0.547,High,6.2,228.0,Concrete,104
0.78185,52.33489,Swelling_Clay,0.668,0.315,0.148,0.415,Moderate,1.6,46.3,PVC,62
0.91579,51.1542,Compressible_Ground,0.455,0.624,0.598,0.55,High,10.6,8.9,Steel,110
-1.81122,51.52186,Swelling_Clay,0.651,0.451,0.053,0.432,Moderate,3.9,70.8,Cast_Iron,32
-1.41615,52.21455,Running_Sand,0.08,0.324,0.52,0.276,Low,13.4,12.9,PVC,96
-1.35749,51.21493,Firm_Clay,0.493,0.134,0.147,0.281,Low,7.6,3.0,Cast_Iron,57
-1.41636,53.10833,Running_Sand,0.063,0.31,0.71,0.311,Moderate,12.6,1.7,Cast_Iron,92
0.92163,52.79502,Compressible_Ground,0.341,0.627,0.512,0.484,Moderate,6.2,15.9,Steel,110
-2.37246,53.35908,Compressible_Ground,0.416,0.892,0.419,0.583,High,8.7,12.9,PVC,51
-2.1956,52.73367,Firm_Clay,0.304,0.198,0.104,0.217,Low,13.8,24.0,PVC,42
-1.40434,53.351,Swelling_Clay,0.779,0.478,0.11,0.506,High,5.1,109.1,Concrete,40
-1.70051,52.38628,Firm_Clay,0.341,0.116,0.13,0.21,Low,0.7,98.9,PVC,73
-1.57256,52.50055,Firm_Clay,0.301,0.18,0.044,0.195,Low,9.6,56.9,Steel,83
0.69177,53.44243,Compressible_Ground,0.393,0.739,0.427,0.523,High,13.9,12.3,Steel,109
-0.24749,52.60532,Compressible_Ground,0.412,0.923,0.514,0.616,High,9.0,116.4,Cast_Iron,95
-2.47692,51.07697,Running_Sand,0.075,0.11,0.649,0.231,Low,9.7,36.9,Cast_Iron,57
-0.78271,52.80951,Swelling_Clay,0.643,0.366,0.093,0.409,Moderate,3.9,25.5,Cast_Iron,49
-0.86846,53.26367,Swelling_Clay,0.746,0.265,0.068,0.408,Moderate,7.7,79.1,Steel,37
-2.04422,52.98895,Swelling_Clay,0.731,0.457,0.077,0.471,Moderate,8.2,22.0,Steel,5
0.20457,52.45958,Swelling_Clay,0.615,0.367,0.053,0.388,Moderate,2.0,21.4,Steel,40
0.30839,52.67826,Running_Sand,0.046,0.139,0.64,0.227,Low,12.0,49.2,PVC,81
0.38357,53.47548,Firm_Clay,0.328,0.224,0.041,0.22,Low,1.6,54.5,PVC,52
0.41388,51.22666,Swelling_Clay,0.738,0.212,0.182,0.415,Moderate,1.5,101.1,Concrete,85
-2.49979,52.66811,Dense_Sand,0.025,0.131,0.339,0.141,Low,13.5,31.8,PVC,82
1.31568,51.70849,Dense_Sand,0.033,0.154,0.307,0.144,Low,1.0,19.7,Steel,97
0.75684,52.60023,Dense_Sand,0.048,0.052,0.15,0.075,Low,14.9,33.9,PVC,101
1.11593,52.51906,Firm_Clay,0.358,0.195,0.133,0.245,Low,0.8,56.9,Concrete,24
-2.43743,51.38364,Compressible_Ground,0.251,0.886,0.411,0.513,High,4.8,88.0,Concrete,94
1.23544,51.51687,Swelling_Clay,0.869,0.389,0.161,0.524,High,12.6,2.8,PVC,42
0.73915,52.55407,Running_Sand,0.069,0.258,0.574,0.261,Low,13.3,21.0,Concrete,63
0.84888,51.32057,Running_Sand,0.071,0.247,0.536,0.248,Low,6.1,5.0,PVC,70
-2.12685,51.66295,Firm_Clay,0.302,0.136,0.063,0.184,Low,8.3,125.8,Steel,77
0.45511,53.08811,Dense_Sand,0.038,0.104,0.288,0.124,Low,9.5,30.8,Steel,99
1.33967,51.81773,Running_Sand,0.037,0.286,0.67,0.283,Low,13.4,13.4,PVC,23
0.21419,52.22015,Compressible_Ground,0.377,0.91,0.409,0.572,High,9.9,13.2,Steel,66
-0.21775,53.35285,Swelling_Clay,0.836,0.46,0.066,0.512,High,5.7,51.0,Concrete,15
1.28252,51.56787,Swelling_Clay,0.807,0.358,0.093,0.472,Moderate,12.3,17.1,Steel,13
-0.72825,51.97407,Running_Sand,0.083,0.312,0.525,0.274,Low,13.6,78.0,Cast_Iron,32
-0.10283,52.51614,Running_Sand,0.045,0.181,0.894,0.305,Moderate,12.9,133.1,Concrete,77
-0.59465,52.88835,Firm_Clay,0.437,0.141,0.047,0.236,Low,2.7,39.6,Steel,74
1.23138,53.25413,Running_Sand,0.099,0.186,0.779,0.3,Low,9.2,33.6,Steel,39
-2.19566,53.28868,Dense_Sand,0.025,0.192,0.276,0.146,Low,11.4,13.9,PVC,74
-0.49552,52.9416,Firm_Clay,0.418,0.253,0.142,0.291,Low,6.7,74.4,Steel,97
0.24781,51.57083,Firm_Clay,0.389,0.248,0.124,0.273,Low,3.4,18.2,PVC,11
0.66763,51.06202,Swelling_Clay,0.664,0.28,0.085,0.385,Moderate,8.0,19.4,Steel,82
-0.16793,51.95943,Dense_Sand,0.028,0.181,0.243,0.135,Low,13.2,10.9,PVC,92
1.13567,51.35387,Firm_Clay,0.473,0.193,0.106,0.283,Low,12.0,69.6,PVC,45
1.26797,52.77597,Swelling_Clay,0.719,0.262,0.133,0.413,Moderate,2.1,17.0,Cast_Iron,102
-2.24272,52.65283,Swelling_Clay,0.719,0.233,0.055,0.383,Moderate,10.0,47.1,Cast_Iron,115
-0.89052,51.10993,Dense_Sand,0.036,0.067,0.173,0.081,Low,2.4,92.6,Concrete,31
-2.40616,53.09148,Swelling_Clay,0.66,0.302,0.195,0.419,Moderate,9.1,80.8,Concrete,118
-1.18233,51.62186,Running_Sand,0.029,0.335,0.774,0.322,Moderate,10.4,40.2,Cast_Iron,59
-0.35253,52.08057,Compressible_Ground,0.421,0.695,0.406,0.513,High,13.1,18.5,Steel,95
1.14318,52.66983,Firm_Clay,0.511,0.3,0.077,0.328,Moderate,6.7,92.4,PVC,103
0.88622,52.07355,Firm_Clay,0.519,0.193,0.062,0.291,Low,9.3,104.5,Concrete,106
-1.99,52.10322,Compressible_Ground,0.233,0.75,0.439,0.465,Moderate,14.7,56.7,PVC,99
-2.12788,51.16407,Compressible_Ground,0.208,0.798,0.329,0.445,Moderate,12.6,69.8,Concrete,32
-0.14293,52.00361,Dense_Sand,0.027,0.185,0.172,0.119,Low,4.1,140.0,Steel,93
-0.37153,52.91212,Firm_Clay,0.546,0.139,0.039,0.277,Low,0.9,13.5,Concrete,43
-1.43449,53.28794,Dense_Sand,0.02,0.159,0.163,0.104,Low,6.2,204.2,Cast_Iron,5
1.09781,52.03374,Compressible_Ground,0.313,0.705,0.333,0.455,Moderate,7.6,23.8,Concrete,88
1.20947,52.05896,Swelling_Clay,0.755,0.243,0.143,0.423,Moderate,7.2,137.2,Concrete,13
-0.88955,52.75657,Compressible_Ground,0.259,0.887,0.573,0.557,High,12.3,18.2,Cast_Iron,114
1.06121,53.35693,Firm_Clay,0.574,0.164,0.127,0.319,Moderate,0.6,0.2,PVC,74
