Sample_ID,Soil_Type,Relative_Density_Dr,D10_mm,D50_mm,D90_mm,Uniformity_Coefficient_Cu,Internal_Friction_Angle_deg,Dilation_Angle_deg,Elastic_Modulus_kPa,Poissons_Ratio,Unit_Weight_kN_m3,Void_Ratio_max,Void_Ratio_min,Permeability_m_s,Cohesion_kPa
SAND-0001,Sand,0.281,0.0872,0.3047,0.7259,4.0,33.1,5.0,20352.0,0.32,16.71,0.854,0.492,8.43e-04,0.8
SAND-0002,Sand,0.239,0.122,0.4741,2.0165,3.58,31.2,5.1,20072.0,0.309,15.9,0.914,0.48,6.82e-04,4.9
SAND-0003,Sand,0.637,0.4087,1.3667,6.0517,4.46,39.5,9.2,32532.0,0.291,18.4,0.775,0.434,1.14e-04,3.3
SAND-0004,Sand,0.783,0.2512,0.7052,2.75,4.06,40.9,10.9,42944.0,0.266,18.72,0.814,0.428,3.06e-05,0.2
SAND-0005,Sand,0.474,0.4041,2.3842,8.5387,4.74,36.1,3.8,28530.0,0.307,17.37,0.818,0.467,6.03e-04,2.5
SAND-0006,Sand,0.298,0.4954,2.397,8.4303,6.06,31.6,0.3,20989.0,0.296,16.66,0.864,0.48,5.35e-05,3.1
SAND-0007,Sand,0.34,0.1096,0.6554,2.5389,5.44,34.3,3.2,23208.0,0.33,16.84,0.822,0.465,1.51e-03,1.3
SAND-0008,Sand,0.491,0.3664,2.7393,9.4745,11.01,33.8,3.9,31928.0,0.302,17.95,0.834,0.49,7.15e-05,1.0
SAND-0009,Sand,0.409,0.2484,1.7269,7.7486,6.36,37.2,2.9,29077.0,0.347,17.32,0.851,0.455,6.40e-03,0.5
SAND-0010,Sand,0.727,0.065,0.179,0.8724,3.55,40.7,8.2,39674.0,0.299,18.34,0.789,0.426,3.94e-03,4.0
SAND-0011,Sand,0.572,0.4035,2.7083,10.1211,6.4,34.2,2.1,31968.0,0.296,17.85,0.834,0.458,6.67e-05,3.2
SAND-0012,Sand,0.574,0.3307,1.6195,5.8188,7.31,35.0,3.6,35479.0,0.239,17.33,0.766,0.466,9.07e-03,0.9
SAND-0013,Sand,0.459,0.1257,0.9233,3.366,10.26,35.9,6.0,28992.0,0.298,17.04,0.833,0.449,2.08e-05,0.0
SAND-0014,Sand,0.392,0.2983,0.869,3.3412,3.7,36.0,6.6,27950.0,0.275,16.45,0.811,0.442,1.39e-04,1.8
SAND-0015,Sand,0.853,0.1267,0.5825,2.7165,3.73,42.4,16.0,42167.0,0.265,19.33,0.76,0.403,4.17e-03,1.3
SAND-0016,Sand,0.759,0.2515,1.6794,4.5293,7.3,37.7,6.1,38097.0,0.25,18.81,0.804,0.43,9.74e-03,3.3
SAND-0017,Sand,0.728,0.1911,0.9735,2.4846,6.52,34.1,6.6,37552.0,0.268,18.24,0.753,0.425,1.62e-05,1.6
SAND-0018,Sand,0.609,0.3437,1.6632,5.8225,5.71,35.8,5.8,31719.0,0.281,18.52,0.815,0.411,4.20e-05,0.2
SAND-0019,Sand,0.52,0.2448,0.9303,3.9935,4.07,36.4,8.7,33586.0,0.314,17.66,0.796,0.475,9.11e-03,1.1
SAND-0020,Sand,0.338,0.3147,1.2704,3.8385,5.83,33.1,2.2,21070.0,0.29,16.52,0.838,0.489,1.57e-05,0.1
SAND-0021,Sand,0.65,0.3757,1.7553,5.5525,4.99,38.8,9.7,34756.0,0.272,17.93,0.813,0.439,1.43e-05,3.0
