Test_ID,G_Level,Soil_Type,Moisture_Content_pct,Loading_Rate_mm_min,Time_s,Scale_Factor_N,Settlement_mm_model,Settlement_mm_prototype,Lateral_Displacement_mm,Pore_Water_Pressure_kPa,PIV_Displacement_X_mm,PIV_Displacement_Y_mm,Shear_Strain,Shear_Band_Detected
CEN-001,40,Sand,5,0.1,0,40,0.0,0.0,0.0,1.57,-0.046,0.0,0.0033,0
CEN-001,40,Sand,5,0.1,60,40,0.065,2.6,0.013,0.0,0.012,0.065,0.00133,0
CEN-001,40,Sand,5,0.1,120,40,0.0,0.0,0.0,1.65,-0.031,0.0,0.0023,0
CEN-001,40,Sand,5,0.1,180,40,0.0,0.0,0.0,1.05,-0.019,0.0,0.00134,0
CEN-001,40,Sand,5,0.1,240,40,0.045,1.8,0.01,0.0,0.008,0.045,0.00091,0
CEN-001,40,Sand,5,0.1,300,40,0.124,5.0,0.039,3.37,0.046,0.124,0.00264,0
CEN-001,40,Sand,5,0.1,360,40,0.0,0.0,0.0,4.25,-0.035,0.0,0.00352,0
CEN-001,40,Sand,5,0.1,420,40,0.216,8.6,0.047,1.42,0.041,0.216,0.00439,0
CEN-001,40,Sand,5,0.1,480,40,0.0,0.0,0.0,0.0,-0.061,0.0,0.00456,0
CEN-001,40,Sand,5,0.1,540,40,0.012,0.5,0.003,0.0,0.002,0.012,0.00024,0
CEN-001,40,Sand,5,0.1,600,40,0.009,0.3,0.003,3.34,0.003,0.009,0.00019,0
CEN-001,40,Sand,5,0.1,660,40,0.039,1.6,0.008,1.71,0.008,0.039,0.0008,0
CEN-001,40,Sand,5,0.1,720,40,0.078,3.1,0.022,0.0,0.022,0.078,0.00162,0
CEN-001,40,Sand,5,0.1,780,40,0.285,11.4,0.069,0.0,0.077,0.285,0.00591,0
CEN-001,40,Sand,5,0.1,840,40,0.096,3.8,0.027,0.0,0.027,0.096,0.00199,0
CEN-001,40,Sand,5,0.1,900,40,0.002,0.1,0.0,5.07,0.0,0.002,4e-05,0
CEN-001,40,Sand,5,0.1,960,40,0.048,1.9,0.015,0.71,0.016,0.048,0.00102,0
CEN-001,40,Sand,5,0.1,1020,40,0.136,5.4,0.032,3.31,0.029,0.136,0.00278,0
CEN-001,40,Sand,5,0.1,1080,40,0.221,8.8,0.068,0.0,0.058,0.221,0.00457,0
CEN-001,40,Sand,5,0.1,1140,40,0.073,2.9,0.023,2.09,0.024,0.073,0.00154,0
CEN-001,40,Sand,5,0.1,1200,40,0.17,6.8,0.037,0.0,0.034,0.17,0.00346,0
CEN-001,40,Sand,5,0.1,1260,40,0.256,10.2,0.04,0.0,0.037,0.256,0.00517,0
CEN-001,40,Sand,5,0.1,1320,40,0.087,3.5,0.02,0.0,0.021,0.087,0.00179,0
CEN-001,40,Sand,5,0.1,1380,40,0.238,9.5,0.042,1.27,0.046,0.238,0.00485,0
CEN-001,40,Sand,5,0.1,1440,40,0.307,12.3,0.064,0.0,0.077,0.307,0.00633,0
CEN-001,40,Sand,5,0.1,1500,40,0.0,0.0,0.0,1.5,-0.018,0.0,0.00168,0
CEN-001,40,Sand,5,0.1,1560,40,0.139,5.5,0.042,0.97,0.046,0.139,0.00292,0
CEN-001,40,Sand,5,0.1,1620,40,0.273,10.9,0.065,0.06,0.065,0.273,0.0056,0
CEN-001,40,Sand,5,0.1,1680,40,0.316,12.6,0.052,0.0,0.062,0.316,0.00644,0
