Borehole_ID,Depth_m,P_Wave_Velocity_m_s,S_Wave_Velocity_m_s,Vp_Vs_Ratio,Extensometer_Displacement_mm,Earth_Pressure_kPa,Formation,Loading_Stage
BH-01,0.0,342.8,167.2,2.05,0.223,0.0,Mudstone_Clay,Post_Load
BH-01,0.5,340.6,164.8,2.067,0.367,9.87,Mudstone_Clay,Post_Load
BH-01,1.0,347.7,205.1,1.695,0.365,22.28,Mudstone_Clay,During_Load
BH-01,1.5,430.1,187.1,2.299,0.622,24.64,Mudstone_Clay,Post_Load
BH-01,2.0,420.3,199.6,2.106,0.964,40.44,Mudstone_Clay,Post_Load
BH-01,2.5,406.7,243.8,1.668,1.489,59.63,Mudstone_Clay,Post_Load
BH-01,3.0,437.0,213.0,2.051,1.493,60.59,Mudstone_Clay,Post_Load
BH-01,3.5,465.3,196.3,2.37,1.886,58.94,Mudstone_Clay,Pre-load
BH-01,4.0,507.7,242.0,2.099,1.184,76.19,Mudstone_Clay,Post_Load
BH-01,4.5,497.9,267.5,1.861,2.467,88.57,Mudstone_Clay,During_Load
BH-01,5.0,489.4,268.8,1.821,2.185,94.15,Mudstone_Clay,Pre-load
BH-01,5.5,556.3,243.3,2.287,2.287,99.15,Mudstone_Clay,During_Load
BH-01,6.0,573.6,269.2,2.131,2.867,116.28,Mudstone_Clay,During_Load
BH-01,6.5,556.3,277.6,2.004,3.077,126.55,Mudstone_Clay,Pre-load
BH-01,7.0,610.7,298.0,2.049,2.78,140.41,Mudstone_Clay,During_Load
BH-01,7.5,600.5,312.7,1.92,3.633,144.82,Mudstone_Clay,Pre-load
BH-01,8.0,638.4,335.8,1.901,3.413,144.93,Mudstone_Clay,During_Load
BH-01,8.5,666.9,337.6,1.975,3.344,157.13,Mudstone_Clay,During_Load
BH-01,9.0,677.1,334.8,2.022,3.604,175.73,Mudstone_Clay,Post_Load
BH-01,9.5,698.8,345.1,2.025,3.871,185.19,Mudstone_Clay,Post_Load
BH-01,10.0,716.8,347.6,2.062,3.472,184.24,Mudstone_Clay,During_Load
BH-01,10.5,738.7,375.3,1.968,3.917,199.22,Mudstone_Clay,During_Load
BH-01,11.0,713.2,368.4,1.936,4.017,211.95,Mudstone_Clay,During_Load
BH-01,11.5,751.3,387.5,1.939,4.115,211.48,Mudstone_Clay,Post_Load
BH-01,12.0,780.0,391.6,1.992,3.954,221.84,Mudstone_Clay,Post_Load
BH-01,12.5,782.7,403.2,1.941,4.088,240.58,Mudstone_Clay,During_Load
BH-01,13.0,795.4,398.6,1.995,4.28,240.05,Mudstone_Clay,During_Load
BH-01,13.5,809.5,427.3,1.895,4.458,259.91,Mudstone_Clay,Post_Load
BH-01,14.0,832.6,428.7,1.942,3.638,260.38,Mudstone_Clay,During_Load
BH-01,14.5,882.5,417.8,2.112,4.579,261.96,Mudstone_Clay,During_Load
