Excavation_Depth_m,Excavation_Width_m,Prop_Spacing_m,Wall_Thickness_m,Max_Horizontal_Displacement_mm,Max_Surface_Settlement_mm,Max_Bending_Moment_kNm_per_m,Factor_of_Safety,Failure_Flag,Soil_Type,Cu_kPa,Ko
6,10,2.0,0.6,50.69,45.86,1149.6,3.623,0,London_Clay,101.9,1.61
6,10,2.0,0.8,40.97,34.46,1012.6,4.888,0,London_Clay,101.2,1.29
6,10,2.0,1.0,32.5,21.91,656.6,6.237,0,London_Clay,95.9,1.42
6,10,2.0,1.2,29.77,21.16,471.2,7.575,0,London_Clay,89.7,1.5
6,10,3.0,0.6,66.25,64.15,1694.0,2.503,0,London_Clay,98.6,1.49
6,10,3.0,0.8,56.1,35.58,1283.4,3.381,0,London_Clay,93.2,1.56
6,10,3.0,1.0,39.75,25.04,994.5,4.095,0,London_Clay,97.0,1.66
6,10,3.0,1.2,37.22,23.25,805.8,5.02,0,London_Clay,99.6,1.44
6,10,4.0,0.6,86.6,66.57,2314.8,1.869,0,London_Clay,97.2,1.67
6,10,4.0,0.8,70.17,51.43,1676.1,2.468,0,London_Clay,96.1,1.47
6,10,4.0,1.0,57.54,41.08,1408.1,3.052,0,London_Clay,110.7,1.66
6,10,4.0,1.2,46.62,33.23,1165.8,3.728,0,London_Clay,99.9,1.43
6,10,5.0,0.6,104.69,85.7,2888.3,1.423,0,London_Clay,93.8,1.52
6,10,5.0,0.8,82.29,66.32,2132.3,2.039,0,London_Clay,96.3,1.52
6,10,5.0,1.0,66.6,55.3,1719.7,2.522,0,London_Clay,94.9,1.45
6,10,5.0,1.2,58.08,55.29,1462.5,3.028,0,London_Clay,95.2,1.53
6,15,2.0,0.6,59.94,57.75,1108.4,3.826,0,London_Clay,105.6,1.41
6,15,2.0,0.8,46.55,42.01,778.1,4.986,0,London_Clay,97.8,1.51
6,15,2.0,1.0,38.24,25.21,583.6,6.221,0,London_Clay,98.2,1.46
6,15,2.0,1.2,35.12,29.02,635.6,7.478,0,London_Clay,104.3,1.51
6,15,3.0,0.6,86.67,56.64,1690.6,2.517,0,London_Clay,102.1,1.56
6,15,3.0,0.8,65.32,46.39,1344.2,3.23,0,London_Clay,103.0,1.44
6,15,3.0,1.0,53.45,40.35,1029.6,4.069,0,London_Clay,94.6,1.62
6,15,3.0,1.2,44.79,34.66,845.0,5.023,0,London_Clay,105.7,1.42
6,15,4.0,0.6,109.28,85.0,2203.5,1.791,0,London_Clay,103.7,1.49
6,15,4.0,0.8,82.07,64.81,1687.3,2.396,0,London_Clay,97.0,1.49
6,15,4.0,1.0,68.97,45.57,1378.4,3.293,0,London_Clay,105.0,1.67
6,15,4.0,1.2,56.29,43.02,1127.8,3.75,0,London_Clay,105.4,1.63
6,15,5.0,0.6,127.68,126.61,2830.6,1.507,0,London_Clay,86.4,1.53
6,15,5.0,0.8,99.41,82.79,2156.6,2.031,0,London_Clay,92.4,1.24
6,15,5.0,1.0,81.31,71.46,1705.3,2.423,0,London_Clay,99.8,1.28
6,15,5.0,1.2,70.49,67.04,1451.3,2.952,0,London_Clay,96.8,1.51
6,20,2.0,0.6,70.94,50.82,1164.0,3.865,0,London_Clay,99.5,1.4
6,20,2.0,0.8,53.84,35.08,904.3,4.929,0,London_Clay,92.3,1.48
6,20,2.0,1.0,44.06,43.0,635.7,6.117,0,London_Clay,99.7,1.49
6,20,2.0,1.2,39.47,34.89,583.9,7.449,0,London_Clay,95.8,1.44
6,20,3.0,0.6,97.38,76.65,1728.0,2.369,0,London_Clay,109.7,1.48
6,20,3.0,0.8,77.13,62.8,1163.2,3.284,0,London_Clay,105.5,1.34
6,20,3.0,1.0,57.43,40.86,1054.6,4.002,0,London_Clay,103.0,1.43
6,20,3.0,1.2,50.21,50.19,860.5,4.937,0,London_Clay,102.5,1.21
6,20,4.0,0.6,122.2,77.57,2223.7,1.859,0,London_Clay,102.2,1.58
6,20,4.0,0.8,95.54,57.56,1712.3,2.556,0,London_Clay,109.3,1.45
6,20,4.0,1.0,78.46,63.82,1277.8,3.007,0,London_Clay,98.3,1.75
6,20,4.0,1.2,66.11,45.68,1233.4,3.792,0,London_Clay,101.4,1.5
6,20,5.0,0.6,145.27,132.03,2917.8,1.46,0,London_Clay,94.3,1.41
6,20,5.0,0.8,111.08,101.39,2210.2,1.992,0,London_Clay,90.8,1.59
6,20,5.0,1.0,92.33,63.69,1744.9,2.328,0,London_Clay,100.2,1.21
6,20,5.0,1.2,80.0,78.94,1478.8,3.021,0,London_Clay,101.0,1.39
6,25,2.0,0.6,79.65,70.66,1191.8,3.674,0,London_Clay,98.8,1.27
6,25,2.0,0.8,59.86,56.67,893.0,4.971,0,London_Clay,99.7,1.55
6,25,2.0,1.0,50.51,44.2,584.2,6.344,0,London_Clay,95.5,1.34
6,25,2.0,1.2,40.66,29.53,468.9,7.49,0,London_Clay,97.0,1.4
6,25,3.0,0.6,109.58,85.24,1728.2,2.529,0,London_Clay,100.2,1.58
6,25,3.0,0.8,83.0,73.57,1243.5,3.354,0,London_Clay,97.7,1.52
6,25,3.0,1.0,71.52,48.95,1056.3,4.153,0,London_Clay,106.0,1.46
6,25,3.0,1.2,58.26,57.18,915.3,4.847,0,London_Clay,94.7,1.51
6,25,4.0,0.6,136.59,93.62,2240.4,2.04,0,London_Clay,96.4,1.44
6,25,4.0,0.8,104.71,79.2,1678.5,2.573,0,London_Clay,99.0,1.45
6,25,4.0,1.0,87.25,79.49,1280.7,3.135,0,London_Clay,100.5,1.64
6,25,4.0,1.2,72.42,52.51,1147.7,3.716,0,London_Clay,99.9,1.49
6,25,5.0,0.6,166.88,151.27,2796.2,1.594,0,London_Clay,97.1,1.45
6,25,5.0,0.8,124.72,111.1,2171.6,1.885,0,London_Clay,103.8,1.52
6,25,5.0,1.0,104.93,86.81,1677.7,2.48,0,London_Clay,91.2,1.59
6,25,5.0,1.2,85.74,81.93,1522.4,3.103,0,London_Clay,96.7,1.5
6,30,2.0,0.6,86.79,62.85,1060.9,3.752,0,London_Clay,93.3,1.38
6,30,2.0,0.8,65.78,51.68,875.2,5.072,0,London_Clay,101.1,1.47
6,30,2.0,1.0,55.74,35.98,718.0,6.354,0,London_Clay,102.2,1.69
6,30,2.0,1.2,48.02,37.62,543.7,7.503,0,London_Clay,96.6,1.52
6,30,3.0,0.6,117.54,96.16,1682.7,2.54,0,London_Clay,96.1,1.45
6,30,3.0,0.8,93.4,59.94,1163.9,3.538,0,London_Clay,101.5,1.42
6,30,3.0,1.0,76.1,64.72,1034.8,4.126,0,London_Clay,96.9,1.56
6,30,3.0,1.2,64.16,54.16,880.7,5.082,0,London_Clay,101.6,1.45
6,30,4.0,0.6,152.5,112.3,2212.1,1.907,0,London_Clay,99.2,1.58
6,30,4.0,0.8,117.51,116.31,1734.4,2.607,0,London_Clay,95.6,1.53
6,30,4.0,1.0,95.31,58.71,1410.3,3.233,0,London_Clay,97.7,1.46
6,30,4.0,1.2,83.82,52.14,1087.1,3.5,0,London_Clay,101.0,1.56
6,30,5.0,0.6,181.19,113.5,2752.5,1.493,0,London_Clay,101.2,1.28
6,30,5.0,0.8,139.06,121.4,2200.3,2.095,0,London_Clay,95.5,1.39
6,30,5.0,1.0,114.69,70.64,1667.8,2.6,0,London_Clay,101.3,1.49
6,30,5.0,1.2,98.34,77.07,1436.3,2.944,0,London_Clay,97.2,1.57
8,10,2.0,0.6,78.97,75.09,2013.0,2.844,0,London_Clay,102.1,1.48
8,10,2.0,0.8,61.37,45.23,1476.1,3.76,0,London_Clay,112.4,1.65
8,10,2.0,1.0,48.01,32.35,1191.1,4.7,0,London_Clay,106.9,1.51
8,10,2.0,1.2,40.49,37.56,955.5,5.492,0,London_Clay,102.2,1.57
8,10,3.0,0.6,108.58,97.36,3132.5,1.769,0,London_Clay,113.1,1.41
8,10,3.0,0.8,81.92,53.41,2322.5,2.542,0,London_Clay,110.5,1.54
8,10,3.0,1.0,67.92,57.55,1888.2,3.196,0,London_Clay,114.9,1.56
8,10,3.0,1.2,57.91,41.37,1450.3,3.855,0,London_Clay,104.0,1.53
8,10,4.0,0.6,133.17,92.44,4081.0,1.493,0,London_Clay,109.9,1.45
8,10,4.0,0.8,103.21,93.26,3084.1,1.875,0,London_Clay,112.0,1.4
8,10,4.0,1.0,84.01,73.37,2409.1,2.49,0,London_Clay,112.7,1.45
8,10,4.0,1.2,69.25,52.78,1978.7,2.677,0,London_Clay,102.1,1.54
8,10,5.0,0.6,160.39,153.71,5085.6,1.154,1,London_Clay,106.3,1.5
8,10,5.0,0.8,124.79,122.08,3740.7,1.606,0,London_Clay,107.1,1.41
8,10,5.0,1.0,101.21,92.94,2994.4,1.761,0,London_Clay,112.7,1.63
8,10,5.0,1.2,84.23,68.64,2592.3,2.364,0,London_Clay,103.1,1.58
8,15,2.0,0.6,94.49,90.37,1999.1,2.934,0,London_Clay,111.3,1.61
8,15,2.0,0.8,74.8,74.2,1557.1,3.686,0,London_Clay,111.1,1.47
