Date,Temperature_C,Precipitation_mm,Relative_Humidity_pct,Wind_Speed_m_s,Cumulative_Precip_30d_mm,Evapotranspiration_mm,Water_Balance_mm,Soil_Suction_kPa,Shrinkage_Strain,Embankment_Deterioration_Index,Soil_Type
2018-01-01,1.5,10.58,77.8,2.7,10.6,0.62,9.96,33.3,0.01502,0.1722,Clay
2018-01-02,-1.0,0.21,92.5,6.9,10.8,0.18,0.03,49.8,0.02959,0.3307,Clay
2018-01-03,0.7,0.55,100.0,3.0,11.3,0.73,-0.18,54.8,0.02727,0.2563,Clay
2018-01-04,3.0,4.0,74.6,2.8,15.3,0.83,3.17,44.5,0.02296,0.2442,Clay
2018-01-05,0.5,6.37,77.6,4.2,21.7,0.41,5.95,39.6,0.01999,0.2443,Clay
2018-01-06,0.9,6.12,100.0,1.5,27.8,1.21,4.91,47.6,0.0225,0.2308,Clay
2018-01-07,2.7,4.98,87.6,3.6,32.8,1.07,3.92,39.7,0.02074,0.2717,Clay
2018-01-08,0.9,8.58,85.8,3.4,41.4,0.88,7.69,26.8,0.01095,0.2088,Clay
2018-01-09,-0.7,0.96,83.4,2.3,42.4,0.96,0.0,49.1,0.02584,0.2858,Clay
2018-01-10,-2.6,0.45,94.1,6.8,42.8,0.13,0.32,46.5,0.02215,0.3359,Clay
2018-01-11,3.6,3.77,100.0,3.6,46.6,0.85,2.92,37.0,0.02144,0.3063,Clay
2018-01-12,1.1,6.83,79.2,9.4,53.4,0.34,6.49,40.1,0.02132,0.3978,Clay
2018-01-13,-2.3,3.46,83.8,7.3,56.9,0.56,2.9,44.2,0.02238,0.3707,Clay
2018-01-14,6.5,13.08,81.9,2.5,69.9,1.36,11.72,17.5,0.00771,0.2545,Clay
2018-01-15,3.8,6.31,90.6,4.3,76.2,0.19,6.12,45.5,0.02375,0.3869,Clay
2018-01-16,-0.7,4.8,94.5,4.8,81.0,0.0,4.8,36.8,0.01976,0.3559,Clay
2018-01-17,0.8,0.25,97.8,6.4,81.3,0.18,0.07,46.8,0.02382,0.4136,Clay
2018-01-18,6.1,0.45,91.0,7.1,81.7,1.31,-0.85,56.4,0.02722,0.4795,Clay
2018-01-19,2.5,6.13,100.0,5.0,87.9,0.81,5.32,41.5,0.02325,0.4082,Clay
2018-01-20,1.9,0.88,80.3,1.1,88.8,0.94,-0.06,55.6,0.02982,0.3873,Clay
2018-01-21,5.5,0.12,78.3,4.1,88.9,0.98,-0.86,40.8,0.01852,0.3816,Clay
2018-01-22,2.8,9.66,96.7,7.1,98.5,0.98,8.67,31.2,0.01629,0.417,Clay
2018-01-23,7.0,8.85,86.0,5.5,107.4,1.82,7.03,36.6,0.02122,0.4648,Clay
2018-01-24,2.2,0.99,74.0,6.9,108.4,0.79,0.2,56.1,0.02747,0.5032,Clay
2018-01-25,1.8,6.06,82.5,5.3,114.4,0.63,5.43,34.9,0.01512,0.4022,Clay
2018-01-26,3.6,0.2,87.0,1.2,114.6,0.79,-0.59,49.5,0.02349,0.4032,Clay
2018-01-27,6.6,1.34,79.8,8.8,116.0,1.83,-0.49,51.7,0.02732,0.571,Clay
2018-01-28,4.5,3.91,76.9,7.6,119.9,0.76,3.14,47.5,0.02669,0.5427,Clay
2018-01-29,4.2,5.76,83.3,2.0,125.6,1.6,4.16,36.1,0.01664,0.3929,Clay
2018-01-30,1.5,0.04,76.5,1.9,125.7,0.72,-0.68,55.4,0.02597,0.4386,Clay
2018-01-31,1.2,1.58,90.0,4.5,116.7,0.36,1.21,44.6,0.02196,0.4351,Clay
2018-02-01,7.0,0.96,69.4,5.9,117.4,1.8,-0.84,53.6,0.03003,0.5469,Clay
2018-02-02,7.4,26.77,85.6,3.6,143.6,1.77,25.0,0.0,0.00351,0.3814,Clay
2018-02-03,7.4,4.43,89.0,2.1,144.1,1.74,2.69,46.0,0.02488,0.501,Clay
2018-02-04,6.8,2.07,84.1,4.3,139.8,1.73,0.34,50.4,0.02554,0.53,Clay
2018-02-05,5.8,0.31,93.5,3.3,134.0,1.43,-1.11,58.6,0.02942,0.5248,Clay
2018-02-06,5.9,3.63,73.8,3.4,132.6,1.52,2.11,44.6,0.02636,0.5034,Clay
2018-02-07,5.1,4.07,79.1,5.1,128.1,1.67,2.4,43.7,0.02043,0.4782,Clay
2018-02-08,6.5,6.72,82.0,7.1,133.9,1.54,5.18,45.0,0.02434,0.5556,Clay
2018-02-09,4.8,1.35,90.3,4.6,134.8,1.46,-0.12,57.2,0.03262,0.5615,Clay
2018-02-10,6.7,15.75,86.3,5.4,146.7,0.85,14.91,18.2,0.0094,0.4511,Clay
2018-02-11,7.9,2.28,100.0,5.2,142.2,1.78,0.5,52.5,0.02613,0.559,Clay
2018-02-12,1.5,1.38,77.9,4.5,140.1,1.48,-0.1,45.9,0.02436,0.496,Clay
2018-02-13,8.6,1.68,73.1,3.2,128.7,1.26,0.42,52.6,0.0288,0.5248,Clay
