Specimen_ID,Mix_ID,Peak_Temperature_C,Heating_Rate,Cooling_Method,Test_Type,Mass_Loss_pct,UPV_mps,Residual_Compressive_Strength_MPa,Spalling_Occurred,Spalling_Depth_mm,Visual_Cracking_Rating
C-28-R-23-F-5-1,C,23,5_C_per_min,Furnace,Residual,0.0,4661.706783630007,66.75545174530754,False,0.0,Minor
C-28-R-23-F-5-2,C,23,5_C_per_min,Furnace,Residual,0.0,4505.392965123167,65.91602537334514,False,0.0,Minor
C-28-R-23-F-5-3,C,23,5_C_per_min,Furnace,Residual,0.0,4218.720422651643,66.95503628160188,False,0.0,Minor
C-28-R-23-F-10-1,C,23,10_C_per_min,Furnace,Residual,0.0,4596.375668003651,68.11221662719579,False,0.0,None
C-28-R-23-F-10-2,C,23,10_C_per_min,Furnace,Residual,0.0,4279.610306240176,66.46769341489205,False,0.0,Minor
C-28-R-23-F-10-3,C,23,10_C_per_min,Furnace,Residual,0.0,4739.591069344002,67.4346845871973,False,0.0,None
C-28-R-23-Q-5-1,C,23,5_C_per_min,Quench,Residual,0.0,4610.186878270646,65.47817354076825,False,0.0,Minor
C-28-R-23-Q-5-2,C,23,5_C_per_min,Quench,Residual,0.0,4326.851183346341,66.81605891920618,False,0.0,Minor
C-28-R-23-Q-5-3,C,23,5_C_per_min,Quench,Residual,0.0,4572.492502099363,65.48618034462186,False,0.0,None
C-28-R-23-Q-10-1,C,23,10_C_per_min,Quench,Residual,0.0,4707.4504404538175,65.48312385544355,False,0.0,None
C-28-R-23-Q-10-2,C,23,10_C_per_min,Quench,Residual,0.0,4558.949267289921,63.81850724717422,False,0.0,None
C-28-R-23-Q-10-3,C,23,10_C_per_min,Quench,Residual,0.0,4811.968923437835,65.35547677894488,False,0.0,Minor
C-28-R-200-F-5-1,C,200,5_C_per_min,Furnace,Residual,1.6660690326841,4281.960149648917,61.94506707606733,False,0.0,None
C-28-R-200-F-5-2,C,200,5_C_per_min,Furnace,Residual,1.6894574724183244,4645.169980931682,61.32170090974941,False,0.0,Minor
