firm_id,city,subsector,ownership_type,age_years,employees,total_assets_million_ngn,foreign_equity_share,fdi_years,iot_use,skilled_labor_ratio,rd_spend_percent_revenue,liquidity_ratio,tax_incentives_support,regulatory_stability,infrastructure_support,corruption_experience,policy_effectiveness_index,knowledge_absorption,task_performance,innovation_capability,firm_resources,operational_efficiency_index,roi_percent,roa_percent,export_intensity_percent,export_intensity_ctrl_percent,market_share_percent
F001,Lagos,Fruits & Vegetables,Foreign,71,11,536.31,0.796,0,0,0.564,5.0,1.31,3,3,3,5,33.33,4,3,4,4,81.87,9.63,9.84,62.37,39.23,10.75
F002,Lagos,Beverages,Joint Venture,5,30,1368.91,0.525,11,1,0.666,6.79,1.09,4,4,5,4,54.17,4,3,4,4,75.24,13.26,12.99,63.57,33.87,17.76
F003,Lagos,Confectionery,Joint Venture,32,21,976.19,0.54,15,0,0.444,4.56,1.26,3,3,3,5,33.33,4,4,4,4,65.24,9.71,8.64,64.44,14.28,20.04
F004,Lagos,Grains & Cereals,Domestic,37,15,299.21,0.006,0,0,0.377,3.16,2.42,5,7,5,3,75.0,3,4,3,3,75.23,14.76,10.2,26.67,16.72,12.56
F005,Lagos,Bakery,Domestic,64,35,441.39,0.003,0,0,0.422,4.22,1.75,7,6,7,1,95.83,3,4,3,3,79.38,21.71,11.85,43.54,21.09,17.05
F006,Lagos,Oils & Fats,Foreign,11,260,3777.73,0.88,0,1,0.725,8.58,1.57,4,4,5,3,58.33,4,4,4,4,87.5,14.82,12.89,74.41,45.86,27.06
F007,Lagos,Fruits & Vegetables,Domestic,35,87,787.36,0.001,0,0,0.306,2.6,1.51,4,3,3,5,37.5,3,3,3,3,67.9,9.28,8.77,22.77,16.81,18.44
F008,Lagos,Fruits & Vegetables,Foreign,13,253,2632.46,0.918,4,1,0.722,9.0,2.27,5,4,4,2,62.5,4,4,5,4,98.05,15.06,12.52,78.1,41.58,22.48
F009,Lagos,Bakery,Domestic,64,125,1026.09,0.001,0,0,0.409,2.59,1.47,4,3,1,5,29.17,3,3,2,3,81.36,5.46,10.92,19.64,8.8,21.51
F010,Lagos,Meat,Domestic,51,168,8323.06,0.01,0,0,0.549,2.22,1.93,4,4,4,4,50.0,3,3,3,3,72.99,15.87,6.3,22.58,7.63,15.05
F011,Lagos,Beverages,Domestic,40,44,366.63,0.002,0,0,0.363,2.56,1.42,4,4,4,3,54.17,3,3,3,3,69.31,11.59,6.85,29.42,19.76,7.52
F012,Lagos,Oils & Fats,Foreign,32,137,1502.12,0.892,7,0,0.645,6.77,1.26,3,2,2,6,20.83,4,3,4,4,82.05,8.35,7.78,65.84,43.4,21.79
F013,Lagos,Grains & Cereals,Domestic,13,161,6798.46,0.0,0,0,0.511,2.81,1.6,5,4,3,5,45.83,3,3,3,3,73.13,7.7,6.47,31.15,19.42,11.67
F014,Lagos,Confectionery,Domestic,74,57,1773.32,0.008,0,1,0.335,3.66,1.37,3,4,4,3,50.0,3,3,3,3,81.67,10.84,2.03,43.02,11.05,14.08
F015,Lagos,Meat,Domestic,52,141,5618.68,0.006,0,0,0.283,1.85,1.54,4,4,4,3,54.17,3,3,3,3,93.07,14.08,10.43,34.4,18.27,15.62
F016,Lagos,Dairy,Domestic,26,142,4741.53,0.001,0,0,0.432,2.35,2.0,5,5,4,3,62.5,3,3,3,3,81.87,8.79,5.17,31.99,8.92,16.25
F017,Lagos,Grains & Cereals,Domestic,34,58,2592.48,0.009,0,1,0.465,3.63,1.36,4,4,5,4,54.17,3,4,4,3,73.6,15.91,8.9,40.86,10.77,21.88
F018,Lagos,Bakery,Foreign,59,37,1248.05,0.741,9,1,0.659,7.16,1.6,4,4,4,3,54.17,4,3,4,4,85.94,12.72,5.97,74.39,37.75,14.76
F019,Lagos,Confectionery,Domestic,58,35,997.35,0.006,0,0,0.339,1.9,1.68,3,3,6,4,50.0,3,4,3,3,75.16,8.86,9.04,29.57,17.19,12.8
F020,Lagos,Grains & Cereals,Foreign,37,96,3559.08,0.903,0,1,0.607,9.49,1.49,6,5,5,3,70.83,4,4,5,4,89.85,13.47,8.93,75.25,53.82,17.19
F021,Lagos,Fruits & Vegetables,Joint Venture,25,117,2940.52,0.747,2,1,0.666,8.67,2.06,4,5,6,3,66.67,4,4,4,4,93.89,20.23,7.62,76.41,36.72,19.94
F022,Lagos,Beverages,Domestic,53,48,987.5,0.005,0,0,0.499,2.45,1.76,4,5,4,4,54.17,3,4,2,3,82.6,7.51,8.13,28.63,10.7,17.81
F023,Lagos,Oils & Fats,Domestic,53,92,2396.08,0.01,0,1,0.261,3.79,1.42,3,3,1,5,25.0,3,3,3,3,79.41,7.98,4.16,46.34,9.13,21.46
F024,Lagos,Confectionery,Foreign,48,142,1794.47,0.805,7,0,0.649,6.81,1.0,4,4,4,4,50.0,4,3,4,4,84.12,15.54,7.92,73.2,33.86,24.86
F025,Lagos,Fruits & Vegetables,Domestic,6,148,6045.17,0.012,0,1,0.411,4.58,1.75,6,6,5,1,83.33,3,3,3,4,100.0,14.69,9.3,57.27,30.01,25.97
F026,Lagos,Dairy,Domestic,38,312,5220.28,0.006,0,0,0.368,2.45,1.84,4,5,5,3,62.5,3,4,3,3,96.34,10.73,10.01,38.55,18.69,24.23
F027,Lagos,Meat,Joint Venture,50,250,2977.23,0.695,6,1,0.607,7.0,1.86,2,2,2,5,20.83,4,3,4,4,93.02,14.72,6.16,68.29,39.54,15.13
F028,Lagos,Bakery,Joint Venture,77,40,643.43,0.699,10,1,0.701,9.3,2.04,6,6,5,1,83.33,4,4,4,4,88.9,18.76,8.67,73.84,36.77,20.39
F029,Lagos,Bakery,Foreign,43,346,14841.03,0.892,7,1,0.77,9.13,2.07,5,5,6,3,70.83,4,4,5,4,88.1,16.96,11.44,75.51,43.7,23.63
F030,Lagos,Grains & Cereals,Domestic,28,59,1171.68,0.001,0,1,0.323,2.94,1.37,4,5,5,3,62.5,3,3,3,3,90.9,9.55,8.76,27.74,18.24,14.54
F031,Lagos,Fruits & Vegetables,Foreign,45,208,7461.43,0.937,11,1,0.588,8.1,1.56,4,4,2,5,37.5,4,3,4,4,88.77,11.0,12.39,76.08,38.44,17.81
F032,Lagos,Oils & Fats,Foreign,15,95,4136.15,0.919,6,1,0.775,9.57,2.23,6,6,6,3,79.17,5,4,5,4,88.64,18.03,9.48,76.77,43.5,25.01
F033,Lagos,Beverages,Domestic,8,65,552.4,0.008,0,0,0.365,1.93,1.47,5,5,4,3,62.5,3,3,2,3,76.06,7.78,6.27,38.62,11.96,27.44
F034,Lagos,Beverages,Foreign,55,21,827.95,0.909,2,1,0.829,10.26,1.89,6,4,5,3,66.67,5,4,5,4,78.14,19.53,14.82,75.76,40.87,14.08
F035,Lagos,Meat,Domestic,79,78,1469.91,0.001,0,0,0.481,2.23,1.55,3,2,3,4,33.33,3,3,3,3,84.94,15.54,11.79,32.34,12.99,16.88
F036,Lagos,Dairy,Domestic,68,26,383.45,0.001,0,0,0.551,2.15,1.82,4,5,4,3,58.33,3,3,2,3,79.4,10.28,4.99,21.33,11.04,11.52
F037,Lagos,Bakery,Domestic,47,195,7020.11,0.024,0,0,0.374,2.83,1.77,6,6,6,3,79.17,4,4,3,3,89.57,15.54,7.23,28.89,17.97,26.73
F038,Lagos,Meat,Domestic,4,303,13920.08,0.0,0,1,0.467,4.83,1.44,5,5,6,2,75.0,3,4,3,3,90.78,16.99,9.7,28.74,17.01,28.45
F039,Lagos,Dairy,Domestic,80,48,877.24,0.0,0,1,0.468,3.66,2.27,5,5,5,3,66.67,3,3,3,4,77.37,19.49,7.01,44.37,14.17,21.44
F040,Lagos,Grains & Cereals,Foreign,36,115,3518.71,0.844,5,0,0.74,6.25,1.79,4,4,4,4,50.0,5,4,4,4,69.22,19.53,8.67,68.36,34.24,26.56
F041,Lagos,Beverages,Joint Venture,24,50,902.13,0.672,5,1,0.506,5.37,1.3,1,1,2,6,8.33,4,3,4,4,67.17,5.42,8.08,62.49,30.4,15.61
F042,Lagos,Confectionery,Domestic,72,54,1616.91,0.001,0,1,0.478,3.79,1.48,4,4,5,3,58.33,3,3,3,3,75.09,10.48,11.6,46.4,12.26,16.1
F043,Lagos,Grains & Cereals,Foreign,60,167,5508.29,0.923,15,1,0.687,9.16,1.48,4,3,4,4,45.83,4,4,4,4,81.85,15.25,6.52,74.29,42.58,26.75
F044,Lagos,Beverages,Joint Venture,60,87,2824.46,0.302,5,1,0.497,6.13,1.65,4,4,4,4,50.0,4,4,4,4,89.22,12.3,13.11,48.09,28.83,20.7
F045,Lagos,Confectionery,Domestic,23,362,11967.57,0.005,0,0,0.302,3.27,1.85,5,5,3,3,58.33,3,3,3,3,92.07,17.22,5.76,53.28,9.58,16.13
F046,Lagos,Fruits & Vegetables,Domestic,80,61,675.79,0.004,0,1,0.43,4.28,1.82,5,4,5,3,62.5,3,3,3,3,80.98,17.26,8.59,44.23,27.31,21.88
F047,Lagos,Beverages,Domestic,37,200,7241.86,0.008,0,0,0.348,2.41,1.23,3,3,3,5,33.33,3,3,3,3,91.48,7.81,10.44,19.98,12.63,20.37
F048,Lagos,Beverages,Domestic,43,97,3430.29,0.002,0,0,0.47,2.93,1.43,6,6,5,3,75.0,4,3,3,3,77.33,12.7,9.57,29.8,17.72,24.66
F049,Lagos,Grains & Cereals,Foreign,61,170,6071.8,0.741,9,0,0.668,5.76,1.63,5,4,5,3,62.5,4,3,4,4,85.73,11.7,9.1,67.73,32.5,23.92
F050,Lagos,Bakery,Domestic,53,63,524.99,0.0,0,0,0.341,2.13,0.81,4,2,2,4,33.33,3,3,2,3,73.98,8.09,7.77,24.26,18.24,11.74
F051,Lagos,Dairy,Domestic,14,87,2184.37,0.009,0,0,0.355,2.48,1.37,5,3,5,4,54.17,3,3,3,3,88.15,10.77,6.78,41.46,13.76,21.77
F052,Lagos,Bakery,Domestic,25,82,1919.34,0.003,0,0,0.444,2.15,1.45,4,4,3,5,41.67,3,3,3,3,78.52,13.85,8.34,29.31,11.75,21.87
F053,Lagos,Fruits & Vegetables,Domestic,29,46,409.49,0.001,0,0,0.308,1.72,1.48,3,2,3,5,29.17,3,3,3,3,74.97,7.68,5.68,40.88,10.34,19.86
F054,Lagos,Grains & Cereals,Joint Venture,76,153,2296.0,0.32,8,0,0.333,2.67,1.93,2,2,2,6,16.67,4,3,4,4,67.66,4.31,9.39,40.48,17.9,22.56
F055,Lagos,Grains & Cereals,Domestic,58,151,3751.34,0.006,0,0,0.41,2.25,0.88,3,3,1,5,25.0,3,3,3,3,70.9,4.97,2.87,30.02,14.17,25.68
F056,Lagos,Fruits & Vegetables,Domestic,30,145,5572.46,0.005,0,0,0.324,2.68,2.28,3,4,3,4,41.67,2,3,3,3,87.45,8.43,3.68,37.78,14.17,23.45
F057,Lagos,Meat,Domestic,59,308,4825.68,0.0,0,1,0.291,2.9,1.53,4,4,4,4,50.0,3,3,3,4,71.58,10.07,3.82,53.31,13.68,22.09
F058,Lagos,Grains & Cereals,Domestic,60,287,12151.22,0.001,0,0,0.339,2.27,1.84,5,5,6,4,66.67,3,4,3,3,97.65,13.87,7.93,43.91,11.93,24.61
F059,Lagos,Bakery,Domestic,32,67,1980.58,0.006,0,0,0.427,2.48,1.31,5,5,5,3,66.67,3,3,3,3,83.88,8.84,4.04,31.95,11.8,24.17
F060,Lagos,Bakery,Domestic,33,121,4745.5,0.001,0,0,0.403,2.29,2.03,3,5,3,4,45.83,3,3,3,3,73.74,8.32,5.33,29.58,11.69,23.26
F061,Lagos,Grains & Cereals,Domestic,72,55,1444.58,0.002,0,0,0.205,2.7,1.61,5,4,3,4,50.0,3,4,3,3,71.7,9.13,4.32,16.17,16.05,18.49
F062,Lagos,Meat,Domestic,45,92,2526.66,0.004,0,0,0.377,2.12,1.71,4,5,6,4,62.5,3,4,3,3,97.05,9.31,11.74,31.4,18.13,19.45
F063,Lagos,Grains & Cereals,Foreign,12,56,1841.69,0.973,6,1,0.785,9.41,0.89,4,3,3,5,37.5,4,3,4,4,93.71,10.06,6.85,76.92,48.15,20.43
F064,Lagos,Fruits & Vegetables,Foreign,58,329,15383.6,0.848,6,0,0.658,7.99,1.62,5,4,5,4,58.33,4,4,4,4,89.24,12.57,6.92,73.91,40.99,24.65
F065,Lagos,Grains & Cereals,Foreign,48,120,3255.79,0.729,12,1,0.652,8.42,1.99,5,5,4,3,62.5,5,4,4,4,92.01,17.89,11.36,72.84,39.98,29.18
F066,Lagos,Grains & Cereals,Foreign,41,76,2188.01,0.859,3,1,0.788,9.13,1.66,6,5,5,4,66.67,4,4,5,4,84.46,12.18,15.51,77.61,41.09,21.36
F067,Lagos,Grains & Cereals,Foreign,59,234,7509.03,0.869,7,1,0.786,8.75,2.09,4,5,5,4,58.33,4,4,5,4,94.17,14.57,10.7,74.37,29.64,27.41
F068,Lagos,Beverages,Domestic,73,16,611.01,0.001,0,0,0.468,3.12,2.07,6,5,4,3,66.67,3,4,3,4,71.44,11.78,8.83,28.37,14.03,12.4
F069,Lagos,Bakery,Domestic,27,18,148.2,0.02,0,0,0.2,3.21,1.54,6,5,6,3,75.0,3,3,3,3,75.15,14.3,10.7,33.78,14.3,9.75
F070,Lagos,Beverages,Domestic,34,170,4795.01,0.0,0,1,0.578,4.52,2.35,6,6,6,2,83.33,3,3,3,3,100.0,13.49,11.1,38.6,11.61,22.09
