Specimen_ID,Mix_ID,Curing_Age_days,Test_Type,Compressive_Strength_MPa,Tensile_Strength_MPa,Modulus_of_Elasticity_MPa,Dry_Density_kgm3,UPV_mps
C-7-A-1,C,7,Ambient,49.96074074796488,4.8345576919074285,30520.749360339825,2394.38031900664,4637.072687076722
C-7-A-2,C,7,Ambient,48.179291167436375,5.336919748535912,30663.247327691963,2413.0214410460635,4457.747305265854
C-7-A-3,C,7,Ambient,47.62041937376962,4.7387740470807005,30037.935103163578,2358.6019720196873,4327.804777980798
C-28-A-1,C,28,Ambient,63.17256552996684,6.104995863069575,35439.946265633385,2366.104711167953,4418.277833203091
C-28-A-2,C,28,Ambient,69.76335849899505,6.4119472428102515,35094.53948656309,2386.9348146113957,4371.7726632407885
C-28-A-3,C,28,Ambient,65.36049841655706,6.051112504805302,35525.97722568394,2392.9993500049613,4445.942517907308
C-56-A-1,C,56,Ambient,66.19667618576717,7.439060146717241,35680.72596307423,2419.7410778904764,4404.806016393969
C-56-A-2,C,56,Ambient,64.0838710444739,6.778900506113411,32901.59106309968,2404.724669660859,4380.463255599141
C-56-A-3,C,56,Ambient,70.77001720423434,6.763838638554011,35534.854252749596,2364.515472231182,4472.900667396964
R5S-7-A-1,R5S,7,Ambient,41.21133300455631,4.156846155248815,28350.14898212618,2318.3922523334395,4379.894791192456
R5S-7-A-2,R5S,7,Ambient,43.44272948458138,4.176226395073216,26463.508863667117,2384.3315887309045,4403.215837129155
R5S-7-A-3,R5S,7,Ambient,44.740611254610876,4.059740705293393,26863.576935073877,2383.0228650000877,4378.81991853211
R5S-28-A-1,R5S,28,Ambient,55.634353422140926,5.6365046299809745,30583.891233272283,2379.175609408503,4245.930023704982
R5S-28-A-2,R5S,28,Ambient,60.86528408142684,5.675372538419526,33284.52210930179,2344.775173791319,4381.462334179144
R5S-28-A-3,R5S,28,Ambient,58.02997747569898,6.226008505731362,31954.14266993926,2298.1740155434823,4486.123998055818
R5S-56-A-1,R5S,56,Ambient,62.30954324434286,5.901663200257579,32249.61600323176,2313.093373615419,4357.983187558589
R5S-56-A-2,R5S,56,Ambient,59.19263187564625,5.996796474440728,34569.53846481453,2340.9195509717206,4304.910491010192
R5S-56-A-3,R5S,56,Ambient,58.34849204707328,6.193459549981733,33069.217448771684,2372.113111421475,4303.910862272268
R10S-7-A-1,R10S,7,Ambient,36.92837999692703,3.888586220412502,23957.77564943693,2310.903090847334,4172.476379685788
R10S-7-A-2,R10S,7,Ambient,34.06079128280723,3.740294521092739,24907.40049836937,2314.5575785056967,4200.4295303579665
R10S-7-A-3,R10S,7,Ambient,34.149256261482364,3.5822477063302385,24312.083486704603,2316.2581714893486,4132.608709385384
R10S-28-A-1,R10S,28,Ambient,49.98992459919562,5.454538654955897,29202.510262884934,2318.272854754225,4221.634232820712
R10S-28-A-2,R10S,28,Ambient,44.29901052251735,4.892204920617931,29069.86704353159,2315.537225617078,4406.912337448764
R10S-28-A-3,R10S,28,Ambient,49.73879098871735,4.889794739706659,27644.333476361342,2337.444846358333,4295.997116419262
R10S-56-A-1,R10S,56,Ambient,53.484929683768236,4.771619290939058,31239.786228699595,2333.6150845761663,4082.2445107254484
R10S-56-A-2,R10S,56,Ambient,57.08494709739617,4.747045790023925,28909.956526334,2308.319364824504,4208.370714667361
