frequency_hz,TL_dB_sensor1,TL_dB_sensor2,TL_dB_sensor3
0.0,-48.90278,-37.71328,-33.478184
9.765625,-55.32192,-37.64794,-33.652225
19.53125,-57.362984,-33.64731,-34.945824
29.296875,-54.453053,-35.791656,-34.94754
39.0625,-50.860104,-37.061596,-30.690287
48.828125,-49.703327,-36.39715,-27.700216
58.59375,-51.916077,-31.074825,-26.272003
68.359375,-51.046402,-26.406696,-22.597456
78.125,-47.83658,-25.696402,-20.387886
87.890625,-39.2776,-24.959078,-23.190678
97.65625,-41.278366,-23.191156,-23.787214
107.421875,-41.580704,-20.117233,-23.398575
117.1875,-37.9338,-18.265156,-21.220394
126.953125,-33.96853,-16.10132,-17.6241
136.71875,-29.235023,-14.616533,-9.08319
146.48438,-27.025824,-7.8766966,-5.881553
156.25,-22.685022,-4.478768,-2.031888
166.01562,-20.475548,-4.0294333,2.2983832
175.78125,-16.04796,-0.094353564,-1.8604535
185.54688,-10.180103,1.1644942,0.05594373
195.3125,-7.4376607,-0.70979404,0.7983676
205.07812,-2.1383414,0.20415315,1.206149
214.84375,1.437387,0.30386725,0.4318201
224.60938,-0.5453155,0.29101866,0.29163396
234.375,0.2204883,0.40212008,0.6683245
244.14062,0.14840032,0.36800805,0.6015614
253.90625,0.12833694,0.36614978,0.6024502
263.67188,0.097093046,0.36476052,0.5945244
273.4375,0.57772475,0.42289776,0.65365803
283.20312,0.40476447,0.42190003,0.67562497
292.96875,0.25843593,0.41386247,0.7088542
302.73438,0.24755001,0.4246935,0.69135904
312.5,0.16975375,0.47533005,0.7437222
322.26562,-0.05901745,0.48757243,0.8233614
332.03125,-0.35186324,0.45064563,0.83224237
341.79688,0.08141638,0.47345582,0.82768226
351.5625,0.23999079,0.51682025,0.8487982
361.32812,0.31186846,0.5529047,0.8425992
371.09375,0.43495327,0.54973465,0.8435786
380.85938,0.55130535,0.5553482,0.8607224
390.625,0.5626945,0.5636308,0.8739637
400.39062,0.6385115,0.56028426,0.9023864
410.15625,0.5436716,0.55970174,0.94407076
419.92188,0.117886454,0.58743846,1.0247114
429.6875,0.2832404,0.61533344,1.097519
439.45312,0.6033244,0.5978095,1.1143241
449.21875,-0.07908444,0.6028283,1.1378899
458.98438,-0.22517127,0.63389,1.1606506
468.75,-0.22942343,0.67690367,1.126269
478.51562,-0.31128237,0.66095614,1.1448365
488.28125,-0.6278023,0.5966089,1.166403
498.04688,-0.43957788,0.6281114,1.2332346
507.8125,-0.21213245,0.7127052,1.2159892
517.5781,0.6629498,0.6674353,1.2246797
527.34375,0.07947753,0.73684335,1.2477067
537.1094,0.36954704,0.8249926,1.2499571
546.875,-0.38801235,0.8840172,1.3824272
556.6406,0.32177594,0.8042997,1.3620546
566.40625,-0.005336823,0.7959688,1.3495463
576.1719,-0.7191242,0.7879673,1.3763164
585.9375,0.24144548,0.8139615,1.3782979
595.7031,1.1158259,0.89382744,1.4311163
605.46875,1.3167746,0.82569724,1.479072
