material,lattice,surface_hkl,gamma_J_per_m2,method
Fe,bcc,(100),2.7129,synthetic
Fe,bcc,(110),2.5812,synthetic
Fe,bcc,(111),2.4338,synthetic
Fe,bcc,(112),2.834,synthetic
Ni,fcc,(100),2.5846,synthetic
Ni,fcc,(110),2.368,synthetic
Ni,fcc,(111),2.3451,synthetic
Ni,fcc,(112),2.7355,synthetic
Al,fcc,(100),1.1812,synthetic
Al,fcc,(110),1.1446,synthetic
Al,fcc,(111),1.1313,synthetic
Al,fcc,(112),1.2113,synthetic
Ti,hcp,(100),2.1955,synthetic
Ti,hcp,(110),2.0418,synthetic
Ti,hcp,(111),1.9641,synthetic
Ti,hcp,(112),2.2243,synthetic
Cu,fcc,(100),2.0084,synthetic
Cu,fcc,(110),1.9139,synthetic
Cu,fcc,(111),1.843,synthetic
Cu,fcc,(112),2.0298,synthetic
