material,lattice,defect_type,environment,formation_energy_eV,uncertainty_eV,temperature_K,method
Fe,bcc,vacancy,bulk,1.9538,0.0242,300,synthetic
Fe,bcc,vacancy,grain_boundary,1.6933,0.0435,300,synthetic
Fe,bcc,vacancy,surface,1.3079,0.0515,300,synthetic
Fe,bcc,interstitial,bulk,1.3735,0.0415,300,synthetic
Fe,bcc,interstitial,grain_boundary,1.3494,0.0618,300,synthetic
Fe,bcc,interstitial,surface,1.045,0.0311,300,synthetic
Fe,bcc,substitutional,bulk,2.311,0.0479,300,synthetic
Fe,bcc,substitutional,grain_boundary,1.9125,0.0505,300,synthetic
Fe,bcc,substitutional,surface,1.6054,0.0705,300,synthetic
Ni,fcc,vacancy,bulk,1.5714,0.0273,300,synthetic
Ni,fcc,vacancy,grain_boundary,1.1936,0.0548,300,synthetic
Ni,fcc,vacancy,surface,1.0838,0.055,300,synthetic
Ni,fcc,interstitial,bulk,1.3156,0.0558,300,synthetic
Ni,fcc,interstitial,grain_boundary,1.0387,0.0558,300,synthetic
Ni,fcc,interstitial,surface,0.8665,0.0555,300,synthetic
Ni,fcc,substitutional,bulk,1.9736,0.0636,300,synthetic
Ni,fcc,substitutional,grain_boundary,1.5462,0.042,300,synthetic
Ni,fcc,substitutional,surface,1.3909,0.0101,300,synthetic
Al,fcc,vacancy,bulk,0.7021,0.0416,300,synthetic
Al,fcc,vacancy,grain_boundary,0.5029,0.0117,300,synthetic
Al,fcc,vacancy,surface,0.3468,0.0455,300,synthetic
Al,fcc,interstitial,bulk,0.6957,0.0184,300,synthetic
Al,fcc,interstitial,grain_boundary,0.5651,0.0138,300,synthetic
Al,fcc,interstitial,surface,0.3636,0.043,300,synthetic
Al,fcc,substitutional,bulk,0.9181,0.0675,300,synthetic
Al,fcc,substitutional,grain_boundary,0.6269,0.0605,300,synthetic
Al,fcc,substitutional,surface,0.6408,0.0549,300,synthetic
Ti,hcp,vacancy,bulk,1.7781,0.0161,300,synthetic
Ti,hcp,vacancy,grain_boundary,1.5894,0.0487,300,synthetic
Ti,hcp,vacancy,surface,1.2829,0.0159,300,synthetic
Ti,hcp,interstitial,bulk,1.4485,0.0416,300,synthetic
Ti,hcp,interstitial,grain_boundary,1.3247,0.0437,300,synthetic
Ti,hcp,interstitial,surface,0.9219,0.025,300,synthetic
Ti,hcp,substitutional,bulk,2.1764,0.0253,300,synthetic
Ti,hcp,substitutional,grain_boundary,1.8735,0.0189,300,synthetic
Ti,hcp,substitutional,surface,1.5291,0.0605,300,synthetic
Cu,fcc,vacancy,bulk,1.3052,0.076,300,synthetic
Cu,fcc,vacancy,grain_boundary,1.1748,0.0085,300,synthetic
Cu,fcc,vacancy,surface,1.0045,0.0378,300,synthetic
Cu,fcc,interstitial,bulk,1.0118,0.0467,300,synthetic
Cu,fcc,interstitial,grain_boundary,0.6849,0.0449,300,synthetic
Cu,fcc,interstitial,surface,0.7413,0.0591,300,synthetic
Cu,fcc,substitutional,bulk,1.5315,0.0636,300,synthetic
Cu,fcc,substitutional,grain_boundary,1.2706,0.0027,300,synthetic
Cu,fcc,substitutional,surface,1.2657,0.047,300,synthetic
