material,lattice,process,path_id,barrier_eV,prefactor_THz,method
Fe,bcc,vacancy_migration,vacancy_migration_Fe_00,0.8767,4.493,synthetic
Fe,bcc,vacancy_migration,vacancy_migration_Fe_01,0.8977,7.231,synthetic
Fe,bcc,vacancy_migration,vacancy_migration_Fe_02,0.7312,5.042,synthetic
Fe,bcc,vacancy_migration,vacancy_migration_Fe_03,0.9411,3.709,synthetic
Fe,bcc,vacancy_migration,vacancy_migration_Fe_04,0.8667,6.812,synthetic
Fe,bcc,vacancy_migration,vacancy_migration_Fe_05,0.8614,8.499,synthetic
Fe,bcc,vacancy_migration,vacancy_migration_Fe_06,0.6962,7.556,synthetic
Fe,bcc,vacancy_migration,vacancy_migration_Fe_07,0.5996,7.903,synthetic
Fe,bcc,vacancy_migration,vacancy_migration_Fe_08,0.8794,4.65,synthetic
Fe,bcc,vacancy_migration,vacancy_migration_Fe_09,1.1715,0.898,synthetic
Fe,bcc,solute_drag,solute_drag_Fe_00,0.3559,5.274,synthetic
Fe,bcc,solute_drag,solute_drag_Fe_01,0.3983,3.344,synthetic
Fe,bcc,solute_drag,solute_drag_Fe_02,0.454,6.114,synthetic
Fe,bcc,solute_drag,solute_drag_Fe_03,0.335,6.174,synthetic
Fe,bcc,solute_drag,solute_drag_Fe_04,0.3301,6.726,synthetic
Fe,bcc,solute_drag,solute_drag_Fe_05,0.5129,5.54,synthetic
Fe,bcc,solute_drag,solute_drag_Fe_06,0.4093,3.459,synthetic
Fe,bcc,solute_drag,solute_drag_Fe_07,0.2414,5.087,synthetic
Fe,bcc,solute_drag,solute_drag_Fe_08,0.2938,6.12,synthetic
Fe,bcc,solute_drag,solute_drag_Fe_09,0.5284,1.939,synthetic
Fe,bcc,interstitial_migration,interstitial_migration_Fe_00,0.8301,1.466,synthetic
Fe,bcc,interstitial_migration,interstitial_migration_Fe_01,0.5514,5.384,synthetic
Fe,bcc,interstitial_migration,interstitial_migration_Fe_02,0.4029,4.386,synthetic
Fe,bcc,interstitial_migration,interstitial_migration_Fe_03,0.4921,4.932,synthetic
Fe,bcc,interstitial_migration,interstitial_migration_Fe_04,0.6215,4.53,synthetic
Fe,bcc,interstitial_migration,interstitial_migration_Fe_05,0.3676,4.97,synthetic
Fe,bcc,interstitial_migration,interstitial_migration_Fe_06,0.5628,4.034,synthetic
Fe,bcc,interstitial_migration,interstitial_migration_Fe_07,0.611,5.141,synthetic
Fe,bcc,interstitial_migration,interstitial_migration_Fe_08,0.4344,6.538,synthetic
Fe,bcc,interstitial_migration,interstitial_migration_Fe_09,0.3111,7.639,synthetic
Ni,fcc,vacancy_migration,vacancy_migration_Ni_00,0.6427,5.146,synthetic
Ni,fcc,vacancy_migration,vacancy_migration_Ni_01,0.8875,7.969,synthetic
Ni,fcc,vacancy_migration,vacancy_migration_Ni_02,0.7455,3.584,synthetic
Ni,fcc,vacancy_migration,vacancy_migration_Ni_03,0.6846,5.205,synthetic
Ni,fcc,vacancy_migration,vacancy_migration_Ni_04,0.7943,1.876,synthetic
Ni,fcc,vacancy_migration,vacancy_migration_Ni_05,0.6284,2.449,synthetic
Ni,fcc,vacancy_migration,vacancy_migration_Ni_06,0.8135,10.088,synthetic
Ni,fcc,vacancy_migration,vacancy_migration_Ni_07,0.9181,4.68,synthetic
Ni,fcc,vacancy_migration,vacancy_migration_Ni_08,0.6715,4.45,synthetic
