wavenumber_cm-1,absorbance
4000,0.01986
3996,0.02094
3992,0.02133
3988,0.02365
3984,0.02397
3980,0.02165
3976,0.02283
3972,0.01936
3968,0.02108
3964,0.01811
3960,0.02235
3956,0.01714
3952,0.01974
3948,0.02255
3944,0.02113
3940,0.02358
3936,0.01677
3932,0.02324
3928,0.018
3924,0.01855
3920,0.01632
3916,0.02249
3912,0.023
3908,0.02048
3904,0.02133
3900,0.02194
3896,0.02298
3892,0.01954
3888,0.02027
3884,0.01668
3880,0.023
3876,0.02362
3872,0.0226
3868,0.01856
3864,0.01778
3860,0.01687
3856,0.02375
3852,0.02202
3848,0.0211
3844,0.01811
3840,0.01826
3836,0.02204
3832,0.02386
3828,0.01799
3824,0.02129
3820,0.0214
3816,0.02188
3812,0.02325
3808,0.01722
3804,0.01643
3800,0.02279
3796,0.02227
3792,0.02044
3788,0.01941
3784,0.02044
3780,0.02095
3776,0.01646
3772,0.01655
3768,0.02355
3764,0.0174
3760,0.01853
3756,0.01977
3752,0.0209
3748,0.01911
3744,0.01938
3740,0.02347
3736,0.02063
3732,0.01984
3728,0.02339
3724,0.02209
3720,0.0234
3716,0.02027
3712,0.0239
3708,0.02177
3704,0.0195
3700,0.02156
3696,0.01989
3692,0.01758
3688,0.02082
3684,0.0218
3680,0.01786
3676,0.01716
3672,0.01659
3668,0.02214
3664,0.02008
3660,0.02069
3656,0.01826
3652,0.0202
3648,0.0205
3644,0.02369
3640,0.01842
3636,0.01711
3632,0.02195
3628,0.01735
3624,0.02097
3620,0.02393
3616,0.0198
3612,0.01736
3608,0.02125
3604,0.02088
3600,0.01729
3596,0.02289
3592,0.02141
3588,0.01995
3584,0.01638
3580,0.01696
3576,0.0201
3572,0.02034
3568,0.02309
3564,0.02236
3560,0.02145
3556,0.02317
3552,0.01739
3548,0.02069
3544,0.02116
3540,0.01719
3536,0.02126
3532,0.02277
3528,0.02268
3524,0.01714
3520,0.01892
3516,0.02155
3512,0.01933
3508,0.01642
3504,0.02392
3500,0.01743
3496,0.01823
3492,0.02249
3488,0.02174
3484,0.02033
3480,0.01846
3476,0.02106
3472,0.01896
3468,0.02294
3464,0.02232
3460,0.02352
3456,0.01809
3452,0.02252
3448,0.02328
3444,0.02316
3440,0.01941
3436,0.02328
3432,0.02395
3428,0.01915
3424,0.01661
3420,0.02008
3416,0.01805
3412,0.02108
3408,0.01854
3404,0.01949
3400,0.01767
3396,0.01711
3392,0.01667
3388,0.01926
3384,0.02065
3380,0.02317
3376,0.01693
3372,0.02324
3368,0.02367
3364,0.01688
3360,0.022
3356,0.0199
3352,0.02128
3348,0.02037
3344,0.01643
3340,0.01792
3336,0.02041
3332,0.01746
3328,0.01618
3324,0.01842
3320,0.0174
3316,0.01662
3312,0.01823
3308,0.01763
3304,0.01669
3300,0.01917
3296,0.02138
3292,0.01823
3288,0.01766
3284,0.02232
3280,0.02399
3276,0.0231
3272,0.01771
3268,0.01642
3264,0.0186
3260,0.01836
3256,0.02301
3252,0.02009
3248,0.02189
3244,0.02088
3240,0.02102
3236,0.01796
3232,0.02044
3228,0.01984
3224,0.02296
3220,0.02266
3216,0.02219
3212,0.02392
3208,0.01872
3204,0.01849
3200,0.02208
3196,0.01933
3192,0.02138
3188,0.02314
3184,0.02193
3180,0.01851
3176,0.02112
3172,0.02138
3168,0.02277
3164,0.0213
3160,0.02246
3156,0.02291
3152,0.02067
3148,0.01722
3144,0.02134
3140,0.01902
3136,0.01883
3132,0.01682
3128,0.02394
3124,0.02056
3120,0.02136
3116,0.01847
3112,0.02061
3108,0.02051
3104,0.02236
3100,0.02193
3096,0.01766
3092,0.01749
3088,0.01779
3084,0.01873
3080,0.01834
3076,0.01703
3072,0.01638
3068,0.02087
3064,0.01851
3060,0.01996
3056,0.02315
3052,0.0205
3048,0.02111
3044,0.01974
3040,0.01721
3036,0.02366
3032,0.02187
3028,0.0228
3024,0.0251
3020,0.02088
3016,0.0226
3012,0.02782
3008,0.02926
3004,0.02895
3000,0.02971
2996,0.03832
2992,0.04489
2988,0.04509
2984,0.05653
2980,0.0601
2976,0.06715
2972,0.07607
2968,0.09251
2964,0.10512
2960,0.11707
2956,0.12463
2952,0.13921
2948,0.15605
2944,0.16423
2940,0.17436
2936,0.18766
2932,0.19969
2928,0.20331
2924,0.20987
2920,0.22267
2916,0.2232
2912,0.22376
2908,0.22349
2904,0.22539
2900,0.22702
2896,0.22108
2892,0.21894
2888,0.21693
2884,0.21143
2880,0.20679
2876,0.20877
2872,0.2071
2868,0.20213
2864,0.19578
2860,0.19629
2856,0.19491
2852,0.18467
2848,0.17953
2844,0.1718
2840,0.16884
2836,0.1558
2832,0.14787
2828,0.14339
2824,0.13357
2820,0.12075
2816,0.11014
2812,0.09976
2808,0.08696
2804,0.07829
2800,0.06703
2796,0.0657
2792,0.05668
2788,0.05126
2784,0.04713
2780,0.04028
2776,0.03168
2772,0.03317
2768,0.03034
2764,0.02808
2760,0.02424
2756,0.02259
2752,0.02206
2748,0.02096
2744,0.01856
2740,0.01823
2736,0.02358
2732,0.0189
2728,0.02154
2724,0.01631
2720,0.02048
2716,0.01883
2712,0.01778
2708,0.02396
2704,0.01967
2700,0.01747
2696,0.01883
2692,0.01696
2688,0.02029
2684,0.01826
2680,0.0186
2676,0.01606
2672,0.02361
2668,0.01977
2664,0.01712
2660,0.01861
2656,0.02334
2652,0.01798
2648,0.02303
2644,0.02265
2640,0.02178
2636,0.02311
2632,0.0185
2628,0.01996
2624,0.0192
2620,0.01701
2616,0.01964
2612,0.02216
2608,0.01653
2604,0.01691
2600,0.0231
2596,0.01974
2592,0.01803
2588,0.02376
2584,0.01885
2580,0.02134
2576,0.01978
2572,0.01624
2568,0.02227
2564,0.01816
2560,0.02233
2556,0.0238
2552,0.01911
2548,0.01732
2544,0.02084
2540,0.01771
2536,0.02374
2532,0.01771
2528,0.02391
2524,0.02022
2520,0.01925
2516,0.02068
2512,0.01736
2508,0.02312
2504,0.02251
2500,0.01815
2496,0.01621
2492,0.02107
2488,0.01874
2484,0.02175
2480,0.02054
2476,0.02159
2472,0.02135
2468,0.0206
2464,0.02069
2460,0.02125
2456,0.01746
2452,0.01865
2448,0.0235
2444,0.02282
2440,0.01859
2436,0.02045
2432,0.01718
2428,0.02117
2424,0.01854
2420,0.02081
2416,0.02339
2412,0.0226
2408,0.02365
2404,0.01617
2400,0.02261
2396,0.01735
2392,0.01696
2388,0.01733
2384,0.01971
2380,0.02379
2376,0.0201
2372,0.01712
2368,0.02272
2364,0.01805
2360,0.02156
2356,0.01798
2352,0.02136
2348,0.02304
2344,0.01611
2340,0.01685
2336,0.02163
2332,0.02108
2328,0.02093
2324,0.02154
2320,0.01806
2316,0.02327
2312,0.01712
2308,0.01881
2304,0.02078
2300,0.02322
2296,0.01746
2292,0.01755
2288,0.01721
2284,0.02018
2280,0.02127
2276,0.01601
2272,0.01741
2268,0.0191
2264,0.02314
2260,0.02033
2256,0.01739
2252,0.02139
2248,0.02175
2244,0.01671
2240,0.02062
2236,0.01975
2232,0.02088
2228,0.02106
2224,0.02173
2220,0.02175
2216,0.02355
2212,0.01957
2208,0.01789
2204,0.02256
2200,0.01815
2196,0.01623
2192,0.02145
2188,0.02098
2184,0.01667
2180,0.02036
2176,0.01661
2172,0.02122
2168,0.02308
2164,0.0217
2160,0.02067
2156,0.01719
2152,0.02249
2148,0.02042
2144,0.01895
2140,0.02277
2136,0.01678
2132,0.01709
2128,0.01851
2124,0.02242
2120,0.02331
2116,0.0236
2112,0.01909
2108,0.02373
2104,0.02266
2100,0.01874
2096,0.02102
2092,0.01822
2088,0.02359
2084,0.01846
2080,0.02032
2076,0.02381
2072,0.01874
2068,0.02253
2064,0.02208
2060,0.02392
2056,0.01703
2052,0.01846
2048,0.0215
2044,0.01719
2040,0.01925
2036,0.01974
2032,0.02132
2028,0.02043
2024,0.02043
2020,0.02148
2016,0.01699
2012,0.01767
2008,0.02235
2004,0.02298
2000,0.01894
1996,0.02292
1992,0.01807
1988,0.02084
1984,0.02177
1980,0.02018
1976,0.02257
1972,0.02145
1968,0.02043
1964,0.01747
1960,0.02137
1956,0.0186
1952,0.02011
1948,0.01921
1944,0.01818
1940,0.02103
1936,0.02092
1932,0.01807
1928,0.01833
1924,0.02095
1920,0.02217
1916,0.01699
1912,0.01894
1908,0.02014
1904,0.02199
1900,0.02312
1896,0.02141
1892,0.02101
1888,0.02177
1884,0.01879
1880,0.01673
1876,0.02169
1872,0.02296
1868,0.02089
1864,0.02238
1860,0.01674
1856,0.02323
1852,0.01606
1848,0.02124
1844,0.02016
1840,0.01645
1836,0.02194
1832,0.02085
1828,0.01734
1824,0.01683
1820,0.02061
1816,0.02195
1812,0.01913
1808,0.01914
1804,0.01943
1800,0.02333
1796,0.01834
1792,0.02038
1788,0.01926
1784,0.01963
1780,0.0233
1776,0.02026
1772,0.01689
1768,0.01876
1764,0.02416
1760,0.02325
1756,0.01829
1752,0.01896
1748,0.02131
1744,0.02511
1740,0.02396
1736,0.02164
1732,0.02691
1728,0.0279
1724,0.02767
1720,0.0278
1716,0.03314
1712,0.03388
1708,0.03918
1704,0.05048
1700,0.0565
1696,0.06147
1692,0.06827
1688,0.07102
1684,0.07535
1680,0.0832
1676,0.08809
1672,0.09266
1668,0.10113
1664,0.10539
1660,0.10547
1656,0.1078
1652,0.10142
1648,0.10727
1644,0.09855
1640,0.10042
1636,0.09947
1632,0.09918
1628,0.09362
1624,0.09917
1620,0.09292
1616,0.09759
1612,0.09778
1608,0.09652
1604,0.09643
1600,0.09057
1596,0.0875
1592,0.07971
1588,0.07698
1584,0.07149
1580,0.06624
1576,0.0589
1572,0.05622
1568,0.04359
1564,0.03854
1560,0.03485
1556,0.0337
1552,0.03376
1548,0.03091
1544,0.02347
1540,0.0239
1536,0.02682
1532,0.02678
1528,0.02781
1524,0.02175
1520,0.02905
1516,0.03241
1512,0.03127
1508,0.03212
1504,0.03584
1500,0.04627
1496,0.0501
1492,0.05383
1488,0.06579
1484,0.06978
1480,0.07742
1476,0.0895
1472,0.09978
1468,0.10521
1464,0.11338
1460,0.11172
1456,0.11961
1452,0.12241
1448,0.1204
1444,0.12029
1440,0.11551
1436,0.11485
1432,0.10782
1428,0.10807
1424,0.09838
1420,0.09586
1416,0.09045
1412,0.0879
1408,0.09307
1404,0.09173
1400,0.09633
1396,0.09904
1392,0.09526
1388,0.10116
1384,0.09997
1380,0.10538
1376,0.10103
1372,0.10436
1368,0.09539
1364,0.09626
1360,0.08466
1356,0.0796
1352,0.07485
1348,0.0635
1344,0.05701
1340,0.04976
1336,0.0461
1332,0.04212
1328,0.03317
1324,0.02763
1320,0.02359
1316,0.02687
1312,0.02178
1308,0.02222
1304,0.02497
1300,0.02323
1296,0.01679
1292,0.01752
1288,0.02147
1284,0.01767
1280,0.01853
1276,0.02057
1272,0.01929
1268,0.01841
1264,0.01705
1260,0.01657
1256,0.01859
1252,0.0163
1248,0.02272
1244,0.02376
1240,0.02335
1236,0.02387
1232,0.0231
1228,0.02373
1224,0.02716
1220,0.02079
1216,0.02689
1212,0.03056
1208,0.03407
1204,0.0342
1200,0.04283
1196,0.04985
1192,0.05695
1188,0.05931
1184,0.06967
1180,0.08001
1176,0.08974
1172,0.09389
1168,0.10708
1164,0.10903
1160,0.1199
1156,0.12195
1152,0.13223
1148,0.13268
1144,0.13152
1140,0.13768
1136,0.13825
1132,0.14034
1128,0.13986
1124,0.14012
1120,0.1425
1116,0.14017
1112,0.14378
1108,0.14187
1104,0.14188
1100,0.14436
1096,0.13927
1092,0.14161
1088,0.13435
1084,0.12881
1080,0.12834
1076,0.11673
1072,0.11646
1068,0.10944
1064,0.09641
1060,0.08978
1056,0.08675
1052,0.07837
1048,0.07348
1044,0.06697
1040,0.0566
1036,0.0517
1032,0.05021
1028,0.04595
1024,0.03808
1020,0.03406
1016,0.0372
1012,0.03395
1008,0.02649
1004,0.02396
1000,0.02745
996,0.02412
992,0.02074
988,0.0217
984,0.0231
980,0.02532
976,0.02101
972,0.01888
968,0.02258
964,0.01714
960,0.02342
956,0.01862
952,0.02066
948,0.02244
944,0.01737
940,0.01957
936,0.01766
932,0.01799
928,0.01615
924,0.01799
920,0.02092
916,0.02334
912,0.02008
908,0.0225
904,0.02286
900,0.02394
896,0.02266
892,0.02123
888,0.02295
884,0.01791
880,0.01825
876,0.01857
872,0.01991
868,0.0168
864,0.02163
860,0.01786
856,0.01862
852,0.01625
848,0.02195
844,0.01711
840,0.01781
836,0.02021
832,0.02188
828,0.02063
824,0.02394
820,0.02245
816,0.01981
812,0.02299
808,0.02303
804,0.01869
800,0.02302
796,0.01699
792,0.01808
788,0.01667
784,0.01719
780,0.01899
776,0.01769
772,0.01671
768,0.02064
764,0.01705
760,0.02001
756,0.02063
752,0.02071
748,0.01992
744,0.02835
740,0.03026
736,0.03001
732,0.03688
728,0.04251
724,0.04579
720,0.04769
716,0.05402
712,0.06292
708,0.06394
704,0.06833
700,0.07297
696,0.06685
692,0.06342
688,0.05938
684,0.05504
680,0.04691
676,0.044
672,0.04041
668,0.03775
664,0.03384
660,0.02349
656,0.0251
652,0.02261
648,0.02297
644,0.0235
640,0.02131
636,0.02383
632,0.02396
628,0.01738
624,0.02236
620,0.01759
616,0.02068
612,0.02183
608,0.01718
604,0.02096
600,0.02117
596,0.01912
592,0.02394
588,0.01641
584,0.02203
580,0.02383
576,0.02453
572,0.02223
568,0.02142
564,0.02568
560,0.02187
556,0.03174
552,0.02867
548,0.03843
544,0.03938
540,0.04718
536,0.04918
532,0.05192
528,0.05823
524,0.06281
520,0.06337
516,0.05874
512,0.05543
508,0.05266
504,0.04888
500,0.0403
496,0.0358
492,0.03275
488,0.03271
484,0.02503
480,0.02384
476,0.02213
472,0.02121
468,0.01934
464,0.01921
460,0.01962
456,0.02153
452,0.01708
448,0.01978
444,0.01743
440,0.02051
436,0.01784
432,0.01912
428,0.01763
424,0.02143
420,0.02223
416,0.02257
412,0.01634
408,0.02219
404,0.02204
400,0.01906
