wavenumber_cm-1,absorbance
4000,0.02341
3996,0.02188
3992,0.01687
3988,0.02185
3984,0.01808
3980,0.02021
3976,0.01696
3972,0.02367
3968,0.01651
3964,0.02335
3960,0.01925
3956,0.01752
3952,0.02356
3948,0.02053
3944,0.01751
3940,0.01848
3936,0.02117
3932,0.01982
3928,0.01953
3924,0.01803
3920,0.01912
3916,0.01608
3912,0.02395
3908,0.01897
3904,0.02254
3900,0.0224
3896,0.02077
3892,0.02381
3888,0.02002
3884,0.01877
3880,0.01847
3876,0.02282
3872,0.02259
3868,0.01602
3864,0.02353
3860,0.02345
3856,0.01664
3852,0.01689
3848,0.0168
3844,0.02293
3840,0.01658
3836,0.02324
3832,0.02012
3828,0.01798
3824,0.01747
3820,0.01778
3816,0.01636
3812,0.02266
3808,0.0223
3804,0.01761
3800,0.01942
3796,0.0163
3792,0.01968
3788,0.01988
3784,0.01869
3780,0.02289
3776,0.01874
3772,0.01639
3768,0.02095
3764,0.02172
3760,0.01899
3756,0.02249
3752,0.02344
3748,0.01602
3744,0.01996
3740,0.02147
3736,0.01876
3732,0.02021
3728,0.01732
3724,0.02259
3720,0.02068
3716,0.02276
3712,0.01919
3708,0.01784
3704,0.0176
3700,0.01961
3696,0.01695
3692,0.01708
3688,0.01686
3684,0.02267
3680,0.01627
3676,0.02231
3672,0.01679
3668,0.01933
3664,0.01656
3660,0.02016
3656,0.018
3652,0.01951
3648,0.01999
3644,0.02147
3640,0.01813
3636,0.01842
3632,0.02174
3628,0.02111
3624,0.02399
3620,0.01976
3616,0.02089
3612,0.02383
3608,0.02347
3604,0.02104
3600,0.01605
3596,0.02033
3592,0.0196
3588,0.0184
3584,0.0201
3580,0.01707
3576,0.02197
3572,0.02066
3568,0.02288
3564,0.01663
3560,0.02365
3556,0.01856
3552,0.01673
3548,0.02342
3544,0.01979
3540,0.01666
3536,0.01975
3532,0.02029
3528,0.02008
3524,0.01652
3520,0.01615
3516,0.02006
3512,0.01714
3508,0.01741
3504,0.01843
3500,0.02126
3496,0.02029
3492,0.02265
3488,0.01651
3484,0.02298
3480,0.01616
3476,0.01747
3472,0.01685
3468,0.01666
3464,0.02206
3460,0.0176
3456,0.02122
3452,0.0225
3448,0.02093
3444,0.01782
3440,0.02051
3436,0.01857
3432,0.02309
3428,0.01659
3424,0.02111
3420,0.02102
3416,0.01976
3412,0.0197
3408,0.02189
3404,0.017
3400,0.02399
3396,0.02053
3392,0.01727
3388,0.01731
3384,0.02365
3380,0.02204
3376,0.02177
3372,0.01914
3368,0.01788
3364,0.02036
3360,0.02142
3356,0.02346
3352,0.01724
3348,0.01701
3344,0.02314
3340,0.01828
3336,0.01887
3332,0.02058
3328,0.01969
3324,0.02049
3320,0.02041
3316,0.01925
3312,0.01856
3308,0.0219
3304,0.01775
3300,0.02161
3296,0.01683
3292,0.02315
3288,0.01696
3284,0.02112
3280,0.01664
3276,0.02153
3272,0.01678
3268,0.01662
3264,0.02041
3260,0.02399
3256,0.01841
3252,0.01939
3248,0.02071
3244,0.01746
3240,0.024
3236,0.0171
3232,0.01853
3228,0.02035
3224,0.0203
3220,0.02033
3216,0.02053
3212,0.01975
3208,0.01761
3204,0.01885
3200,0.02361
3196,0.02236
3192,0.0221
3188,0.022
3184,0.02257
3180,0.02185
3176,0.02137
3172,0.02184
3168,0.02112
3164,0.02158
3160,0.01751
3156,0.02145
3152,0.02273
3148,0.01902
3144,0.01612
3140,0.02184
3136,0.0238
3132,0.01913
3128,0.01652
3124,0.01749
3120,0.02255
3116,0.01666
3112,0.01873
3108,0.02148
3104,0.01654
3100,0.01923
3096,0.02371
3092,0.01692
3088,0.02266
3084,0.01665
3080,0.01699
3076,0.02339
3072,0.01994
3068,0.02076
3064,0.02243
3060,0.01863
3056,0.02261
3052,0.02391
3048,0.02389
3044,0.02342
3040,0.01667
3036,0.01748
3032,0.02216
3028,0.01865
3024,0.02355
3020,0.02698
3016,0.02239
3012,0.02269
3008,0.02984
3004,0.0339
3000,0.03662
2996,0.03903
2992,0.04138
2988,0.04589
2984,0.05758
2980,0.05831
2976,0.07267
2972,0.07911
2968,0.08806
2964,0.1017
2960,0.11724
2956,0.12619
2952,0.13744
2948,0.15717
2944,0.16574
2940,0.17612
2936,0.1917
2932,0.19584
2928,0.20504
2924,0.21134
2920,0.21545
2916,0.21913
2912,0.2248
2908,0.22165
2904,0.22733
2900,0.22686
2896,0.22214
2892,0.21926
2888,0.21926
2884,0.21466
2880,0.20968
2876,0.20587
2872,0.20638
2868,0.20381
2864,0.19602
2860,0.19927
2856,0.19455
2852,0.18396
2848,0.18509
2844,0.17663
2840,0.1674
2836,0.16037
2832,0.15403
2828,0.13793
2824,0.12977
2820,0.11745
2816,0.11218
2812,0.09591
2808,0.09025
2804,0.07872
2800,0.07113
2796,0.06565
2792,0.0582
2788,0.04895
2784,0.0423
2780,0.0388
2776,0.03775
2772,0.03491
2768,0.03104
2764,0.02568
2760,0.02252
2756,0.02756
2752,0.02623
2748,0.02274
2744,0.0226
2740,0.0186
2736,0.02074
2732,0.02215
2728,0.02136
2724,0.02099
2720,0.01713
2716,0.01792
2712,0.02214
2708,0.01616
2704,0.01826
2700,0.01709
2696,0.02049
2692,0.01748
2688,0.01692
2684,0.02182
2680,0.02071
2676,0.01821
2672,0.02334
2668,0.01712
2664,0.01606
2660,0.02383
2656,0.02298
2652,0.01645
2648,0.01919
2644,0.0216
2640,0.02022
2636,0.0208
2632,0.02353
2628,0.01738
2624,0.01833
2620,0.02377
2616,0.02294
2612,0.02315
2608,0.01884
2604,0.02107
2600,0.01866
2596,0.02342
2592,0.02374
2588,0.0205
2584,0.0183
2580,0.01848
2576,0.01802
2572,0.02392
2568,0.02227
2564,0.01726
2560,0.02105
2556,0.02052
2552,0.02165
2548,0.01858
2544,0.02099
2540,0.0234
2536,0.02323
2532,0.02166
2528,0.02294
2524,0.01864
2520,0.01846
2516,0.02216
2512,0.01964
2508,0.01786
2504,0.02245
2500,0.02116
2496,0.0191
2492,0.02306
2488,0.02235
2484,0.01673
2480,0.02236
2476,0.02025
2472,0.02348
2468,0.02223
2464,0.01707
2460,0.01878
2456,0.02372
2452,0.01648
2448,0.02095
2444,0.01985
2440,0.0161
2436,0.01953
2432,0.01674
2428,0.0208
2424,0.0226
2420,0.02135
2416,0.02179
2412,0.01852
2408,0.02374
2404,0.01677
2400,0.02305
2396,0.01939
2392,0.02031
2388,0.01785
2384,0.01744
2380,0.02347
2376,0.0234
2372,0.02124
2368,0.01879
2364,0.02254
2360,0.02303
2356,0.01744
2352,0.02231
2348,0.01744
2344,0.01691
2340,0.01937
2336,0.01926
2332,0.02202
2328,0.02357
2324,0.01902
2320,0.02001
2316,0.0234
2312,0.02028
2308,0.02076
2304,0.01937
2300,0.02111
2296,0.0198
2292,0.02221
2288,0.02086
2284,0.02034
2280,0.01681
2276,0.02177
2272,0.0222
2268,0.02078
2264,0.01642
2260,0.01804
2256,0.02363
2252,0.02385
2248,0.02192
2244,0.01695
2240,0.01773
2236,0.01683
2232,0.01704
2228,0.01907
2224,0.0161
2220,0.01649
2216,0.02337
2212,0.01939
2208,0.01632
2204,0.01987
2200,0.0195
2196,0.02012
2192,0.02108
2188,0.02085
2184,0.02153
2180,0.02004
2176,0.02004
2172,0.01882
2168,0.01819
2164,0.02085
2160,0.01689
2156,0.01942
2152,0.01606
2148,0.02307
2144,0.01836
2140,0.02116
2136,0.0218
2132,0.02368
2128,0.01827
2124,0.0174
2120,0.01967
2116,0.02276
2112,0.02224
2108,0.01622
2104,0.01648
2100,0.02281
2096,0.01997
2092,0.02172
2088,0.01633
2084,0.02205
2080,0.02224
2076,0.01923
2072,0.01888
2068,0.02035
2064,0.01676
2060,0.0212
2056,0.0205
2052,0.01707
2048,0.02363
2044,0.02199
2040,0.02315
2036,0.02068
2032,0.02189
2028,0.01626
2024,0.01707
2020,0.01648
2016,0.01792
2012,0.0176
2008,0.01744
2004,0.01817
2000,0.01626
1996,0.02025
1992,0.01781
1988,0.02276
1984,0.01641
1980,0.02187
1976,0.02095
1972,0.02152
1968,0.01929
1964,0.01957
1960,0.01773
1956,0.02378
1952,0.0239
1948,0.01981
1944,0.02093
1940,0.02162
1936,0.01911
1932,0.01784
1928,0.02036
1924,0.02258
1920,0.02208
1916,0.01785
1912,0.02339
1908,0.01984
1904,0.021
1900,0.02392
1896,0.01853
1892,0.01887
1888,0.01946
1884,0.02365
1880,0.02363
1876,0.02006
1872,0.02267
1868,0.021
1864,0.01652
1860,0.0235
1856,0.01783
1852,0.02246
1848,0.01851
1844,0.01819
1840,0.01797
1836,0.02214
1832,0.02119
1828,0.01932
1824,0.02198
1820,0.02071
1816,0.01889
1812,0.01716
1808,0.02188
1804,0.01687
1800,0.01657
1796,0.01869
1792,0.0209
1788,0.0191
1784,0.02067
1780,0.02132
1776,0.0236
1772,0.0161
1768,0.02019
1764,0.0188
1760,0.02036
1756,0.01943
1752,0.02341
1748,0.01842
1744,0.02385
1740,0.02434
1736,0.02404
1732,0.0234
1728,0.02272
1724,0.02842
1720,0.0346
1716,0.031
1712,0.0392
1708,0.04473
1704,0.04405
1700,0.05525
1696,0.05731
1692,0.0642
1688,0.07116
1684,0.07886
1680,0.08757
1676,0.0896
1672,0.09814
1668,0.09807
1664,0.09934
1660,0.10419
1656,0.10742
1652,0.10742
1648,0.09957
1644,0.10223
1640,0.09754
1636,0.10208
1632,0.09519
1628,0.09627
1624,0.09961
1620,0.09427
1616,0.09409
1612,0.09448
1608,0.09144
1604,0.09587
1600,0.09309
1596,0.08937
1592,0.08692
1588,0.07839
1584,0.07224
1580,0.06815
1576,0.05712
1572,0.04952
1568,0.0463
1564,0.04418
1560,0.03623
1556,0.03432
1552,0.03093
1548,0.0247
1544,0.02733
1540,0.02126
1536,0.0231
1532,0.02623
1528,0.0267
1524,0.02349
1520,0.02364
1516,0.0327
1512,0.03317
1508,0.03501
1504,0.03598
1500,0.04823
1496,0.0539
1492,0.05708
1488,0.06557
1484,0.07609
1480,0.08026
1476,0.08695
1472,0.09978
1468,0.107
1464,0.11203
1460,0.11205
1456,0.11566
1452,0.12431
1448,0.12368
1444,0.11859
1440,0.11469
1436,0.11047
1432,0.11212
1428,0.10574
1424,0.09748
1420,0.09937
1416,0.09657
1412,0.09228
1408,0.09139
1404,0.09146
1400,0.09715
1396,0.09256
1392,0.09823
1388,0.09834
1384,0.10631
1380,0.10443
1376,0.10509
1372,0.10461
1368,0.09858
1364,0.09381
1360,0.08621
1356,0.08075
1352,0.07392
1348,0.06743
1344,0.05372
1340,0.0483
1336,0.04538
1332,0.03975
1328,0.03377
1324,0.02703
1320,0.02729
1316,0.02465
1312,0.02483
1308,0.02392
1304,0.02241
1300,0.0231
1296,0.02299
1292,0.02401
1288,0.01967
1284,0.02099
1280,0.01758
1276,0.01841
1272,0.01791
1268,0.01905
1264,0.01772
