sample_id,Uf,T_in,i_avg,pressure,y_H2_in,y_H2O_in,y_O2_in,anode_thickness,electrolyte_thickness,cathode_thickness,E,nu,alpha_CTE,operating_hours
0,0.6324172578892979,1073.7858436303038,3271.3808789826508,295615.1894588276,0.6375631436646089,0.10648068807876691,0.22542518206672782,0.00028557167633534627,2.575484179135222e-05,9.094376976651675e-05,219808249254.4428,0.30564632105796313,1.2799380094245087e-05,35130.1324633615
1,0.5923634124114076,1056.6532478185761,4469.997434900621,207277.44155771422,0.6022318086149324,0.15752167804202474,0.19522581592558028,0.000526516181521823,2.657068141453026e-05,9.336866620169864e-05,222504469868.20117,0.2628144019158345,1.1992873838409404e-05,23117.77377763783
2,0.8601767900732751,1051.4027958348472,9757.406654237748,105674.47490742955,0.40789060173200603,0.12534983975887337,0.2663122860018616,0.0006044861413847573,3.311059250254732e-05,8.274124735086959e-05,168684768492.30984,0.20707212575758469,1.0131959107725957e-05,21995.603693457677
3,0.726759366770806,1169.780679971394,3713.274079566442,257469.5192624608,0.7787385980728982,0.2783003278657182,0.290466414323752,0.00046055553778626503,6.054345460368495e-06,2.838827008090205e-05,215651959314.53876,0.2034166804561108,1.061439585845428e-05,16077.263689068235
4,0.6566340172787064,1104.4006866420114,7606.765729269075,144541.9988194987,0.40491663106968334,0.3957651396511261,0.21698175989378166,0.0006845760898585942,3.812558135472759e-05,9.945696061073517e-05,201401133264.12683,0.25799987375320643,1.204154453007637e-05,3599.506262288628
5,0.5114384324461008,1127.816766359031,6891.848910848499,251531.55091351914,0.8352554656381553,0.31960768723170313,0.29990155191186507,0.00038355062095268,2.0974905991839015e-05,2.941975455312842e-05,166119784263.94885,0.31480770981892786,1.2571820348155837e-05,27443.492526669823
6,0.8827647349005077,1053.5017697215574,2610.489094367058,290759.79877138796,0.4367164511608504,0.1898432733634452,0.27326814619300993,0.0005958600562340411,4.15559488874415e-05,9.529565520909338e-05,204514387533.98477,0.346548095426809,1.0500312457102324e-05,9983.20325019681
7,0.6163140816058059,1122.2497960577832,8247.460106688388,132074.75542896768,0.7690406903753964,0.05795072365124747,0.27643849257296155,0.0009564935658087693,1.8188617346730244e-05,7.209156023236711e-05,241160617394.8369,0.22610194256268573,1.2214134863963393e-05,28707.807900644493
8,0.723002263793185,1065.3289583000362,9032.782490572474,110716.25733787994,0.4774493011954511,0.15459840792321644,0.2464630943738618,0.0005021428406625052,4.449529532612205e-05,4.406187495469518e-05,212931269864.0207,0.20039842170715047,1.0817839791509318e-05,13872.481291139193
9,0.8127345950304692,1072.8986798939097,7930.530430299212,297695.0369211176,0.4863315623281827,0.2717911037436909,0.24355831764217356,0.0006991686976698035,7.225377447700458e-06,3.6128643955758546e-05,202786021518.28348,0.25062124240986633,1.1581976285525538e-05,12545.545282384115
10,0.5052350207602595,1117.4833299649135,3484.3998251459666,134839.88185335894,0.660518093484779,0.12081208910752045,0.2521195278549077,0.0002524421271844824,3.086297061916609e-05,5.839747190804148e-05,150551549159.20782,0.341511175661942,1.1624276251900113e-05,9240.07053559605
11,0.8482653007392773,1048.807422788405,5308.504298311711,155960.55323423905,0.7063950355559323,0.3337849381899462,0.23671776255990484,0.00041037913561505195,2.8323375350826412e-05,5.236620357710837e-05,199668227390.50812,0.3299330131482312,1.2420499981765648e-05,2106.2814311507127
12,0.8390326299124158,975.619531191754,5128.973881929283,289376.75664577866,0.7620205394132487,0.10171811738224172,0.2192417456830622,0.000623935811724459,2.1930662208079352e-05,9.622742210381541e-05,231876398155.74652,0.23692328949024313,1.1824184785252923e-05,8803.71774855279
13,0.7076276183337908,1013.1221796324701,2985.112633473637,178864.05249262432,0.7592543868483141,0.4769040721785174,0.23214360541042528,0.0007984010235899899,2.9266668296739756e-05,5.511630034259863e-05,162201579992.81482,0.26531362001626296,1.2971512602457204e-05,11351.507988587779
