temperature_C,time_minutes,strain_dL_L0,strain_rate_per_s,relative_density
800.0,0.0,-0.0,3.530884857685374e-27,0.7
802.7638190954774,0.0,-0.0,3.950470483272899e-27,0.7
805.5276381909548,0.0,-0.0,4.4173742117010204e-27,0.7
808.2914572864322,0.0,-0.0,4.936641412627642e-27,0.7
811.0552763819095,0.0,-0.0,5.513823875369412e-27,0.7
813.8190954773869,0.0,-0.0,6.155027406229652e-27,0.7
816.5829145728643,0.0,-0.0,6.866963587631058e-27,0.7
819.3467336683417,0.0,-0.0,7.657006034815063e-27,0.7
822.1105527638191,0.0,-0.0,8.533251510596661e-27,0.7
824.8743718592965,0.0,-0.0,9.50458628503063e-27,0.7
827.6381909547739,0.0,-0.0,1.0580758154936401e-26,0.7
830.4020100502513,0.0,-0.0,1.1772454568166824e-26,0.7
833.1658291457286,0.0,-0.0,1.309138732936693e-26,0.7
835.929648241206,0.0,-0.0,1.4550384397897045e-26,0.7
838.6934673366834,0.0,-0.0,1.616348932466353e-26,0.7
841.4572864321608,0.0,-0.0,1.7946068912984453e-26,0.7
844.2211055276382,0.0,-0.0,1.9914929729379607e-26,0.7
846.9849246231156,0.0,-0.0,2.208844413351686e-26,0.7
849.748743718593,0.0,-0.0,2.4486686542536683e-26,0.7
852.5125628140704,0.0,-0.0,2.713158069383248e-26,0.7
855.2763819095477,0.0,-0.0,3.004705872216595e-26,0.7
858.0402010050251,0.0,-0.0,3.325923292196457e-26,0.7
860.8040201005025,0.0,-0.0,3.6796581123904016e-26,0.7
863.5678391959799,0.0,-0.0,4.0690146676622355e-26,0.7
866.3316582914573,0.0,-0.0,4.49737540898054e-26,0.7
869.0954773869347,0.0,-0.0,4.968424146413694e-26,0.7
871.8592964824121,0.0,-0.0,5.486171090687683e-26,0.7
874.6231155778894,0.0,-0.0,6.054979820939395e-26,0.7
877.3869346733668,0.0,-0.0,6.679596314494098e-26,0.7
880.1507537688442,0.0,-0.0,7.365180183166969e-26,0.7
882.9145728643216,0.0,-0.0,8.117338269746136e-26,0.7
885.678391959799,0.0,-0.0,8.942160767988228e-26,0.7
888.4422110552764,0.0,-0.0,9.846260039677628e-26,0.7
891.2060301507538,0.0,-0.0,1.0836812313073848e-25,0.7
893.9698492462312,0.0,-0.0,1.1921602458457077e-25,0.7
896.7336683417086,0.0,-0.0,1.310907204846809e-25,0.7
899.4974874371859,0.0,-0.0,1.4408370923597954e-25,0.7
902.2613065326633,0.0,-0.0,1.5829412496498972e-25,0.7
905.0251256281407,0.0,-0.0,1.7382933042843358e-25,0.7
907.7889447236181,0.0,-0.0,1.9080555241230104e-25,0.7
