temperature_C,time_minutes,strain_dL_L0,strain_rate_per_s,relative_density
1000.0,0.0,-0.0,7.749737174012083e-25,0.75
1001.7587939698492,0.0,-0.0,8.16446461214463e-25,0.75
1003.5175879396985,0.0,-0.0,8.600150794036543e-25,0.75
1005.2763819095477,0.0,-0.0,9.057791032233365e-25,0.75
1007.035175879397,0.0,-0.0,9.538424791042407e-25,0.75
1008.7939698492462,0.0,-0.0,1.0043137502444236e-24,0.75
1010.5527638190955,0.0,-0.0,1.0573062450591719e-24,0.75
1012.3115577889447,0.0,-0.0,1.1129382727244558e-24,0.75
1014.070351758794,0.0,-0.0,1.171333326056146e-24,0.75
1015.8291457286432,0.0,-0.0,1.2326202919740451e-24,0.75
1017.5879396984925,0.0,-0.0,1.2969336698081093e-24,0.75
1019.3467336683417,0.0,-0.0,1.3644137977111942e-24,0.75
1021.105527638191,0.0,-0.0,1.4352070874510723e-24,0.75
1022.8643216080402,0.0,-0.0,1.5094662678624495e-24,0.75
1024.6231155778894,0.0,-0.0,1.5873506372482774e-24,0.75
1026.3819095477386,0.0,-0.0,1.6690263250278255e-24,0.75
1028.140703517588,0.0,-0.0,1.7546665629381426e-24,0.75
1029.8994974874372,0.0,-0.0,1.8444519661043536e-24,0.75
1031.6582914572864,0.0,-0.0,1.938570824303859e-24,0.75
1033.4170854271356,0.0,-0.0,2.0372194037581966e-24,0.75
1035.175879396985,0.0,-0.0,2.1406022597968496e-24,0.75
1036.9346733668342,0.0,-0.0,2.248932560746978e-24,0.75
1038.6934673366834,0.0,-0.0,2.3624324234129994e-24,0.75
1040.4522613065326,0.0,-0.0,2.481333260520882e-24,0.75
1042.211055276382,0.0,-0.0,2.6058761405121546e-24,0.75
1043.9698492462312,0.0,-0.0,2.7363121600842597e-24,0.75
1045.7286432160804,0.0,-0.0,2.872902829884841e-24,0.75
1047.4874371859296,0.0,-0.0,3.015920473778736e-24,0.75
1049.2462311557788,0.0,-0.0,3.1656486421187457e-24,0.75
1051.0050251256282,0.0,-0.0,3.3223825394636454e-24,0.75
1052.7638190954774,0.0,-0.0,3.486429467197911e-24,0.75
1054.5226130653266,0.0,-0.0,3.658109281522148e-24,0.75
1056.2814070351758,0.0,-0.0,3.837754867294517e-24,0.75
1058.0402010050252,0.0,-0.0,4.025712628218434e-24,0.75
1059.7989949748744,0.0,-0.0,4.2223429938832444e-24,0.75
1061.5577889447236,0.0,-0.0,4.428020944181103e-24,0.75
1063.3165829145728,0.0,-0.0,4.643136551635036e-24,0.75
1065.0753768844222,0.0,-0.0,4.8680955421897856e-24,0.75
1066.8341708542714,0.0,-0.0,5.1033198750304385e-24,0.75
1068.5929648241206,0.0,-0.0,5.349248342010166e-24,0.75
1070.3517587939698,0.0,-0.0,5.606337187283125e-24,0.75
1072.1105527638192,0.0,-0.0,5.875060747755851e-24,0.75
1073.8693467336684,0.0,-0.0,6.155912114984694e-24,0.75
1075.6281407035176,0.0,-0.0,6.449403819166102e-24,0.75
1077.3869346733668,0.0,-0.0,6.756068535881763e-24,0.75
1079.145728643216,0.0,-0.0,7.076459816278317e-24,0.75
1080.9045226130654,0.0,-0.0,7.4111528413806e-24,0.75
1082.6633165829146,0.0,-0.0,7.760745201253162e-24,0.75
1084.4221105527638,0.0,-0.0,8.125857699746989e-24,0.75
1086.180904522613,0.0,-0.0,8.507135185582754e-24,0.75
1087.9396984924624,0.0,-0.0,8.905247410546577e-24,0.75
1089.6984924623116,0.0,-0.0,9.320889915588946e-24,0.75
1091.4572864321608,0.0,-0.0,9.754784945643996e-24,0.75
1093.21608040201,0.0,-0.0,1.0207682393999782e-23,0.75
1094.9748743718592,0.0,-0.0,1.0680360777077573e-23,0.75
1096.7336683417086,0.0,-0.0,1.1173628240497218e-23,0.75
1098.4924623115578,0.0,-0.0,1.1688323597328039e-23,0.75
1100.251256281407,0.0,-0.0,1.222531739944675e-23,0.75
1102.0100502512562,0.0,-0.0,1.2785513042948713e-23,0.75
1103.7688442211056,0.0,-0.0,1.3369847908580975e-23,0.75
1105.5276381909548,0.0,-0.0,1.397929453818924e-23,0.75
1107.286432160804,0.0,-0.0,1.4614861848199076e-23,0.75
1109.0452261306532,0.0,-0.0,1.5277596381169228e-23,0.75
1110.8040201005026,0.0,-0.0,1.5968583596491127e-23,0.75
1112.5628140703518,0.0,-0.0,1.6688949201323408e-23,0.75
1114.321608040201,0.0,-0.0,1.7439860522887368e-23,0.75
1116.0804020100502,0.0,-0.0,1.8222527923267993e-23,0.75
1117.8391959798996,0.0,-0.0,1.9038206257899413e-23,0.75
1119.5979899497488,0.0,-0.0,1.9888196378936286e-23,0.75
1121.356783919598,0.0,-0.0,2.0773846684749425e-23,0.75
1123.1155778894472,0.0,-0.0,2.1696554716801746e-23,0.75
1124.8743718592964,0.0,-0.0,2.2657768805203827e-23,0.75
1126.6331658291458,0.0,-0.0,2.3658989764269058e-23,0.75
1128.391959798995,0.0,-0.0,2.4701772639424405e-23,0.75
1130.1507537688442,0.0,-0.0,2.5787728506863003e-23,0.75
1131.9095477386934,0.0,-0.0,2.6918526327359496e-23,0.75
1133.6683417085428,0.0,-0.0,2.809589485569958e-23,0.75
1135.427135678392,0.0,-0.0,2.932162460720788e-23,0.75
1137.1859296482412,0.0,-0.0,3.0597569882900576e-23,0.75
1138.9447236180904,0.0,-0.0,3.192565085481287e-23,0.75
1140.7035175879396,0.0,-0.0,3.330785571309564e-23,0.75
1142.462311557789,0.0,-0.0,3.474624287650971e-23,0.75
1144.2211055276382,0.0,-0.0,3.6242943267981525e-23,0.75
1145.9798994974874,0.0,-0.0,3.780016265692537e-23,0.75
1147.7386934673368,0.0,-0.0,3.942018407007324e-23,0.75
1149.497487437186,0.0,-0.0,4.110537027258856e-23,0.75
1151.2562814070352,0.0,-0.0,4.285816632129672e-23,0.75
1153.0150753768844,0.0,-0.0,4.4681102191880306e-23,0.75
1154.7738693467336,0.0,-0.0,4.6576795481952537e-23,0.75
1156.532663316583,0.0,-0.0,4.8547954191946313e-23,0.75
1158.2914572864322,0.0,-0.0,5.059737958581956e-23,0.75
1160.0502512562814,0.0,-0.0,5.2727969133593526e-23,0.75
1161.8090452261306,0.0,-0.0,5.494271953781462e-23,0.75
1163.56783919598,0.0,-0.0,5.724472984605621e-23,0.75
1165.3266331658292,0.0,-0.0,5.963720465162706e-23,0.75
1167.0854271356784,0.0,-0.0,6.212345738471166e-23,0.75
1168.8442211055276,0.0,-0.0,6.470691369619156e-23,0.75
1170.6030150753768,0.0,-0.0,6.739111493647734e-23,0.75
1172.3618090452262,0.0,-0.0,7.01797217316956e-23,0.75
1174.1206030150754,0.0,-0.0,7.307651765966028e-23,0.75
1175.8793969849246,0.0,-0.0,7.608541302807864e-23,0.75
1177.6381909547738,0.0,-0.0,7.92104487575173e-23,0.75
1179.3969849246232,0.0,-0.0,8.245580037169134e-23,0.75
1181.1557788944724,0.0,-0.0,8.582578209770575e-23,0.75
1182.9145728643216,0.0,-0.0,8.932485107891968e-23,0.75
1184.6733668341708,0.0,-0.0,9.295761170318177e-23,0.75
1186.43216080402,0.0,-0.0,9.672882004920489e-23,0.75
1188.1909547738694,0.0,-0.0,1.0064338845395416e-22,0.75
1189.9497487437186,0.0,-0.0,1.0470639020394048e-22,0.75
1191.7085427135678,0.0,-0.0,1.089230643533885e-22,0.75
1193.4673366834172,0.0,-0.0,1.1329882067231513e-22,0.75
1195.2261306532664,0.0,-0.0,1.1783924472759674e-22,0.75
1196.9849246231156,0.0,-0.0,1.2255010310019168e-22,0.75
1198.7437185929648,0.0,-0.0,1.2743734874172334e-22,0.75
