building_id,wall_material,roof_material,floor_material,window_material,insulation_type,insulation_thickness_mm,concrete_volume_m3,steel_volume_m3,wood_volume_m3
B_0001,wood,metal,concrete,wood,natural_fiber,61.8,317.9,75.8,170.9
B_0002,composite,green_roof,wood,aluminum,foam,197.9,136.6,67.8,129.3
B_0003,wood,metal,carpet,fiberglass,fiberglass,244.9,217.2,78.4,82.1
B_0004,concrete,membrane,wood,steel,mineral_wool,169.7,133.2,28.1,123.3
B_0005,steel,tile,vinyl,vinyl,cellulose,112.7,474.2,54.5,13.0
B_0006,concrete,shingle,tile,vinyl,foam,93.5,205.3,22.1,93.0
B_0007,stone,tile,concrete,fiberglass,fiberglass,89.3,231.4,9.2,7.2
B_0008,brick,metal,carpet,aluminum,natural_fiber,126.4,22.9,93.0,9.1
B_0009,wood,green_roof,concrete,wood,mineral_wool,223.7,114.9,48.0,180.1
B_0010,wood,metal,concrete,aluminum,cellulose,189.3,21.7,34.8,73.1
B_0011,concrete,metal,wood,vinyl,mineral_wool,260.8,87.0,25.8,165.1
B_0012,steel,tile,vinyl,aluminum,foam,236.7,180.7,60.3,94.7
B_0013,concrete,slate,concrete,steel,natural_fiber,177.2,445.4,78.8,179.5
B_0014,concrete,tile,vinyl,vinyl,foam,186.0,162.7,46.8,81.4
B_0015,composite,green_roof,carpet,vinyl,foam,60.0,416.7,17.2,83.7
B_0016,steel,tile,carpet,wood,mineral_wool,73.8,199.2,91.5,17.9
B_0017,wood,slate,carpet,aluminum,natural_fiber,293.6,298.2,78.6,182.7
B_0018,brick,metal,concrete,steel,mineral_wool,280.7,459.3,92.5,96.4
B_0019,wood,metal,tile,fiberglass,foam,137.1,450.7,64.1,110.1
B_0020,steel,green_roof,carpet,steel,fiberglass,171.0,17.8,34.0,6.5
B_0021,concrete,shingle,vinyl,fiberglass,fiberglass,177.1,69.2,68.1,109.0
B_0022,composite,green_roof,vinyl,steel,cellulose,105.3,279.2,65.6,62.8
B_0023,brick,slate,carpet,aluminum,cellulose,70.1,110.5,20.4,53.8
B_0024,steel,tile,stone,aluminum,cellulose,229.1,479.1,22.9,166.1
B_0025,concrete,shingle,vinyl,fiberglass,fiberglass,258.5,291.5,4.8,93.4
B_0026,composite,slate,tile,aluminum,natural_fiber,96.1,71.5,8.9,94.1
B_0027,steel,membrane,concrete,aluminum,foam,285.4,25.0,25.4,31.4
B_0028,brick,metal,carpet,aluminum,mineral_wool,87.2,417.5,33.9,37.6
B_0029,steel,tile,carpet,steel,foam,139.4,316.3,15.4,18.1
B_0030,concrete,slate,carpet,steel,natural_fiber,151.2,278.9,1.2,179.7
B_0031,composite,membrane,concrete,aluminum,foam,296.4,108.9,35.8,110.0
