building_id,rating_year,eu_energy_rating,energy_performance_index,co2_emissions_kgm2,primary_energy_demand_kwhm2,renewable_energy_percent
B_0001,2018,C,92.3,86.7,90.5,46.4
B_0002,2019,D,119.4,114.7,106.0,63.8
B_0003,2021,E,149.2,162.0,139.6,73.4
B_0004,2020,D,115.0,121.9,80.6,18.0
B_0005,2021,D,105.9,117.4,102.2,75.2
B_0006,2022,D,113.3,101.0,81.0,1.1
B_0007,2020,B,70.6,83.5,70.1,86.3
B_0008,2018,B,51.6,41.3,36.0,86.3
B_0009,2021,D,113.5,112.8,109.1,57.2
B_0010,2018,B,60.8,65.9,55.3,1.2
B_0011,2018,B,71.1,58.1,65.9,64.8
B_0012,2021,D,104.3,89.6,72.5,38.7
B_0013,2018,E,138.2,153.5,86.1,61.0
B_0014,2019,C,80.0,75.9,59.5,32.2
B_0015,2019,E,125.8,103.7,80.0,3.1
B_0016,2021,D,111.6,125.4,94.4,64.4
B_0017,2018,C,99.4,83.9,86.0,57.8
B_0018,2018,G,182.3,214.9,174.1,38.8
B_0019,2021,A,15.8,18.2,14.1,66.0
B_0020,2018,C,77.2,75.6,60.9,86.6
B_0021,2018,A,29.1,30.7,23.4,77.1
B_0022,2021,E,131.8,135.3,117.9,40.4
B_0023,2019,E,145.4,154.9,94.8,94.0
B_0024,2021,E,135.5,145.9,103.7,75.0
B_0025,2019,D,124.4,109.0,84.5,9.2
B_0026,2022,C,77.2,73.7,67.0,19.8
B_0027,2019,B,60.6,71.0,49.9,47.4
B_0028,2020,D,103.1,116.3,81.9,52.6
B_0029,2020,D,112.2,127.3,109.0,79.0
B_0030,2021,E,131.7,105.7,100.9,68.1
B_0031,2020,D,114.7,136.2,80.9,99.5
B_0032,2020,D,105.5,120.5,93.9,32.8
B_0033,2021,E,146.4,173.1,95.3,18.3
B_0034,2020,B,68.5,56.5,51.2,12.2
B_0035,2019,D,124.8,127.3,81.7,82.3
B_0036,2018,B,57.7,51.1,36.9,20.3
B_0037,2018,D,112.8,99.5,75.8,62.4
B_0038,2021,B,62.7,66.8,56.1,65.1
B_0039,2021,C,82.8,72.1,75.5,93.5
B_0040,2021,G,198.3,166.3,173.1,46.6
B_0041,2021,D,117.5,120.3,73.2,80.2
B_0042,2021,C,78.6,76.4,62.1,10.0
B_0043,2022,D,100.7,86.5,91.3,65.0
B_0044,2022,D,112.3,92.3,78.9,14.6
B_0045,2022,E,129.1,123.9,100.4,84.2
B_0046,2021,C,90.4,82.6,68.5,5.7
B_0047,2019,F,166.4,150.9,101.2,37.0
B_0048,2020,A,11.2,12.4,7.7,16.6
B_0049,2022,F,162.2,175.3,128.0,77.1
B_0050,2022,B,61.7,63.1,50.1,82.2
B_0051,2021,C,96.4,89.9,82.3,87.8
B_0052,2018,D,116.1,120.3,86.9,4.7
B_0053,2020,B,54.2,51.4,51.3,26.5
B_0054,2018,D,100.5,93.2,71.9,18.8
B_0055,2018,C,91.4,93.3,77.8,98.8
B_0056,2021,F,165.6,136.9,103.3,70.9
B_0057,2019,F,168.3,176.5,114.8,40.3
B_0058,2022,C,95.4,79.7,60.4,54.3
B_0059,2019,E,147.7,140.2,107.5,82.0
B_0060,2020,D,106.9,126.6,73.1,46.6
B_0061,2022,C,91.1,89.0,85.0,30.8
B_0062,2020,E,127.7,130.6,89.1,52.9
B_0063,2018,C,95.9,113.1,71.7,13.7
B_0064,2022,C,99.4,106.3,80.5,86.1
B_0065,2022,B,63.8,57.2,54.8,82.0
B_0066,2021,B,56.9,57.5,47.8,96.6
B_0067,2018,B,60.7,53.0,60.0,58.8
B_0068,2022,A,46.3,43.6,41.4,39.9
B_0069,2022,A,12.8,13.4,11.6,65.0
B_0070,2018,C,95.4,99.5,83.1,41.4
B_0071,2020,E,149.1,139.5,129.7,31.8
B_0072,2021,C,98.0,85.7,59.8,21.3
B_0073,2020,D,105.1,117.9,87.4,93.1
B_0074,2022,E,127.7,145.0,113.5,4.3
B_0075,2021,A,1.3,1.3,1.1,28.4
B_0076,2020,D,121.5,114.5,79.6,74.9
B_0077,2018,C,82.7,70.7,58.9,26.7
B_0078,2020,F,172.3,177.4,108.7,10.4
B_0079,2019,C,83.1,74.2,82.6,89.8
B_0080,2018,D,110.1,125.6,102.8,9.7
B_0081,2022,C,84.3,76.7,78.3,98.4
B_0082,2020,B,63.6,62.6,63.3,4.5
B_0083,2018,E,140.8,120.1,107.7,15.0
B_0084,2018,A,25.0,22.3,22.1,23.8
B_0085,2022,E,127.9,135.1,126.9,68.2
B_0086,2021,E,140.5,117.1,131.1,45.9
B_0087,2018,F,161.7,134.0,110.2,10.0
B_0088,2018,E,134.3,141.7,106.8,90.3
B_0089,2018,D,107.9,111.1,101.2,98.9
B_0090,2019,F,153.8,138.7,122.2,80.7
B_0091,2022,A,9.4,9.8,7.2,25.8
B_0092,2018,D,102.4,83.3,62.2,61.5
B_0093,2018,D,113.8,100.1,95.1,9.2
B_0094,2020,C,90.8,79.3,80.9,29.7
B_0095,2020,B,52.3,43.0,48.9,14.6
B_0096,2022,D,102.5,118.6,80.1,13.0
B_0097,2022,C,98.8,105.8,78.1,38.6
B_0098,2020,D,115.2,103.7,77.9,21.5
B_0099,2021,D,102.9,82.5,80.9,14.3
B_0100,2021,D,120.9,130.2,95.1,70.2
