building_id,timestamp,co2_ppm,tvoc_ppb,pm25_ugm3,temperature_c,humidity_percent,air_quality_index
B_0001,2020-01-01,977.7,107.9,11.0,24.3,53.7,320.3
B_0002,2020-01-01,1176.4,6.1,10.3,22.8,38.7,317.7
B_0003,2020-01-01,859.5,32.1,20.9,22.0,50.4,272.7
B_0004,2020-01-01,785.7,28.9,20.8,19.7,37.9,252.5
B_0005,2020-01-01,568.0,26.6,9.1,23.6,46.4,173.5
B_0006,2020-01-01,833.2,10.0,4.0,25.5,55.7,221.2
B_0007,2020-01-01,474.3,27.2,21.1,22.4,54.0,174.4
B_0008,2020-01-01,708.7,78.1,6.2,24.8,38.6,228.6
B_0009,2020-01-01,1156.7,69.7,6.1,20.5,46.7,336.2
B_0010,2020-01-01,569.3,27.6,5.2,23.0,65.0,166.6
B_0011,2020-01-01,1233.1,13.5,0.5,21.9,62.7,316.1
B_0012,2020-01-01,954.1,19.9,9.7,22.2,54.2,267.9
B_0013,2020-01-01,787.8,16.7,24.2,24.5,61.2,253.7
B_0014,2020-01-01,1000.1,95.0,9.1,22.2,41.2,315.7
B_0015,2020-01-01,1058.3,29.0,6.7,23.1,47.9,292.5
B_0016,2020-01-01,626.8,30.7,4.8,20.1,45.1,181.7
B_0017,2020-01-01,400.0,39.8,0.3,23.5,54.7,120.6
B_0018,2020-01-01,1181.6,16.5,18.4,23.1,39.4,340.5
B_0019,2020-01-01,808.5,3.5,3.3,20.1,47.4,210.6
B_0020,2020-01-01,461.3,49.9,2.6,21.2,42.2,145.6
B_0021,2020-01-01,830.9,107.5,5.4,19.0,56.2,272.3
B_0022,2020-01-01,897.7,7.3,11.3,20.8,65.9,250.6
B_0023,2020-01-01,656.1,1.9,38.2,25.6,45.5,241.3
B_0024,2020-01-01,1142.5,53.8,14.9,22.2,43.6,342.3
B_0025,2020-01-01,871.3,5.8,10.9,21.9,46.3,242.6
B_0026,2020-01-01,727.4,137.0,4.4,21.2,53.6,259.1
B_0027,2020-01-01,801.5,2.4,15.7,23.8,39.2,232.9
