building_id,timestamp,total_consumption_kwh,heating_kwh,cooling_kwh,lighting_kwh,appliances_kwh,hvac_kwh,other_kwh
B_0001,2020-01-01,150.4,57.65,30.96,24.92,35.74,34.45,0.0
B_0002,2020-01-01,163.0,60.61,28.78,23.58,32.96,27.45,0.0
B_0003,2020-01-01,138.61,63.44,20.08,21.33,39.99,32.5,0.0
B_0004,2020-01-01,131.18,49.77,21.9,18.86,36.92,27.48,0.0
B_0005,2020-01-01,102.87,41.03,20.01,14.12,29.35,22.61,0.0
B_0006,2020-01-01,190.54,91.42,28.75,23.79,40.63,30.91,0.0
B_0007,2020-01-01,107.51,48.07,22.42,14.7,29.75,20.94,0.0
B_0008,2020-01-01,117.38,42.39,20.1,16.88,33.35,28.0,0.0
B_0009,2020-01-01,178.48,65.49,30.39,30.87,40.12,35.12,0.0
B_0010,2020-01-01,97.91,45.56,14.24,15.34,28.13,22.86,0.0
B_0011,2020-01-01,135.62,47.88,24.9,21.13,39.85,22.97,0.0
B_0012,2020-01-01,116.27,41.07,20.61,15.48,28.83,24.43,0.0
B_0013,2020-01-01,152.73,62.13,28.49,21.55,33.12,27.14,0.0
B_0014,2020-01-01,169.63,70.92,33.33,24.88,35.5,28.25,0.0
B_0015,2020-01-01,195.45,70.97,28.83,26.85,43.84,37.48,0.0
B_0016,2020-01-01,128.24,54.26,20.53,20.06,37.84,21.45,0.0
B_0017,2020-01-01,150.29,59.12,22.03,18.98,42.71,29.08,0.0
B_0018,2020-01-01,96.15,33.69,19.85,15.94,28.3,16.83,0.0
B_0019,2020-01-01,106.14,45.62,19.23,14.02,22.3,24.23,0.0
B_0020,2020-01-01,115.69,51.35,24.19,15.69,27.15,25.03,0.0
B_0021,2020-01-01,175.53,79.87,34.28,25.8,41.1,40.69,0.0
B_0022,2020-01-01,213.36,81.82,42.05,36.47,50.87,45.53,0.0
B_0023,2020-01-01,169.48,63.06,34.08,26.66,37.66,34.71,0.0
B_0024,2020-01-01,116.68,39.59,22.7,15.72,26.89,18.74,0.0
B_0025,2020-01-01,144.74,61.19,31.17,21.55,38.34,26.41,0.0
B_0026,2020-01-01,154.57,56.62,27.9,27.2,32.74,34.88,0.0
B_0027,2020-01-01,115.99,43.01,20.37,16.04,28.98,22.67,0.0
B_0028,2020-01-01,94.44,33.29,16.61,15.02,21.15,21.31,0.0
B_0029,2020-01-01,135.97,63.56,24.75,20.86,34.68,21.8,0.0
B_0030,2020-01-01,138.0,64.05,28.0,23.87,35.09,23.51,0.0
B_0031,2020-01-01,177.7,73.87,27.29,22.77,45.8,32.82,0.0
B_0032,2020-01-01,124.4,59.26,22.27,16.24,27.32,21.84,0.0
B_0033,2020-01-01,159.12,67.01,33.71,25.89,43.9,33.85,0.0
B_0034,2020-01-01,128.55,53.79,26.39,18.37,26.72,22.83,0.0
B_0035,2020-01-01,164.34,55.08,32.65,26.09,47.01,28.51,0.0
B_0036,2020-01-01,179.59,79.58,35.18,21.76,50.03,29.11,0.0
B_0037,2020-01-01,146.29,48.0,28.39,25.92,32.61,28.69,0.0
B_0038,2020-01-01,159.04,66.85,26.42,21.92,44.21,36.22,0.0
B_0039,2020-01-01,145.05,68.6,30.47,22.38,29.49,29.59,0.0
B_0040,2020-01-01,103.83,34.56,18.61,14.83,25.31,19.35,0.0
B_0041,2020-01-01,168.85,55.4,29.69,25.32,43.07,40.15,0.0
B_0042,2020-01-01,196.04,76.6,37.6,29.58,47.72,34.53,0.0
B_0043,2020-01-01,181.91,65.69,31.39,24.98,53.45,35.4,0.0
B_0044,2020-01-01,218.91,100.57,40.58,31.87,60.73,44.06,0.0
B_0045,2020-01-01,155.33,54.22,31.88,20.71,39.15,31.43,0.0
B_0046,2020-01-01,104.42,42.99,17.96,13.75,22.7,24.36,0.0
B_0047,2020-01-01,196.04,90.01,40.13,25.77,58.69,34.92,0.0
B_0048,2020-01-01,174.65,80.69,37.31,31.43,47.89,39.07,0.0
B_0049,2020-01-01,156.49,61.06,22.73,22.76,33.03,28.94,0.0
B_0050,2020-01-01,199.84,92.94,33.62,28.72,58.76,36.05,0.0
B_0051,2020-01-01,123.02,44.42,21.2,17.43,25.78,28.71,0.0
B_0052,2020-01-01,120.38,39.28,23.6,17.28,33.15,21.95,0.0
B_0053,2020-01-01,140.97,59.42,24.52,19.8,39.61,31.52,0.0
B_0054,2020-01-01,114.35,42.29,20.08,15.27,24.29,20.9,0.0
B_0055,2020-01-01,183.8,61.57,37.6,24.02,50.47,39.93,0.0
B_0056,2020-01-01,195.68,79.93,36.59,27.05,57.12,35.39,0.0
B_0057,2020-01-01,202.85,82.21,34.28,32.51,42.7,33.6,0.0
B_0058,2020-01-01,120.07,46.47,18.24,17.76,35.82,28.51,0.0
B_0059,2020-01-01,120.74,50.83,23.25,19.12,32.73,21.25,0.0
B_0060,2020-01-01,117.21,54.45,22.29,20.72,29.53,20.36,0.0
B_0061,2020-01-01,145.18,48.78,21.41,18.33,41.7,23.89,0.0
B_0062,2020-01-01,164.31,70.34,25.0,21.43,46.14,27.62,0.0
B_0063,2020-01-01,117.75,50.17,20.2,14.52,25.75,20.55,0.0
B_0064,2020-01-01,168.06,57.82,33.77,25.08,37.22,35.52,0.0
B_0065,2020-01-01,169.11,74.76,27.27,23.34,47.83,37.68,0.0
B_0066,2020-01-01,106.7,37.65,16.28,18.05,29.75,22.27,0.0
B_0067,2020-01-01,125.49,54.11,20.77,19.5,35.55,25.29,0.0
B_0068,2020-01-01,109.16,35.79,21.07,13.54,25.8,20.0,0.0
B_0069,2020-01-01,117.72,52.69,19.56,19.64,24.1,21.25,0.0
B_0070,2020-01-01,126.06,47.73,24.05,17.52,29.38,21.93,0.0
B_0071,2020-01-01,109.87,37.94,19.85,15.43,31.66,19.65,0.0
B_0072,2020-01-01,113.51,48.68,18.25,17.58,24.36,20.85,0.0
B_0073,2020-01-01,152.93,58.7,30.92,20.86,41.02,36.16,0.0
B_0074,2020-01-01,159.92,56.77,32.34,25.72,46.75,29.27,0.0
B_0075,2020-01-01,203.43,70.03,30.29,28.94,50.96,43.26,0.0
B_0076,2020-01-01,167.79,74.72,33.68,29.05,46.43,32.74,0.0
B_0077,2020-01-01,121.4,57.91,20.81,17.01,31.61,23.76,0.0
B_0078,2020-01-01,202.5,83.16,32.13,26.47,46.13,45.22,0.0
B_0079,2020-01-01,123.49,50.96,20.12,18.79,35.09,23.49,0.0
B_0080,2020-01-01,147.64,55.6,24.08,21.57,31.57,29.44,0.0
B_0081,2020-01-01,171.58,57.43,31.24,24.24,36.55,31.31,0.0
B_0082,2020-01-01,125.21,49.76,26.01,19.01,35.29,27.94,0.0
B_0083,2020-01-01,137.69,63.72,23.94,23.0,37.65,27.69,0.0
B_0084,2020-01-01,182.09,71.4,39.31,25.12,43.31,41.11,0.0
B_0085,2020-01-01,135.2,55.05,21.06,17.63,31.4,30.71,0.0
B_0086,2020-01-01,108.9,39.48,21.82,13.29,32.39,25.22,0.0
B_0087,2020-01-01,203.75,85.62,36.17,26.09,41.63,33.34,0.0
B_0088,2020-01-01,138.73,58.68,20.48,21.68,30.81,25.79,0.0
B_0089,2020-01-01,200.3,65.34,43.17,31.11,43.41,43.08,0.0
B_0090,2020-01-01,169.8,76.27,28.21,27.16,46.36,32.75,0.0
B_0091,2020-01-01,175.1,57.75,33.08,23.02,39.7,38.29,0.0
B_0092,2020-01-01,162.07,61.01,31.72,29.04,43.98,35.31,0.0
B_0093,2020-01-01,118.83,52.32,20.6,21.26,33.49,24.78,0.0
B_0094,2020-01-01,144.83,53.58,27.55,19.55,40.28,29.3,0.0
B_0095,2020-01-01,194.03,82.34,28.64,29.72,55.92,41.34,0.0
B_0096,2020-01-01,120.9,56.57,25.51,20.45,24.82,24.42,0.0
B_0097,2020-01-01,148.26,66.39,30.07,18.64,42.22,31.3,0.0
B_0098,2020-01-01,180.11,86.43,26.87,22.32,44.56,35.01,0.0
B_0099,2020-01-01,114.25,48.85,18.59,14.72,25.12,25.14,0.0
B_0100,2020-01-01,139.03,45.73,22.5,19.54,32.3,25.86,0.0
B_0001,2020-01-02,135.65,45.14,27.04,21.62,28.98,26.69,0.0
B_0002,2020-01-02,80.7,37.22,11.76,12.72,21.22,14.49,0.0
B_0003,2020-01-02,107.94,42.55,15.69,13.18,29.15,23.05,0.0
B_0004,2020-01-02,175.08,57.81,32.71,23.62,42.38,31.61,0.0
B_0005,2020-01-02,139.89,56.32,24.6,20.88,35.63,23.62,0.0
B_0006,2020-01-02,153.48,64.3,28.31,23.34,36.15,25.19,0.0
B_0007,2020-01-02,126.59,47.24,24.58,16.72,28.1,27.48,0.0
B_0008,2020-01-02,187.14,83.37,34.26,26.04,43.26,35.03,0.0
B_0009,2020-01-02,129.0,61.69,18.82,18.79,34.91,22.09,0.0
B_0010,2020-01-02,131.2,51.47,24.42,17.04,33.59,29.98,0.0
B_0011,2020-01-02,141.01,46.71,24.23,21.1,31.58,32.04,0.0
