building_id,retrofit_year,retrofit_type,energy_savings_percent,co2_reduction_percent,cost_euro,payback_period_years,lifetime_energy_savings_kwh
B_0001,2022,renewable,38.1,34.2,37195.0,1.6,402688.0
B_0004,2021,windows,23.5,22.9,69410.0,8.2,275790.0
B_0005,2020,comprehensive,33.3,37.9,70662.0,5.8,215820.0
B_0007,2020,renewable,31.1,32.2,63010.0,3.1,478211.0
B_0009,2019,insulation,21.6,21.5,141928.0,9.8,399785.0
B_0012,2019,renewable,27.3,31.2,18065.0,7.2,76693.0
B_0017,2018,insulation,29.9,30.3,7959.0,1.5,92501.0
B_0019,2018,hvac,38.0,35.7,53344.0,3.7,481689.0
B_0021,2022,comprehensive,58.0,60.9,118313.0,2.9,645425.0
B_0022,2021,renewable,28.8,29.7,33414.0,6.4,128877.0
B_0024,2018,windows,22.7,25.0,34036.0,3.0,190409.0
B_0025,2019,renewable,34.5,32.4,176399.0,4.2,614605.0
B_0026,2018,lighting,7.5,8.9,28954.0,9.9,83831.0
B_0027,2021,hvac,37.0,42.3,59962.0,3.8,625181.0
B_0028,2021,hvac,29.6,26.0,135649.0,2.9,505575.0
B_0031,2018,hvac,22.6,22.0,92283.0,4.7,401101.0
B_0032,2022,comprehensive,33.6,34.8,124446.0,7.1,406533.0
B_0034,2022,renewable,49.0,56.8,54086.0,6.9,278240.0
B_0037,2020,insulation,22.4,20.0,16284.0,6.8,94035.0
B_0039,2018,comprehensive,48.7,52.3,108505.0,6.9,466992.0
B_0040,2022,hvac,39.5,42.4,59298.0,2.8,359844.0
B_0042,2021,windows,24.2,22.1,80812.0,10.1,278097.0
B_0043,2018,renewable,38.1,34.3,94130.0,6.3,405284.0
B_0046,2018,hvac,36.8,37.8,26062.0,5.1,194046.0
B_0047,2022,insulation,34.7,36.8,23772.0,2.9,226557.0
B_0051,2019,renewable,45.4,54.3,24852.0,1.5,423989.0
B_0052,2018,windows,16.1,18.6,73550.0,11.7,132922.0
B_0053,2020,hvac,29.4,25.1,18394.0,6.2,87715.0
B_0054,2022,windows,14.1,16.1,50011.0,2.8,249231.0
B_0056,2022,windows,11.5,10.6,159274.0,22.6,228788.0
B_0061,2018,insulation,26.4,27.4,41514.0,6.6,128401.0
B_0064,2022,renewable,38.3,36.8,14287.0,2.1,178141.0
B_0065,2018,comprehensive,47.1,45.2,61494.0,7.0,166377.0
B_0068,2019,renewable,46.1,54.2,179578.0,3.2,856699.0
B_0071,2022,hvac,39.0,40.0,42596.0,2.6,233643.0
B_0075,2021,windows,22.7,21.6,51707.0,7.0,250916.0
B_0080,2020,windows,15.9,18.9,104549.0,18.6,193455.0
B_0081,2020,insulation,25.9,26.6,95778.0,5.2,473440.0
B_0083,2021,renewable,38.8,39.8,18051.0,7.2,94146.0
B_0086,2018,insulation,19.9,19.3,97171.0,7.1,197724.0
B_0087,2022,lighting,12.3,10.6,50678.0,14.2,133969.0
B_0088,2022,renewable,32.1,32.5,52230.0,1.6,378651.0
B_0094,2019,comprehensive,31.3,30.4,254181.0,15.9,535422.0
B_0095,2022,windows,16.2,18.1,84093.0,12.2,266570.0
