building_id,wall_u_value_wm2k,roof_u_value_wm2k,floor_u_value_wm2k,window_u_value_wm2k,wall_r_value_m2kw,roof_r_value_m2kw,floor_r_value_m2kw,window_r_value_m2kw,thermal_mass_kg,air_tightness_ach
B_0001,0.243,0.462,0.575,1.764,4.121,2.164,1.74,0.567,400301.0,4.49
B_0002,1.611,1.197,0.632,2.211,0.621,0.835,1.583,0.452,162476.0,4.48
B_0003,0.65,0.878,0.737,1.258,1.537,1.139,1.357,0.795,433334.0,1.26
B_0004,1.817,0.809,0.421,1.915,0.55,1.235,2.377,0.522,271069.0,3.18
B_0005,0.318,0.348,1.2,1.95,3.143,2.875,0.834,0.513,208434.0,3.42
B_0006,0.675,1.188,0.619,2.924,1.482,0.842,1.616,0.342,403478.0,4.08
B_0007,0.832,0.757,0.257,2.644,1.203,1.321,3.895,0.378,442293.0,3.58
B_0008,0.694,0.472,0.284,2.19,1.441,2.117,3.525,0.457,107362.0,4.46
B_0009,0.545,1.132,1.673,1.231,1.835,0.884,0.598,0.812,309810.0,1.88
B_0010,1.755,0.214,1.769,1.304,0.57,4.671,0.565,0.767,408559.0,4.76
B_0011,1.665,0.382,1.247,1.525,0.601,2.617,0.802,0.656,320269.0,1.07
B_0012,1.796,1.059,0.628,2.153,0.557,0.945,1.593,0.464,104392.0,1.92
B_0013,0.804,1.444,1.433,1.965,1.243,0.692,0.698,0.509,377265.0,4.6
B_0014,1.605,0.813,1.113,1.488,0.623,1.23,0.898,0.672,273991.0,1.32
B_0015,0.586,0.303,1.392,2.338,1.707,3.298,0.718,0.428,420751.0,0.67
B_0016,0.584,1.428,1.542,2.492,1.713,0.7,0.648,0.401,163033.0,4.84
B_0017,1.062,0.469,0.265,2.134,0.942,2.134,3.778,0.469,233053.0,1.33
B_0018,1.928,1.362,0.609,2.751,0.519,0.734,1.643,0.364,191251.0,1.06
B_0019,0.267,0.75,1.196,2.536,3.747,1.334,0.836,0.394,96726.0,4.61
B_0020,0.726,0.654,0.893,2.916,1.377,1.53,1.12,0.343,160857.0,1.79
B_0021,1.595,1.414,1.439,2.112,0.627,0.707,0.695,0.473,317206.0,3.61
B_0022,1.973,1.094,1.129,2.839,0.507,0.914,0.886,0.352,351677.0,2.97
