building_id,lifecycle_stage,total_gwp_kgco2eq,total_pe_mj,total_water_l,total_waste_kg,recycling_potential_percent
B_0001,production,70795.0,637967.0,4664026.0,96564.0,25.8
B_0001,construction,15965.0,186706.0,413486.0,41531.0,73.0
B_0001,use,339918.0,3937025.0,22408697.0,678019.0,36.1
B_0001,end_of_life,15773.0,133828.0,385420.0,35714.0,22.6
B_0002,production,122214.0,1047558.0,7993637.0,179203.0,41.9
B_0002,construction,35692.0,344429.0,2587598.0,80325.0,34.8
B_0002,use,149620.0,1226368.0,10248865.0,182141.0,69.6
B_0002,end_of_life,24967.0,234073.0,1717930.0,50742.0,48.2
B_0003,production,81017.0,759989.0,5893504.0,172359.0,69.8
B_0003,construction,45578.0,403432.0,2694256.0,89540.0,50.5
B_0003,use,167395.0,1880628.0,5380176.0,363948.0,48.5
B_0003,end_of_life,11599.0,129586.0,874840.0,18787.0,60.1
B_0004,production,79226.0,641837.0,1611959.0,86739.0,64.2
B_0004,construction,13479.0,128501.0,398154.0,18260.0,45.2
B_0004,use,463919.0,4209643.0,23919602.0,886034.0,50.3
B_0004,end_of_life,14117.0,138745.0,539321.0,23929.0,44.8
B_0005,production,172813.0,2026340.0,11477878.0,339165.0,78.1
B_0005,construction,15449.0,158861.0,945514.0,39434.0,63.2
B_0005,use,133910.0,1280422.0,6417003.0,314911.0,21.5
B_0005,end_of_life,14031.0,151024.0,670967.0,41933.0,56.1
B_0006,production,139053.0,1195201.0,2798601.0,221474.0,46.0
B_0006,construction,35854.0,383084.0,1967777.0,84221.0,75.4
B_0006,use,181751.0,1465171.0,10980899.0,522883.0,40.8
B_0006,end_of_life,10193.0,87469.0,747919.0,14658.0,27.6
B_0007,production,118065.0,1226665.0,7142258.0,169472.0,36.8
B_0007,construction,34605.0,373604.0,2728665.0,85700.0,20.2
B_0007,use,369082.0,3336688.0,26471196.0,700073.0,21.4
B_0007,end_of_life,19708.0,230351.0,798508.0,37813.0,69.2
B_0008,production,151758.0,1585836.0,3979846.0,406025.0,51.4
B_0008,construction,13943.0,111912.0,943144.0,37217.0,76.5
B_0008,use,390685.0,3562227.0,25925979.0,857216.0,28.6
B_0008,end_of_life,23087.0,253540.0,1245015.0,24469.0,59.8
B_0009,production,110851.0,919484.0,4767691.0,227583.0,30.3
B_0009,construction,42126.0,484297.0,2207190.0,71316.0,54.8
B_0009,use,175478.0,1596179.0,4439543.0,236954.0,79.8
B_0009,end_of_life,11035.0,104298.0,578084.0,20065.0,57.3
B_0010,production,180536.0,2062434.0,10036520.0,252052.0,74.4
B_0010,construction,42711.0,509887.0,2951142.0,118112.0,47.6
B_0010,use,211352.0,2223377.0,6918124.0,624240.0,27.6
B_0010,end_of_life,15239.0,147225.0,463235.0,23713.0,43.8
B_0011,production,132542.0,1562957.0,5100373.0,174129.0,79.5
B_0011,construction,38646.0,328067.0,2114719.0,108742.0,58.8
B_0011,use,171788.0,1957703.0,5486801.0,228898.0,52.3
B_0011,end_of_life,23500.0,211948.0,1869956.0,69529.0,44.9
B_0012,production,188536.0,1909775.0,14477661.0,288285.0,75.5
B_0012,construction,17123.0,173232.0,385766.0,48562.0,54.6
B_0012,use,295221.0,3087255.0,7024195.0,668690.0,44.0
B_0012,end_of_life,20210.0,223249.0,1332892.0,56783.0,20.6
B_0013,production,89157.0,956538.0,2554537.0,234017.0,39.6
B_0013,construction,48811.0,444061.0,3136168.0,49145.0,42.8
B_0013,use,303211.0,2732414.0,20603655.0,821964.0,75.2
B_0013,end_of_life,8702.0,80839.0,645962.0,17579.0,31.9
B_0014,production,181384.0,1747941.0,7805639.0,278893.0,77.3
B_0014,construction,29677.0,241787.0,2185988.0,58280.0,22.3
B_0014,use,464873.0,4440606.0,19838669.0,988099.0,25.2
B_0014,end_of_life,22695.0,241000.0,1290192.0,45966.0,52.0
B_0015,production,78332.0,805292.0,4368411.0,142012.0,34.4
B_0015,construction,16045.0,135431.0,1192841.0,17955.0,35.6
B_0015,use,447653.0,5031958.0,23771131.0,873706.0,62.3
B_0015,end_of_life,17607.0,209053.0,1188129.0,19253.0,64.6
B_0016,production,160015.0,1436372.0,5227605.0,368769.0,28.2
B_0016,construction,28584.0,306355.0,2245372.0,54781.0,73.2
B_0016,use,239634.0,2840957.0,11169190.0,635982.0,32.9
B_0016,end_of_life,22206.0,194557.0,763059.0,34743.0,72.1
B_0017,production,134365.0,1460494.0,3595987.0,214048.0,69.7
B_0017,construction,44333.0,401869.0,1891611.0,113357.0,53.1
B_0017,use,348609.0,3194398.0,20205282.0,819754.0,75.8
B_0017,end_of_life,13548.0,138404.0,519947.0,15449.0,70.5
B_0018,production,55804.0,547862.0,2969222.0,69962.0,42.0
B_0018,construction,30648.0,354796.0,1083959.0,78371.0,64.6
B_0018,use,480098.0,4543581.0,35175471.0,587323.0,40.8
B_0018,end_of_life,23491.0,279277.0,1705105.0,43789.0,23.8
B_0019,production,104850.0,920779.0,8112845.0,297272.0,76.4
B_0019,construction,26120.0,262537.0,744831.0,77459.0,41.6
B_0019,use,113205.0,1186620.0,6864892.0,315221.0,64.0
B_0019,end_of_life,6829.0,70492.0,197534.0,10383.0,37.6
B_0020,production,96291.0,817973.0,5870772.0,216881.0,30.2
B_0020,construction,15275.0,169152.0,805103.0,18801.0,34.8
B_0020,use,223987.0,2196712.0,12248259.0,246010.0,28.3
B_0020,end_of_life,15288.0,163391.0,670215.0,39114.0,76.9
B_0021,production,173579.0,1584061.0,4735814.0,233546.0,35.2
B_0021,construction,20844.0,181478.0,1569250.0,56589.0,52.6
B_0021,use,309628.0,3113355.0,10401433.0,416167.0,68.2
B_0021,end_of_life,22804.0,252378.0,1192220.0,39771.0,31.1
B_0022,production,90456.0,1037549.0,4485932.0,215008.0,48.6
B_0022,construction,41895.0,422285.0,2528746.0,114577.0,39.9
B_0022,use,331747.0,3687060.0,23167041.0,921494.0,44.9
B_0022,end_of_life,16231.0,155019.0,937857.0,24493.0,66.7
B_0023,production,51818.0,606255.0,3406674.0,64740.0,33.7
B_0023,construction,34018.0,386014.0,2509448.0,90025.0,43.0
B_0023,use,276020.0,3241668.0,19838202.0,323888.0,46.6
B_0023,end_of_life,6697.0,76528.0,522678.0,12792.0,41.2
B_0024,production,102420.0,933928.0,7446928.0,187810.0,75.9
B_0024,construction,35493.0,407000.0,1396611.0,37306.0,63.6
B_0024,use,175274.0,1730937.0,10581032.0,226171.0,70.1
B_0024,end_of_life,12266.0,121104.0,466625.0,13362.0,70.3
B_0025,production,109897.0,996547.0,7945553.0,129963.0,56.4
B_0025,construction,25258.0,266288.0,567011.0,33034.0,48.0
B_0025,use,354713.0,4009017.0,9810256.0,785861.0,30.9
B_0025,end_of_life,5042.0,58839.0,102552.0,12994.0,55.3
B_0026,production,151004.0,1790299.0,6285606.0,201410.0,20.5
