time_seconds,time_hours,strain,strain_rate_per_s,stress_mpa,temperature_C,state
0.0,0.0,0.0,1.2923513294826116e-32,0.5,800,green
360.3603603603604,0.1001001001001001,4.657103117730864e-30,1.2923410719592973e-32,0.5,800,green
720.7207207207208,0.2002002002002002,9.314171061250434e-30,1.2923317914974074e-32,0.5,800,green
1081.081081081081,0.3003003003003003,1.3971207181013195e-29,1.2923233950287625e-32,0.5,800,green
1441.4414414414416,0.4004004004004004,1.8628214508332287e-29,1.2923157983502192e-32,0.5,800,green
1801.801801801802,0.5005005005005005,2.3285195785778713e-29,1.2923089252792504e-32,0.5,800,green
2162.162162162162,0.6006006006006006,2.794215349468494e-29,1.2923027068899534e-32,0.5,800,green
2522.5225225225226,0.7007007007007008,3.259908988002872e-29,1.2922970808218355e-32,0.5,800,green
2882.882882882883,0.8008008008008008,3.7256006972946575e-29,1.292291990654438e-32,0.5,800,green
3243.2432432432433,0.9009009009009009,4.1912906611102876e-29,1.292287385341528e-32,0.5,800,green
3603.603603603604,1.001001001001001,4.656979045711868e-29,1.2922832186991873e-32,0.5,800,green
3963.963963963964,1.1011011011011012,5.122666001524513e-29,1.292279448942662e-32,0.5,800,green
4324.324324324324,1.2012012012012012,5.588351664644872e-29,1.292276038267327e-32,0.5,800,green
4684.684684684685,1.3013013013013013,6.054036158205963e-29,1.292272952469567e-32,0.5,800,green
5045.045045045045,1.4014014014014016,6.519719593611987e-29,1.2922701606037698e-32,0.5,800,green
5405.405405405406,1.5015015015015016,6.985402071655553e-29,1.2922676346719886e-32,0.5,800,green
5765.765765765766,1.6016016016016017,7.451083683528452e-29,1.2922653493431707e-32,0.5,800,green
6126.126126126126,1.7017017017017018,7.916764511736168e-29,1.2922632816991257e-32,0.5,800,green
6486.486486486487,1.8018018018018018,8.382444630925282e-29,1.2922614110046927e-32,0.5,800,green
6846.846846846847,1.9019019019019021,8.848124108632048e-29,1.2922597184998001e-32,0.5,800,green
7207.207207207208,2.002002002002002,9.313803005959685e-29,1.292258187211333e-32,0.5,800,green
7567.567567567568,2.1021021021021022,9.77948137819113e-29,1.2922568017829186e-32,0.5,800,green
7927.927927927928,2.2022022022022023,1.0245159275343451e-28,1.2922555483209272e-32,0.5,800,green
