building_id,year,month,total_energy_kwh,heating_energy_kwh,cooling_energy_kwh,lighting_energy_kwh,appliances_energy_kwh,energy_intensity_kwhm2
B_0001,2018,1,3440.2,1635.3,391.5,453.4,1167.8,2.28
B_0001,2018,2,5685.3,1882.1,1238.4,1091.8,1801.4,5.57
B_0001,2018,3,7598.0,4112.7,798.6,1251.3,2362.3,4.26
B_0001,2018,4,3103.1,1679.9,786.6,517.0,837.5,2.52
B_0001,2018,5,7169.9,3158.0,907.8,1355.8,1941.9,8.55
B_0001,2018,6,8344.8,3721.5,1839.1,1069.4,2969.9,6.75
B_0001,2018,7,4211.1,1388.5,608.0,459.8,1647.9,2.27
B_0001,2018,8,7465.5,2731.6,1505.3,1164.9,1975.6,4.04
B_0001,2018,9,3189.5,1701.6,854.9,616.3,832.5,4.6
B_0001,2018,10,5580.9,2266.0,1292.8,880.4,1393.7,2.82
B_0001,2018,11,4886.6,2148.9,1069.7,947.8,1278.5,3.06
B_0001,2018,12,9869.5,5539.8,1453.2,1120.4,2901.2,7.7
B_0001,2019,1,9390.3,5294.4,2428.8,971.4,2149.9,18.08
B_0001,2019,2,4391.5,2360.1,983.5,499.2,1709.7,2.49
B_0001,2019,3,3399.2,1397.5,340.7,585.3,871.5,4.26
B_0001,2019,4,5383.5,2346.3,800.2,761.9,1740.3,4.66
B_0001,2019,5,1885.6,1018.5,391.6,195.6,559.3,1.14
B_0001,2019,6,3954.0,1205.3,427.1,735.0,1343.0,3.45
B_0001,2019,7,6243.0,3484.9,714.4,1162.4,1932.1,4.57
B_0001,2019,8,2674.1,1385.2,758.8,493.6,922.1,1.41
B_0001,2019,9,5318.3,2466.2,820.9,821.3,1563.7,2.75
B_0001,2019,10,2539.1,1286.5,338.3,342.3,684.0,1.63
B_0001,2019,11,3351.8,1424.2,719.0,411.0,1187.2,4.88
B_0001,2019,12,4423.0,1633.4,1167.5,444.6,1390.7,3.16
B_0001,2020,1,8829.5,2850.1,1091.5,1478.7,2198.1,8.44
B_0001,2020,2,6631.6,2637.1,1355.0,1198.4,1806.4,7.15
B_0001,2020,3,4222.8,2170.2,1099.3,571.9,1005.6,3.26
B_0001,2020,4,6377.5,1937.9,1431.1,1165.8,2298.8,6.44
B_0001,2020,5,6999.5,3511.6,1196.2,1093.9,1783.3,4.17
B_0001,2020,6,2732.3,1475.2,370.9,517.1,898.2,2.14
B_0001,2020,7,10543.0,4548.9,2367.1,1785.6,2446.3,10.95
B_0001,2020,8,9094.0,4171.6,1449.0,1032.0,3007.9,15.1
B_0001,2020,9,2385.7,795.4,714.3,323.8,947.8,2.2
B_0001,2020,10,4685.7,2461.9,773.2,891.9,1198.2,4.85
B_0001,2020,11,2347.5,1117.3,402.9,326.3,765.3,1.3
B_0001,2020,12,4449.0,1901.8,489.0,560.3,1128.9,4.1
B_0001,2021,1,8156.1,3400.5,1005.9,1615.6,2508.6,10.95
B_0001,2021,2,10524.4,4288.5,1837.8,1948.5,2376.5,6.0
B_0001,2021,3,5251.9,2556.9,578.9,558.9,1957.6,4.8
B_0001,2021,4,7570.8,2548.7,2013.9,1471.2,2703.1,5.88
B_0001,2021,5,2434.0,1187.9,357.0,279.9,703.8,3.11
B_0001,2021,6,4343.3,1363.5,484.2,534.9,1281.0,5.11
B_0001,2021,7,8567.5,2756.2,1885.7,1107.6,3335.7,7.15
B_0001,2021,8,6316.3,3494.5,1595.4,712.9,1909.8,7.25
B_0001,2021,9,5881.6,2987.2,1048.6,984.3,1786.7,4.38
B_0001,2021,10,3461.0,1976.6,424.5,649.4,1218.9,2.99
B_0001,2021,11,2144.5,1103.3,271.3,324.5,679.3,1.38
B_0001,2021,12,3494.9,1345.6,972.1,696.4,1396.3,2.0
B_0001,2022,1,3534.4,1983.8,920.4,704.8,1196.5,1.83
B_0001,2022,2,6282.6,2372.9,997.8,1123.5,1486.0,3.27
B_0001,2022,3,3168.6,1019.8,689.5,569.3,1216.1,1.95
B_0001,2022,4,2647.5,1318.2,472.7,268.4,1057.7,3.07
B_0001,2022,5,4345.1,1861.5,908.5,855.1,1264.4,8.55
B_0001,2022,6,3168.9,1641.1,440.7,412.0,996.3,2.98
B_0001,2022,7,4195.7,2155.7,822.8,572.5,1649.7,4.5
B_0001,2022,8,5131.9,2038.6,886.6,592.2,1979.1,8.08
B_0001,2022,9,6501.1,2390.6,1217.8,1192.1,2064.6,8.92
B_0001,2022,10,8593.9,3496.6,2264.4,862.0,2779.6,5.59
B_0001,2022,11,5282.2,2792.1,982.6,1005.6,1188.2,5.02
B_0001,2022,12,10398.3,4174.6,1913.6,1182.1,2168.9,5.25
B_0002,2018,1,7994.8,4477.1,2356.0,969.1,1647.3,6.86
B_0002,2018,2,4978.5,2789.1,1256.1,535.3,1280.1,4.21
B_0002,2018,3,5313.9,1651.4,1438.3,817.6,1564.8,7.49
B_0002,2018,4,6435.2,3505.1,1440.0,1259.8,2018.7,7.58
B_0002,2018,5,5644.0,3356.2,1514.3,612.0,1850.5,6.92
B_0002,2018,6,7292.0,2669.1,1182.4,1030.3,1774.6,4.9
B_0002,2018,7,6639.1,3410.2,1952.4,911.7,2373.5,4.49
B_0002,2018,8,6985.2,3243.1,906.2,1200.1,1684.8,4.86
B_0002,2018,9,5322.2,2795.7,656.8,918.2,1815.7,5.81
B_0002,2018,10,6326.6,3029.4,796.1,1161.3,1528.2,3.44
B_0002,2018,11,4665.1,2146.7,608.9,525.2,1199.5,6.12
B_0002,2018,12,3058.4,1765.1,506.4,505.7,754.4,2.98
B_0002,2019,1,7894.5,4652.5,794.2,1457.3,2073.4,7.64
B_0002,2019,2,6103.3,3043.3,1470.4,859.7,1394.6,3.39
B_0002,2019,3,7758.6,2382.4,1941.2,954.4,2907.6,11.19
B_0002,2019,4,3769.3,1505.0,1096.0,578.8,1053.0,2.33
B_0002,2019,5,5960.5,2408.1,628.9,881.8,1791.2,4.95
B_0002,2019,6,3692.3,1401.9,511.1,509.0,972.4,3.9
B_0002,2019,7,2731.5,865.3,320.5,296.3,959.4,3.14
B_0002,2019,8,8533.5,3543.5,2424.4,936.3,2275.4,8.41
B_0002,2019,9,4681.6,2630.2,776.4,551.5,1609.0,5.01
B_0002,2019,10,4885.5,2178.4,1278.2,534.4,1398.0,3.97
B_0002,2019,11,1763.4,770.0,396.5,345.1,454.4,2.46
B_0002,2019,12,9334.6,3077.1,1258.0,1320.4,1889.5,9.0
B_0002,2020,1,6736.3,3394.2,1917.4,951.7,2492.6,10.29
B_0002,2020,2,3851.9,1861.7,430.1,723.9,1443.9,3.85
B_0002,2020,3,4447.8,1862.1,1009.5,790.4,1316.8,2.62
B_0002,2020,4,5377.7,2025.4,1430.0,846.2,1564.3,3.26
B_0002,2020,5,7128.5,2783.1,2041.8,753.3,2331.1,5.75
B_0002,2020,6,3351.7,1067.1,844.1,547.5,1116.2,4.94
B_0002,2020,7,10126.1,4660.8,2411.8,1405.5,3110.0,6.14
B_0002,2020,8,7965.4,4628.9,1370.8,944.2,2647.5,5.67
B_0002,2020,9,4205.7,2200.5,821.2,694.1,1237.0,3.14
B_0002,2020,10,5658.4,1719.2,928.1,694.4,2130.7,9.58
B_0002,2020,11,2731.5,1157.2,312.3,438.0,886.4,3.31
B_0002,2020,12,11572.2,4445.5,2441.9,1596.7,3314.8,13.98
B_0002,2021,1,3754.7,1459.4,828.8,733.3,1105.5,3.04
B_0002,2021,2,4748.6,1590.7,593.4,542.9,1052.9,6.15
B_0002,2021,3,3005.9,1164.0,581.7,539.0,1114.4,2.99
B_0002,2021,4,6318.0,3478.2,1500.4,777.7,1711.4,3.23
B_0002,2021,5,3710.0,1768.5,965.4,672.2,1124.0,6.98
B_0002,2021,6,4202.0,2468.7,915.6,484.4,1018.4,2.29
B_0002,2021,7,2156.4,1190.6,357.5,374.2,549.2,1.92
B_0002,2021,8,3771.3,1261.6,627.3,711.7,1262.7,5.68
B_0002,2021,9,2176.7,1065.5,260.6,372.5,807.1,1.5
B_0002,2021,10,4687.5,1953.0,1385.9,750.9,1061.8,3.32
B_0002,2021,11,3617.6,1619.4,836.7,681.1,1088.4,2.18
B_0002,2021,12,9701.8,2997.1,2681.8,1589.5,2811.7,7.69
B_0002,2022,1,2922.0,1602.1,733.7,404.7,838.5,2.34
B_0002,2022,2,8086.5,3519.0,1316.0,906.1,2702.7,13.57
B_0002,2022,3,4535.7,2245.7,998.5,694.9,1487.1,5.1
B_0002,2022,4,3709.0,1471.0,520.0,493.2,919.6,3.52
B_0002,2022,5,6815.7,2166.4,947.9,977.3,1510.4,13.47
B_0002,2022,6,4327.1,2227.3,795.5,762.2,1698.6,4.82
B_0002,2022,7,5883.6,2188.8,1390.3,1055.7,1705.2,5.56
B_0002,2022,8,4902.6,2755.3,878.2,693.9,1013.9,2.48
B_0002,2022,9,6224.8,3174.8,764.7,796.6,1718.6,3.79
B_0002,2022,10,2708.7,1352.6,281.8,521.6,711.5,4.27
B_0002,2022,11,2228.0,1085.2,392.5,443.5,499.7,3.7
B_0002,2022,12,3236.8,1860.1,841.7,461.4,656.2,5.35
B_0003,2018,1,8155.4,2961.8,1166.1,1257.6,2434.5,11.54
B_0003,2018,2,5631.9,2613.7,855.2,646.4,1790.4,8.63
B_0003,2018,3,2735.7,846.9,302.7,515.4,887.1,2.12
B_0003,2018,4,5458.1,2013.7,626.7,844.9,1162.6,3.61
B_0003,2018,5,5145.3,2532.7,531.1,703.7,1946.1,7.06
B_0003,2018,6,6357.4,2799.7,1091.7,988.1,1650.2,3.37
B_0003,2018,7,5712.8,3420.9,965.6,647.9,1936.1,3.79
B_0003,2018,8,5601.8,3010.0,563.7,1089.4,1783.4,4.68
B_0003,2018,9,8695.6,3432.0,1353.5,1487.6,2369.2,5.15
B_0003,2018,10,3434.8,1508.5,619.8,441.2,1185.5,2.19
B_0003,2018,11,8343.2,4126.4,1149.3,1351.0,3179.6,4.95
B_0003,2018,12,5136.5,2730.0,1485.9,831.9,1414.4,3.25
B_0003,2019,1,10251.0,4606.2,1985.9,2019.4,4038.0,7.54
B_0003,2019,2,7566.7,2306.2,885.3,1480.4,2589.7,7.88
B_0003,2019,3,7188.8,3055.8,797.3,1317.1,2588.9,10.59
B_0003,2019,4,8116.3,4494.7,1544.1,1299.1,3122.6,13.61
B_0003,2019,5,5649.1,1939.6,1151.0,875.6,1365.9,4.68
