building_id,timestamp,occupancy_count,occupancy_density_per_m2,activity_level,occupancy_type
B_0001,2020-01-01,13,0.0075,low,commercial
B_0002,2020-01-01,0,0.0,low,residential
B_0003,2020-01-01,2,0.0012,low,residential
B_0004,2020-01-01,10,0.005,low,residential
B_0005,2020-01-01,27,0.0299,low,mixed
B_0006,2020-01-01,17,0.0187,low,residential
B_0007,2020-01-01,7,0.0098,low,mixed
B_0008,2020-01-01,2,0.0034,low,commercial
B_0009,2020-01-01,0,0.0,low,residential
B_0010,2020-01-01,4,0.0035,low,residential
B_0011,2020-01-01,6,0.0104,low,mixed
B_0012,2020-01-01,26,0.0407,low,commercial
B_0013,2020-01-01,7,0.0107,low,mixed
B_0014,2020-01-01,0,0.0,low,residential
B_0015,2020-01-01,16,0.0284,low,commercial
B_0016,2020-01-01,12,0.0072,low,commercial
B_0017,2020-01-01,5,0.0081,low,residential
B_0018,2020-01-01,12,0.0147,low,mixed
B_0019,2020-01-01,43,0.0226,medium,residential
B_0020,2020-01-01,4,0.0059,low,commercial
B_0021,2020-01-01,12,0.0069,low,residential
B_0022,2020-01-01,14,0.01,low,residential
B_0023,2020-01-01,10,0.0162,low,commercial
B_0024,2020-01-01,0,0.0,low,mixed
B_0025,2020-01-01,10,0.0178,low,commercial
B_0026,2020-01-01,16,0.0138,low,residential
B_0027,2020-01-01,0,0.0,low,mixed
B_0028,2020-01-01,73,0.0427,medium,residential
B_0029,2020-01-01,0,0.0,low,residential
B_0030,2020-01-01,62,0.0571,medium,residential
B_0031,2020-01-01,15,0.0196,low,mixed
B_0032,2020-01-01,35,0.0505,low,commercial
B_0033,2020-01-01,0,0.0,low,residential
B_0034,2020-01-01,18,0.0314,low,mixed
B_0035,2020-01-01,23,0.0373,low,commercial
B_0036,2020-01-01,12,0.0204,low,residential
B_0037,2020-01-01,31,0.0193,low,residential
B_0038,2020-01-01,7,0.0038,low,commercial
B_0039,2020-01-01,8,0.0043,low,residential
B_0040,2020-01-01,14,0.0097,low,mixed
B_0041,2020-01-01,2,0.0032,low,mixed
B_0042,2020-01-01,15,0.0139,low,mixed
B_0043,2020-01-01,24,0.0133,low,mixed
B_0044,2020-01-01,10,0.0191,low,commercial
B_0045,2020-01-01,0,0.0,low,commercial
B_0046,2020-01-01,0,0.0,low,residential
B_0047,2020-01-01,25,0.0371,low,mixed
B_0048,2020-01-01,1,0.0006,low,residential
B_0049,2020-01-01,2,0.0011,low,commercial
B_0050,2020-01-01,0,0.0,low,commercial
B_0051,2020-01-01,6,0.0037,low,mixed
B_0052,2020-01-01,14,0.0142,low,mixed
B_0053,2020-01-01,0,0.0,low,commercial
B_0054,2020-01-01,19,0.0121,low,commercial
B_0055,2020-01-01,2,0.0024,low,commercial
B_0056,2020-01-01,0,0.0,low,mixed
B_0057,2020-01-01,12,0.0137,low,residential
B_0058,2020-01-01,0,0.0,low,commercial
B_0059,2020-01-01,17,0.0218,low,residential
B_0060,2020-01-01,11,0.0064,low,mixed
B_0061,2020-01-01,6,0.0108,low,commercial
B_0062,2020-01-01,21,0.0124,low,commercial
B_0063,2020-01-01,11,0.0124,low,commercial
B_0064,2020-01-01,31,0.0326,low,mixed
B_0065,2020-01-01,16,0.0086,low,commercial
B_0066,2020-01-01,0,0.0,low,commercial
B_0067,2020-01-01,9,0.0133,low,commercial
B_0068,2020-01-01,26,0.0174,low,residential
B_0069,2020-01-01,22,0.0216,low,mixed
B_0070,2020-01-01,13,0.0073,low,residential
B_0071,2020-01-01,0,0.0,low,mixed
B_0072,2020-01-01,18,0.0104,low,residential
B_0073,2020-01-01,37,0.0189,low,commercial
B_0074,2020-01-01,0,0.0,low,commercial
B_0075,2020-01-01,3,0.0016,low,mixed
B_0076,2020-01-01,23,0.0234,low,commercial
B_0077,2020-01-01,0,0.0,low,residential
B_0078,2020-01-01,8,0.0088,low,residential
