building_id,timestamp,outdoor_temp_c,outdoor_humidity_percent,wind_speed_ms,wind_direction_deg,solar_irradiance_wm2,precipitation_mm,atmospheric_pressure_hpa
B_0001,2020-01-01,-11.2,62.2,0.8,134.4,100.4,0.6,1035.9
B_0002,2020-01-01,3.2,70.9,3.5,244.1,404.7,0.8,1001.9
B_0003,2020-01-01,-4.3,85.2,1.7,75.5,151.7,3.0,1029.1
B_0004,2020-01-01,-13.7,90.0,0.0,140.8,212.0,0.4,1007.4
B_0005,2020-01-01,-6.6,30.0,4.4,254.3,199.3,4.3,1025.5
B_0006,2020-01-01,-11.7,56.4,1.4,204.9,176.2,1.7,1011.4
B_0007,2020-01-01,-2.3,50.4,1.0,302.2,50.0,0.2,1008.9
B_0008,2020-01-01,-20.5,50.9,1.3,209.1,12.4,1.0,1019.1
B_0009,2020-01-01,2.3,77.9,1.2,255.1,253.7,1.3,1011.1
B_0010,2020-01-01,-6.4,45.7,4.5,298.4,325.7,2.2,1012.2
B_0011,2020-01-01,-12.8,49.7,0.3,353.8,113.4,1.6,1034.9
B_0012,2020-01-01,-2.0,34.2,0.7,308.7,341.8,3.7,1017.3
B_0013,2020-01-01,-12.1,46.1,5.3,257.9,110.7,2.2,1029.9
B_0014,2020-01-01,-9.0,55.7,1.5,311.8,224.5,1.2,985.6
B_0015,2020-01-01,-1.8,75.8,0.2,75.2,263.9,0.3,1021.7
B_0016,2020-01-01,-16.1,56.2,0.3,284.9,207.8,1.7,1023.6
B_0017,2020-01-01,-12.6,48.0,9.3,16.3,145.5,3.1,1005.7
B_0018,2020-01-01,-6.4,73.9,7.1,199.9,261.7,0.2,1015.7
B_0019,2020-01-01,0.2,49.7,2.2,321.3,274.6,5.3,1006.3
B_0020,2020-01-01,-15.1,86.0,2.0,108.6,104.1,0.5,1025.8
B_0021,2020-01-01,-2.9,65.5,0.5,78.5,0.0,0.9,1050.0
B_0022,2020-01-01,-2.4,81.1,1.6,121.1,186.3,0.2,997.8
B_0023,2020-01-01,-4.8,45.4,1.3,165.5,69.4,2.7,1006.9
B_0024,2020-01-01,-1.4,41.4,3.6,179.6,279.5,0.4,1011.2
B_0025,2020-01-01,6.5,71.4,0.6,325.0,227.5,0.3,1011.0
B_0026,2020-01-01,6.5,48.5,11.0,133.8,290.4,7.3,1012.5
B_0027,2020-01-01,-15.6,55.7,0.9,75.5,270.1,5.0,1019.8
B_0028,2020-01-01,-0.8,61.2,1.9,276.9,200.6,1.0,1011.0
B_0029,2020-01-01,-10.3,44.3,3.1,123.2,38.9,2.2,1043.8
B_0030,2020-01-01,-7.4,30.0,0.2,69.6,154.6,1.0,1030.9
B_0031,2020-01-01,-5.1,84.5,1.5,259.1,189.1,0.5,1005.5
B_0032,2020-01-01,-6.8,65.3,3.0,197.1,180.9,0.0,988.8
B_0033,2020-01-01,-7.8,69.7,5.5,290.5,286.0,2.0,1008.4
B_0034,2020-01-01,-10.7,55.3,1.7,17.5,258.8,0.6,1050.0
B_0035,2020-01-01,-4.7,56.5,0.3,16.9,282.8,0.9,1009.8
B_0036,2020-01-01,-6.5,79.9,0.0,226.1,212.3,1.6,1011.2
B_0037,2020-01-01,-7.9,35.5,1.2,314.9,299.6,0.4,1037.9
B_0038,2020-01-01,-12.9,61.1,18.3,355.8,239.9,3.8,1025.4
B_0039,2020-01-01,-6.8,45.8,4.8,232.2,376.9,0.4,1033.8
B_0040,2020-01-01,3.8,70.7,8.0,158.9,223.3,1.2,1015.3
B_0041,2020-01-01,-9.2,47.8,0.5,240.0,125.8,9.5,1006.2
B_0042,2020-01-01,-0.5,75.4,7.5,213.5,244.3,0.7,1036.6
B_0043,2020-01-01,-1.5,66.0,4.4,192.2,108.2,0.1,1001.5
B_0044,2020-01-01,-1.9,90.0,1.8,352.1,277.4,1.4,1044.5
B_0045,2020-01-01,-0.8,55.9,4.6,75.1,245.1,0.1,989.7
B_0046,2020-01-01,-9.3,68.5,2.0,57.6,134.6,0.6,1022.4
B_0047,2020-01-01,-2.9,90.0,3.6,144.9,184.7,0.9,1010.1
B_0048,2020-01-01,-2.5,50.9,1.3,238.2,22.7,0.3,1002.5
B_0049,2020-01-01,-11.7,68.7,0.4,252.1,73.9,0.6,1013.3
B_0050,2020-01-01,-13.6,75.5,2.6,25.5,228.9,0.7,1006.9
B_0051,2020-01-01,-5.7,62.0,2.0,355.3,222.5,0.9,1039.8
B_0052,2020-01-01,-2.4,69.9,1.6,316.2,355.1,4.0,978.6
B_0053,2020-01-01,-7.7,67.5,0.1,162.1,91.9,1.4,1022.9
B_0054,2020-01-01,-5.2,63.3,0.6,233.0,154.4,0.5,1035.2
B_0055,2020-01-01,-7.1,55.1,1.9,345.9,457.3,0.0,1038.4
B_0056,2020-01-01,-5.9,41.0,6.8,145.8,266.2,2.8,1017.0
B_0057,2020-01-01,-4.9,73.7,1.7,333.6,262.0,0.8,987.4
B_0058,2020-01-01,-5.5,57.2,0.4,301.6,214.0,0.5,992.8
B_0059,2020-01-01,-9.3,72.0,0.7,330.7,82.8,1.4,983.7
B_0060,2020-01-01,-6.1,61.0,0.9,247.0,218.7,0.3,983.8
B_0061,2020-01-01,-8.9,66.2,0.3,127.3,320.5,3.9,982.5
B_0062,2020-01-01,-10.0,87.3,4.7,323.4,211.5,4.2,1006.6
B_0063,2020-01-01,1.1,32.8,0.9,123.0,414.0,4.1,1012.1
B_0064,2020-01-01,-19.9,69.8,5.5,41.5,153.0,9.2,1029.2
B_0065,2020-01-01,-5.1,42.5,2.0,164.2,206.6,0.0,1050.0
B_0066,2020-01-01,-13.8,56.8,2.5,88.2,281.8,0.9,995.7
B_0067,2020-01-01,-4.8,70.5,1.1,107.7,162.1,0.1,986.8
B_0068,2020-01-01,-0.8,53.1,7.5,87.8,235.6,0.1,1004.8
B_0069,2020-01-01,-5.9,73.1,6.5,76.5,195.0,0.3,1022.3
B_0070,2020-01-01,-5.3,63.4,3.4,35.5,337.6,0.5,1019.2
B_0071,2020-01-01,-17.5,62.9,3.0,157.5,145.4,1.4,1042.3
B_0072,2020-01-01,-13.1,48.8,0.7,19.6,162.1,1.6,999.0
B_0073,2020-01-01,-6.5,87.3,0.3,283.3,222.3,0.2,1003.1
B_0074,2020-01-01,-3.8,54.7,6.6,252.0,180.4,0.9,1017.2
B_0075,2020-01-01,-6.8,56.9,3.1,236.4,101.9,1.2,1041.4
B_0076,2020-01-01,-4.9,45.1,0.1,157.6,176.5,2.0,1044.8
B_0077,2020-01-01,3.1,65.8,0.2,296.4,183.4,1.2,993.3
B_0078,2020-01-01,0.8,48.8,0.6,76.5,369.4,1.4,990.7
B_0079,2020-01-01,-6.5,34.8,5.6,130.2,281.2,2.1,1001.3
