two_theta_deg,intensity
5.0000,51.64
5.0200,61.82
5.0400,50.07
5.0600,46.77
5.0800,49.18
5.1000,55.04
5.1200,48.41
5.1400,41.14
5.1600,48.11
5.1800,43.21
5.2000,50.75
5.2200,44.76
5.2400,43.45
5.2600,47.35
5.2800,54.37
5.3000,46.72
5.3200,42.90
5.3400,46.50
5.3600,46.65
5.3800,56.65
5.4000,50.52
5.4200,44.23
5.4400,51.30
5.4600,42.80
5.4800,47.49
5.5000,47.67
5.5200,52.47
5.5400,50.82
5.5600,46.27
5.5800,38.26
5.6000,50.38
5.6200,43.86
5.6400,51.06
5.6600,52.94
5.6800,43.43
5.7000,48.75
5.7200,53.17
5.7400,43.57
5.7600,63.65
5.7800,47.73
5.8000,60.10
5.8200,42.42
5.8400,44.43
5.8600,48.31
5.8800,53.19
5.9000,49.89
5.9200,48.58
5.9400,49.42
5.9600,53.96
5.9800,45.97
6.0000,51.40
6.0200,44.09
6.0400,44.04
6.0600,48.21
6.0800,38.82
6.1000,45.32
6.1200,49.12
6.1400,60.41
6.1600,46.28
6.1800,55.72
6.2000,57.69
6.2200,48.20
6.2400,47.08
6.2600,54.91
6.2800,37.79
6.3000,53.78
6.3200,58.46
6.3400,53.51
6.3600,50.90
6.3800,47.70
6.4000,56.69
6.4200,55.14
6.4400,49.50
6.4600,59.67
6.4800,49.89
6.5000,56.49
6.5200,48.78
6.5400,48.15
6.5600,55.03
6.5800,46.91
6.6000,53.69
6.6200,53.31
6.6400,49.43
6.6600,52.43
6.6800,51.92
6.7000,59.48
6.7200,61.53
6.7400,48.60
6.7600,55.53
6.7800,47.57
6.8000,58.87
6.8200,51.09
6.8400,45.39
6.8600,54.97
6.8800,48.82
6.9000,51.44
6.9200,50.50
6.9400,48.11
6.9600,52.93
6.9800,43.95
7.0000,48.79
7.0200,54.50
7.0400,57.40
7.0600,51.24
7.0800,49.25
7.1000,51.98
7.1200,48.29
7.1400,45.10
7.1600,52.17
7.1800,50.37
7.2000,58.31
7.2200,54.40
7.2400,55.23
7.2600,49.93
7.2800,60.11
7.3000,51.34
7.3200,61.50
7.3400,52.96
7.3600,58.12
7.3800,59.05
7.4000,50.19
7.4200,52.77
7.4400,59.49
7.4600,42.74
7.4800,52.24
7.5000,43.41
7.5200,51.86
7.5400,50.43
7.5600,44.26
7.5800,44.83
7.6000,49.20
7.6200,41.29
7.6400,57.86
7.6600,52.55
7.6800,54.18
7.7000,39.22
7.7200,58.01
7.7400,56.48
7.7600,44.64
7.7800,51.41
7.8000,47.79
7.8200,44.97
7.8400,44.05
7.8600,55.15
7.8800,48.01
7.9000,49.71
7.9200,49.61
7.9400,50.30
7.9600,45.58
7.9800,44.41
8.0000,50.32
8.0200,48.16
8.0400,61.90
8.0600,50.87
8.0800,61.00
8.1000,57.72
8.1200,56.84
8.1400,44.95
8.1600,50.96
8.1800,43.06
8.2000,47.82
8.2200,56.74
8.2400,45.85
8.2600,51.55
8.2800,55.96
