specimen_id,mixture,rubber_pct,temperature_C,replicate,xrd_ch_rel_area,xrd_caco3_rel_area,xrd_cao_rel_area,xrd_csh_hump_area
HPRC-0_T20_R1,HPRC-0,0,20,1,473.8136415164383,271.49535496420975,148.51101969366897,3759.9220604656175
HPRC-0_T200_R1,HPRC-0,0,200,1,439.3455602099852,271.3823213671409,148.629237844149,3759.9220604656175
HPRC-0_T400_R1,HPRC-0,0,400,1,305.29820248333954,253.56551558736402,134.26389335405145,3195.933751395775
HPRC-0_T600_R1,HPRC-0,0,600,1,135.75705169113255,224.77595517056088,144.11683476562817,2443.9493393026514
HPRC-0_T800_R1,HPRC-0,0,800,1,91.53618140636969,145.89497799696974,144.3635730697786,1691.9649272095278
HPRC-20_T20_R1,HPRC-20,20,20,1,473.61348461605337,273.8977957410077,149.46221219004184,3759.9220604656175
HPRC-20_T200_R1,HPRC-20,20,200,1,439.7509863740388,272.60631522233194,148.44020309827363,3759.9220604656175
HPRC-20_T400_R1,HPRC-20,20,400,1,306.56734162419616,252.87266623793025,133.0910235275411,3195.933751395775
HPRC-20_T600_R1,HPRC-20,20,600,1,134.61134545934976,226.84024154529138,143.53342927683136,2443.9493393026514
HPRC-20_T800_R1,HPRC-20,20,800,1,91.31944994867867,146.39447347089106,144.9985295239635,1691.9649272095278
