two_theta_deg,intensity
5.0000,49.65
5.0200,51.62
5.0400,51.87
5.0600,50.57
5.0800,44.17
5.1000,44.16
5.1200,58.69
5.1400,56.26
5.1600,54.94
5.1800,52.96
5.2000,59.22
5.2200,55.73
5.2400,50.26
5.2600,60.00
5.2800,47.95
5.3000,48.76
5.3200,45.05
5.3400,47.30
5.3600,52.21
5.3800,53.59
5.4000,54.08
5.4200,49.24
5.4400,42.71
5.4600,44.16
5.4800,44.28
5.5000,52.85
5.5200,49.04
5.5400,48.68
5.5600,60.42
5.5800,42.27
5.6000,60.37
5.6200,36.22
5.6400,51.65
5.6600,50.49
5.6800,45.33
5.7000,57.88
5.7200,50.85
5.7400,62.68
5.7600,46.42
5.7800,46.61
5.8000,54.94
5.8200,55.15
5.8400,55.35
5.8600,47.91
5.8800,48.82
5.9000,50.61
5.9200,52.62
5.9400,50.39
5.9600,55.06
5.9800,57.12
6.0000,41.00
6.0200,49.32
6.0400,51.59
6.0600,51.19
6.0800,54.51
6.1000,37.22
6.1200,59.57
6.1400,55.36
6.1600,43.96
6.1800,49.58
6.2000,46.73
6.2200,41.12
6.2400,37.18
6.2600,53.16
6.2800,48.86
6.3000,64.75
6.3200,53.32
6.3400,47.89
6.3600,51.13
6.3800,45.88
6.4000,45.78
6.4200,50.49
6.4400,51.54
6.4600,55.35
6.4800,50.20
6.5000,48.59
6.5200,47.50
6.5400,41.17
6.5600,54.40
6.5800,45.19
6.6000,46.83
6.6200,40.62
6.6400,55.80
6.6600,53.34
6.6800,45.17
6.7000,57.67
6.7200,49.74
6.7400,41.86
6.7600,54.82
6.7800,50.06
6.8000,46.50
6.8200,53.63
6.8400,51.14
6.8600,51.89
6.8800,52.21
6.9000,55.88
6.9200,52.39
6.9400,52.77
6.9600,47.07
6.9800,43.53
7.0000,44.45
7.0200,52.24
7.0400,50.14
7.0600,55.86
7.0800,48.77
7.1000,45.75
7.1200,46.62
7.1400,45.36
7.1600,54.22
7.1800,50.34
7.2000,59.75
7.2200,48.21
7.2400,49.79
7.2600,50.08
7.2800,55.72
7.3000,54.28
7.3200,43.66
7.3400,52.18
7.3600,54.52
7.3800,44.90
7.4000,53.61
7.4200,48.00
7.4400,49.98
7.4600,47.68
7.4800,54.53
7.5000,47.99
7.5200,56.00
7.5400,45.17
7.5600,52.66
7.5800,59.63
7.6000,50.09
7.6200,52.83
7.6400,52.05
7.6600,47.65
7.6800,50.24
7.7000,51.47
7.7200,51.98
7.7400,58.09
7.7600,51.09
7.7800,50.93
7.8000,50.80
7.8200,53.86
7.8400,53.98
7.8600,37.92
7.8800,52.50
7.9000,53.55
7.9200,45.32
7.9400,50.06
7.9600,49.96
7.9800,52.02
