two_theta_deg,intensity
5.0000,43.65
5.0200,49.87
5.0400,47.57
5.0600,40.03
5.0800,45.06
5.1000,49.48
5.1200,42.36
5.1400,53.87
5.1600,53.61
5.1800,46.50
5.2000,55.84
5.2200,49.01
5.2400,47.18
5.2600,53.79
5.2800,46.73
5.3000,38.53
5.3200,46.68
5.3400,49.21
5.3600,54.55
5.3800,46.66
5.4000,39.30
5.4200,45.00
5.4400,52.81
5.4600,47.56
5.4800,55.32
5.5000,45.70
5.5200,45.08
5.5400,49.15
5.5600,43.08
5.5800,46.52
5.6000,48.06
5.6200,51.79
5.6400,43.14
5.6600,51.67
5.6800,38.41
5.7000,46.30
5.7200,57.57
5.7400,50.94
5.7600,51.17
5.7800,52.60
5.8000,53.29
5.8200,49.66
5.8400,49.85
5.8600,44.20
5.8800,54.88
5.9000,50.69
5.9200,43.34
5.9400,39.96
5.9600,55.42
5.9800,51.01
6.0000,50.72
6.0200,53.26
6.0400,58.24
6.0600,50.77
6.0800,54.58
6.1000,47.52
6.1200,50.44
6.1400,45.73
6.1600,54.57
6.1800,51.39
6.2000,46.46
6.2200,50.35
6.2400,51.14
6.2600,51.86
6.2800,50.14
6.3000,59.39
6.3200,50.27
6.3400,53.14
6.3600,49.71
6.3800,55.17
6.4000,51.92
6.4200,54.12
6.4400,56.18
6.4600,52.15
6.4800,48.25
6.5000,49.84
6.5200,49.73
6.5400,45.32
6.5600,44.01
6.5800,52.68
6.6000,51.25
6.6200,43.24
6.6400,58.01
6.6600,43.86
6.6800,56.85
6.7000,41.74
6.7200,45.59
6.7400,50.07
6.7600,48.05
6.7800,44.09
6.8000,54.75
6.8200,41.67
6.8400,45.10
6.8600,43.68
6.8800,53.83
6.9000,61.24
6.9200,46.87
6.9400,46.81
6.9600,50.78
6.9800,47.08
7.0000,45.43
7.0200,52.16
7.0400,43.74
7.0600,48.48
7.0800,58.35
7.1000,47.87
7.1200,54.27
7.1400,45.73
7.1600,58.54
7.1800,63.22
7.2000,51.35
7.2200,50.38
7.2400,50.44
7.2600,48.86
7.2800,60.03
7.3000,48.72
7.3200,44.83
7.3400,44.25
7.3600,55.64
7.3800,44.93
7.4000,54.50
7.4200,54.57
7.4400,56.32
7.4600,48.30
7.4800,50.05
7.5000,48.83
7.5200,55.36
7.5400,51.74
7.5600,52.71
7.5800,51.36
7.6000,46.34
7.6200,55.14
7.6400,50.47
7.6600,46.81
7.6800,52.58
7.7000,54.89
7.7200,51.93
7.7400,48.56
7.7600,44.56
7.7800,45.02
7.8000,50.21
7.8200,52.63
7.8400,42.08
7.8600,49.03
7.8800,51.03
7.9000,56.09
7.9200,40.56
7.9400,51.16
7.9600,50.48
7.9800,53.54
8.0000,57.62
8.0200,49.56
8.0400,53.57
8.0600,53.60
8.0800,52.06
8.1000,44.98
8.1200,51.51
8.1400,57.33
8.1600,55.58
8.1800,50.18
8.2000,50.41
8.2200,47.46
8.2400,61.58
8.2600,54.39
8.2800,53.67
8.3000,51.15
8.3200,47.64
8.3400,59.86
8.3600,47.48
8.3800,41.38
8.4000,47.60
8.4200,57.41
8.4400,48.80
8.4600,51.39
8.4800,52.53
8.5000,52.67
8.5200,45.36
8.5400,50.93
8.5600,49.27
8.5800,47.34
8.6000,52.45
8.6200,51.56
8.6400,50.68
8.6600,57.16
8.6800,49.59
8.7000,51.28
8.7200,39.59
8.7400,50.96
8.7600,57.31
8.7800,46.59
8.8000,43.93
8.8200,56.23
8.8400,57.92
8.8600,49.05
8.8800,49.04
8.9000,43.88
8.9200,47.98
8.9400,46.39
8.9600,48.26
8.9800,47.90
9.0000,55.82
9.0200,47.92
9.0400,48.34
9.0600,47.90
9.0800,49.16
9.1000,51.07
9.1200,55.80
9.1400,44.07
9.1600,54.49
9.1800,47.69
9.2000,47.59
9.2200,45.97
9.2400,45.52
9.2600,54.66
9.2800,53.79
9.3000,44.84
9.3200,61.65
9.3400,55.09
9.3600,53.27
9.3800,56.36
9.4000,44.55
9.4200,53.04
9.4400,46.12
9.4600,52.63
9.4800,50.09
9.5000,52.44
9.5200,47.12
9.5400,46.01
9.5600,49.07
9.5800,59.04
9.6000,40.63
9.6200,47.06
9.6400,55.81
9.6600,56.76
9.6800,46.22
9.7000,48.80
9.7200,59.85
9.7400,49.95
9.7600,53.72
9.7800,50.87
9.8000,53.60
9.8200,43.74
9.8400,45.63
9.8600,47.71
9.8800,44.84
9.9000,49.04
9.9200,45.97
9.9400,55.89
9.9600,49.72
9.9800,56.95
10.0000,55.11
10.0200,58.77
10.0400,50.17
10.0600,56.53
10.0800,46.80
10.1000,50.41
10.1200,57.32
10.1400,50.22
10.1600,52.85
10.1800,46.60
10.2000,46.19
10.2200,43.94
10.2400,45.68
10.2600,54.85
10.2800,52.34
10.3000,50.84
10.3200,54.13
10.3400,58.01
10.3600,53.66
10.3800,49.05
10.4000,57.21
10.4200,46.56
10.4400,49.05
10.4600,49.11
10.4800,53.25
10.5000,56.78
10.5200,57.37
10.5400,54.27
