two_theta_deg,intensity
5.0000,42.75
5.0200,50.93
5.0400,50.58
5.0600,57.32
5.0800,47.34
5.1000,55.68
5.1200,49.32
5.1400,52.67
5.1600,53.21
5.1800,47.69
5.2000,52.08
5.2200,54.35
5.2400,50.81
5.2600,48.90
5.2800,43.62
5.3000,55.37
5.3200,49.67
5.3400,49.78
5.3600,44.96
5.3800,57.59
5.4000,50.01
5.4200,45.58
5.4400,64.76
5.4600,50.84
5.4800,59.42
5.5000,48.37
5.5200,50.81
5.5400,52.94
5.5600,45.33
5.5800,48.77
5.6000,60.42
5.6200,46.20
5.6400,49.80
5.6600,50.05
5.6800,45.99
5.7000,44.51
5.7200,50.20
5.7400,47.47
5.7600,44.16
5.7800,58.73
5.8000,49.70
5.8200,52.79
5.8400,50.30
5.8600,42.01
5.8800,47.48
5.9000,45.47
5.9200,50.41
5.9400,51.18
5.9600,54.88
5.9800,51.19
6.0000,56.95
6.0200,49.69
6.0400,48.23
6.0600,52.94
6.0800,52.74
6.1000,51.29
6.1200,45.11
6.1400,40.62
6.1600,53.17
6.1800,48.02
6.2000,54.37
6.2200,43.56
6.2400,57.40
6.2600,43.74
6.2800,48.91
6.3000,48.48
6.3200,44.07
6.3400,50.99
6.3600,49.90
6.3800,47.92
6.4000,46.73
6.4200,52.71
6.4400,48.93
6.4600,55.31
6.4800,50.36
6.5000,55.23
6.5200,51.44
6.5400,58.02
6.5600,48.07
6.5800,54.96
6.6000,57.85
6.6200,51.06
6.6400,51.00
6.6600,50.32
6.6800,53.74
6.7000,47.35
6.7200,44.92
6.7400,47.83
6.7600,54.66
6.7800,44.85
6.8000,50.84
6.8200,45.70
6.8400,55.06
6.8600,53.01
6.8800,51.39
6.9000,48.57
6.9200,46.56
6.9400,50.38
6.9600,59.03
6.9800,48.29
7.0000,50.35
7.0200,46.05
7.0400,48.88
7.0600,49.43
7.0800,40.10
7.1000,55.40
7.1200,49.30
7.1400,62.24
7.1600,50.40
7.1800,53.69
7.2000,52.53
7.2200,40.64
7.2400,49.15
7.2600,46.96
7.2800,45.07
7.3000,53.87
7.3200,55.09
7.3400,52.57
7.3600,44.58
7.3800,43.15
7.4000,54.48
7.4200,53.25
7.4400,47.13
7.4600,51.85
7.4800,52.61
7.5000,43.79
7.5200,45.36
7.5400,48.25
7.5600,56.04
7.5800,54.39
7.6000,41.72
7.6200,44.82
7.6400,48.37
7.6600,47.37
7.6800,44.74
7.7000,51.17
7.7200,48.54
7.7400,57.16
7.7600,46.46
7.7800,51.37
7.8000,49.25
7.8200,48.58
7.8400,45.71
7.8600,51.02
7.8800,39.74
7.9000,52.04
7.9200,54.39
7.9400,54.85
7.9600,46.52
7.9800,49.74
8.0000,53.31
8.0200,48.67
8.0400,51.35
8.0600,53.10
8.0800,60.68
8.1000,51.90
8.1200,51.49
8.1400,44.14
8.1600,53.42
8.1800,44.03
8.2000,52.31
8.2200,53.28
8.2400,44.20
8.2600,51.39
8.2800,50.16
8.3000,45.86
8.3200,54.44
8.3400,57.53
8.3600,45.13
8.3800,49.33
8.4000,51.08
8.4200,48.91
8.4400,53.31
8.4600,41.94
8.4800,53.07
8.5000,37.66
8.5200,51.51
8.5400,48.10
8.5600,49.30
8.5800,43.85
8.6000,49.00
8.6200,53.73
8.6400,43.69
8.6600,41.95
8.6800,45.74
8.7000,56.08
8.7200,40.31
8.7400,41.77
8.7600,55.32
8.7800,42.56
8.8000,48.89
8.8200,52.44
8.8400,68.28
8.8600,51.40
8.8800,58.54
8.9000,54.06
8.9200,58.54
8.9400,54.80
8.9600,45.67
8.9800,51.37
9.0000,50.03
9.0200,45.07
9.0400,42.22
9.0600,46.91
9.0800,50.65
9.1000,42.51
9.1200,48.58
9.1400,44.29
9.1600,49.48
9.1800,48.26
9.2000,52.98
9.2200,52.41
9.2400,50.79
9.2600,46.47
9.2800,60.10
9.3000,52.45
9.3200,54.34
9.3400,53.88
9.3600,48.88
9.3800,46.03
9.4000,46.51
9.4200,49.67
9.4400,53.47
9.4600,50.17
9.4800,39.86
9.5000,49.51
9.5200,53.46
9.5400,53.12
9.5600,53.31
9.5800,57.66
9.6000,43.74
9.6200,58.60
9.6400,50.21
9.6600,59.11
9.6800,44.35
9.7000,56.64
9.7200,54.95
9.7400,51.26
9.7600,60.19
9.7800,53.72
9.8000,49.00
9.8200,58.45
9.8400,55.21
9.8600,57.67
9.8800,52.42
9.9000,46.28
9.9200,58.15
9.9400,53.38
9.9600,47.78
9.9800,54.61
10.0000,48.84
10.0200,49.63
10.0400,48.17
10.0600,55.09
10.0800,48.06
10.1000,49.51
10.1200,55.01
10.1400,48.49
10.1600,50.44
10.1800,52.48
10.2000,58.37
10.2200,52.36
10.2400,51.44
10.2600,54.90
10.2800,48.95
10.3000,48.62
10.3200,57.03
10.3400,53.10
10.3600,61.01
10.3800,47.30
10.4000,54.59
10.4200,47.16
10.4400,49.84
10.4600,56.62
10.4800,49.02
10.5000,40.31
10.5200,53.11
10.5400,50.45
10.5600,53.12
10.5800,44.11
10.6000,48.28
10.6200,51.02
10.6400,49.98
10.6600,46.57
10.6800,52.66
10.7000,56.73
10.7200,48.27
10.7400,54.43
10.7600,49.86
10.7800,57.88
10.8000,51.61
10.8200,46.10
10.8400,46.03
10.8600,45.17
10.8800,52.34
10.9000,65.62
10.9200,50.57
10.9400,45.82
10.9600,49.59
10.9800,50.68
11.0000,44.53
11.0200,53.58
11.0400,45.32
11.0600,50.29
11.0800,57.01
11.1000,52.03
11.1200,55.39
11.1400,48.21
11.1600,54.10
11.1800,53.36
11.2000,50.02
11.2200,64.16
11.2400,55.01
11.2600,47.60
11.2800,58.35
11.3000,50.14
11.3200,60.27
11.3400,56.20
11.3600,53.31
11.3800,46.39
11.4000,56.99
11.4200,56.84
11.4400,46.14
11.4600,54.12
11.4800,54.27
11.5000,48.03
11.5200,46.60
11.5400,49.86
11.5600,55.20
11.5800,50.26
11.6000,52.06
11.6200,52.05
11.6400,44.39
11.6600,57.87
11.6800,46.45
11.7000,50.19
11.7200,54.39
11.7400,54.99
11.7600,44.00
11.7800,48.65
11.8000,53.01
11.8200,44.97
11.8400,58.65
11.8600,48.76
11.8800,45.44
11.9000,58.16
11.9200,58.62
11.9400,53.17
11.9600,51.84
11.9800,49.04
12.0000,53.17
12.0200,51.21
12.0400,55.29
12.0600,44.77
12.0800,54.53
12.1000,54.87
12.1200,57.93
12.1400,54.25
12.1600,58.39
12.1800,64.26
12.2000,51.35
12.2200,55.16
12.2400,51.85
12.2600,45.59
12.2800,46.88
12.3000,56.86
12.3200,54.82
12.3400,57.20
12.3600,48.05
12.3800,51.71
12.4000,57.02
12.4200,54.20
12.4400,53.05
12.4600,61.96
12.4800,47.38
12.5000,56.26
12.5200,54.65
12.5400,61.03
12.5600,51.87
12.5800,50.49
12.6000,54.74
12.6200,58.95
12.6400,59.61
12.6600,49.73
12.6800,50.84
12.7000,46.44
12.7200,52.80
12.7400,48.69
12.7600,54.17
12.7800,55.17
12.8000,52.41
12.8200,53.59
12.8400,58.70
12.8600,53.32
12.8800,58.81
12.9000,53.08
12.9200,49.74
12.9400,53.77
12.9600,56.41
12.9800,54.45
13.0000,57.72
13.0200,57.87
13.0400,52.60
13.0600,58.75
13.0800,59.32
13.1000,47.18
13.1200,60.67
13.1400,58.27
13.1600,52.65
13.1800,55.24
13.2000,56.30
13.2200,57.03
13.2400,56.38
13.2600,46.16
13.2800,54.53
13.3000,56.19
13.3200,59.99
13.3400,55.72
13.3600,46.72
13.3800,59.71
13.4000,55.96
13.4200,39.04
13.4400,57.70
13.4600,57.94
13.4800,48.51
13.5000,50.14
13.5200,60.28
13.5400,53.47
13.5600,55.71
13.5800,49.09
13.6000,63.47
13.6200,62.90
13.6400,63.03
13.6600,54.15
13.6800,62.50
13.7000,61.00
13.7200,54.23
13.7400,58.20
13.7600,61.18
13.7800,57.65
13.8000,52.69
13.8200,61.01
13.8400,60.05
13.8600,51.02
13.8800,57.26
13.9000,56.71
13.9200,51.68
13.9400,58.53
13.9600,54.19
13.9800,51.93
14.0000,65.44
14.0200,54.27
14.0400,56.52
14.0600,55.00
14.0800,60.06
14.1000,57.92
14.1200,59.85
14.1400,51.05
14.1600,59.03
14.1800,53.07
14.2000,56.44
14.2200,63.05
14.2400,58.68
14.2600,65.32
14.2800,62.37
14.3000,62.10
14.3200,63.41
14.3400,61.78
14.3600,55.82
14.3800,67.81
14.4000,61.60
14.4200,60.65
14.4400,64.16
14.4600,67.18
14.4800,67.68
14.5000,58.66
14.5200,58.99
14.5400,59.45
14.5600,60.33
14.5800,57.64
14.6000,62.63
14.6200,63.84
14.6400,59.73
14.6600,57.45
14.6800,63.45
14.7000,66.70
14.7200,60.29
14.7400,63.56
14.7600,60.36
14.7800,59.46
14.8000,60.72
14.8200,60.96
14.8400,57.37
14.8600,60.59
14.8800,60.08
14.9000,59.99
14.9200,74.26
14.9400,73.00
14.9600,66.14
14.9800,59.27
15.0000,66.08
15.0200,68.21
15.0400,61.36
15.0600,64.51
15.0800,64.14
15.1000,61.24
15.1200,64.74
15.1400,64.05
15.1600,53.22
15.1800,78.84
15.2000,69.02
15.2200,71.33
15.2400,64.46
15.2600,77.84
15.2800,62.76
15.3000,59.61
15.3200,54.94
15.3400,67.67
15.3600,62.92
15.3800,65.30
15.4000,64.70
15.4200,72.88
15.4400,66.65
15.4600,65.70
15.4800,60.13
15.5000,69.15
15.5200,72.22
15.5400,57.89
15.5600,68.01
15.5800,62.72
15.6000,67.01
15.6200,78.48
15.6400,64.12
15.6600,75.83
15.6800,64.58
15.7000,68.06
15.7200,78.22
15.7400,64.34
15.7600,71.03
15.7800,71.01
15.8000,70.81
15.8200,66.80
15.8400,70.04
15.8600,80.17
15.8800,69.95
15.9000,71.86
15.9200,68.99
15.9400,72.62
15.9600,68.67
15.9800,76.20
16.0000,73.44
16.0200,67.77
16.0400,70.77
16.0600,61.43
16.0800,77.14
16.1000,75.60
16.1200,72.69
16.1400,74.76
16.1600,82.48
16.1800,72.85
16.2000,78.73
16.2200,78.60
16.2400,78.17
16.2600,82.66
16.2800,71.93
16.3000,68.31
16.3200,70.47
16.3400,80.51
16.3600,74.35
16.3800,81.37
16.4000,76.48
16.4200,78.62
16.4400,71.00
16.4600,77.25
16.4800,79.37
16.5000,85.67
16.5200,75.59
16.5400,80.06
16.5600,74.04
16.5800,73.87
16.6000,76.20
16.6200,81.20
16.6400,84.49
16.6600,82.79
16.6800,82.28
16.7000,82.29
16.7200,78.58
16.7400,80.47
16.7600,77.33
16.7800,65.30
16.8000,81.73
16.8200,77.17
16.8400,86.56
16.8600,74.13
16.8800,80.50
16.9000,88.32
16.9200,82.60
16.9400,87.42
16.9600,85.76
16.9800,88.33
17.0000,85.62
17.0200,75.13
17.0400,74.16
17.0600,88.73
17.0800,79.90
17.1000,83.64
17.1200,86.72
17.1400,75.59
17.1600,86.16
17.1800,87.83
17.2000,85.85
17.2200,86.11
17.2400,88.31
17.2600,84.65
17.2800,95.78
17.3000,84.44
17.3200,89.48
17.3400,89.03
17.3600,85.02
17.3800,92.32
17.4000,91.84
17.4200,89.02
17.4400,83.68
17.4600,93.71
17.4800,87.01
17.5000,93.44
17.5200,95.19
17.5400,102.21
17.5600,86.01
17.5800,91.14
17.6000,97.01
17.6200,95.24
17.6400,105.92
17.6600,98.24
17.6800,102.66
17.7000,112.29
17.7200,110.29
17.7400,128.64
17.7600,151.20
17.7800,159.67
17.8000,181.54
17.8200,211.30
17.8400,230.61
17.8600,271.30
17.8800,299.71
17.9000,332.13
17.9200,359.71
17.9400,388.09
17.9600,415.83
17.9800,431.02
18.0000,430.94
18.0200,423.26
18.0400,418.45
18.0600,395.54
18.0800,358.19
18.1000,335.21
18.1200,296.71
18.1400,275.87
18.1600,238.06
18.1800,214.33
18.2000,181.08
18.2200,166.81
18.2400,157.24
18.2600,141.28
18.2800,131.05
18.3000,117.66
18.3200,116.47
18.3400,111.47
18.3600,111.39
18.3800,108.07
18.4000,102.32
18.4200,104.58
18.4400,113.22
18.4600,108.88
18.4800,107.31
18.5000,104.44
18.5200,119.10
18.5400,104.38
18.5600,110.22
18.5800,114.66
18.6000,110.48
18.6200,111.65
18.6400,118.55
18.6600,111.52
18.6800,113.94
18.7000,112.26
18.7200,124.49
18.7400,114.63
18.7600,116.48
18.7800,116.53
18.8000,114.79
18.8200,120.12
18.8400,121.27
18.8600,120.43
18.8800,118.73
18.9000,116.81
18.9200,120.95
18.9400,117.71
18.9600,120.66
18.9800,118.66
19.0000,104.56
19.0200,124.31
19.0400,120.87
19.0600,120.17
19.0800,129.21
19.1000,125.18
19.1200,125.91
19.1400,115.68
19.1600,118.21
19.1800,114.91
19.2000,118.97
19.2200,113.93
19.2400,115.24
19.2600,118.66
19.2800,136.82
19.3000,126.49
19.3200,134.02
19.3400,121.60
19.3600,126.56
19.3800,127.94
19.4000,130.68
19.4200,130.57
19.4400,129.59
19.4600,141.49
19.4800,133.53
19.5000,128.01
19.5200,127.24
19.5400,131.23
19.5600,136.39
19.5800,129.14
19.6000,138.99
19.6200,129.49
19.6400,126.02
19.6600,138.70
19.6800,139.09
19.7000,142.35
19.7200,137.99
19.7400,140.51
19.7600,144.25
19.7800,134.74
19.8000,142.72
19.8200,147.91
19.8400,133.84
19.8600,143.46
19.8800,146.03
19.9000,139.94
19.9200,143.68
19.9400,153.34
19.9600,144.39
19.9800,141.53
20.0000,135.14
20.0200,147.40
20.0400,144.15
20.0600,150.77
20.0800,145.02
20.1000,152.53
20.1200,138.50
20.1400,145.36
20.1600,149.09
20.1800,148.72
20.2000,147.80
20.2200,152.94
20.2400,158.27
20.2600,142.14
20.2800,155.05
20.3000,150.31
20.3200,163.02
20.3400,147.42
20.3600,148.05
20.3800,161.85
20.4000,154.84
20.4200,153.80
20.4400,151.54
20.4600,168.15
20.4800,162.30
20.5000,165.87
20.5200,161.44
20.5400,170.87
20.5600,179.42
20.5800,185.80
20.6000,197.97
20.6200,209.11
20.6400,235.34
20.6600,255.46
20.6800,258.30
20.7000,302.43
20.7200,327.99
20.7400,348.09
20.7600,377.96
20.7800,369.02
20.8000,386.29
20.8200,378.47
20.8400,372.26
20.8600,352.65
20.8800,318.58
20.9000,304.51
20.9200,284.84
20.9400,250.81
20.9600,239.97
20.9800,222.12
21.0000,195.25
21.0200,188.03
21.0400,191.76
21.0600,186.84
21.0800,176.37
21.1000,176.82
21.1200,178.12
21.1400,177.61
21.1600,185.34
21.1800,178.97
21.2000,177.29
21.2200,175.23
21.2400,189.01
21.2600,177.89
21.2800,181.44
21.3000,174.23
21.3200,191.72
21.3400,184.11
21.3600,189.43
21.3800,195.66
21.4000,179.30
21.4200,187.81
21.4400,176.66
21.4600,196.61
21.4800,196.56
21.5000,183.09
21.5200,196.49
21.5400,188.95
21.5600,185.18
21.5800,194.71
21.6000,191.91
21.6200,188.05
21.6400,199.01
21.6600,195.26
21.6800,199.09
21.7000,199.95
21.7200,191.99
21.7400,191.84
21.7600,193.37
21.7800,204.61
21.8000,206.03
21.8200,197.83
21.8400,201.80
21.8600,196.58
21.8800,201.45
21.9000,196.52
21.9200,197.76
21.9400,198.17
21.9600,204.87
21.9800,206.46
22.0000,204.24
22.0200,202.17
22.0400,203.18
22.0600,202.85
22.0800,211.51
22.1000,205.52
22.1200,207.75
22.1400,206.07
22.1600,210.79
22.1800,222.90
22.2000,211.45
22.2200,214.15
22.2400,212.94
22.2600,207.70
22.2800,209.46
22.3000,215.95
22.3200,209.71
22.3400,214.75
22.3600,226.94
22.3800,210.98
22.4000,215.69
22.4200,212.36
22.4400,223.66
22.4600,208.54
22.4800,215.88
22.5000,218.66
22.5200,220.05
22.5400,216.38
22.5600,223.16
22.5800,225.09
22.6000,219.13
22.6200,227.60
22.6400,234.76
22.6600,226.06
22.6800,224.97
22.7000,224.09
22.7200,226.61
22.7400,227.05
22.7600,233.34
22.7800,226.30
22.8000,232.59
22.8200,223.47
22.8400,234.50
22.8600,222.92
22.8800,231.43
22.9000,230.47
22.9200,238.06
22.9400,231.79
22.9600,226.63
22.9800,233.27
23.0000,238.48
23.0200,233.28
23.0400,236.14
23.0600,233.55
23.0800,235.91
23.1000,236.70
23.1200,248.14
23.1400,239.74
23.1600,240.29
23.1800,244.43
23.2000,241.79
23.2200,236.81
23.2400,239.79
23.2600,234.08
23.2800,240.69
23.3000,249.91
23.3200,249.07
23.3400,247.54
23.3600,256.50
23.3800,244.94
23.4000,236.73
23.4200,244.54
23.4400,253.66
23.4600,248.84
23.4800,251.83
23.5000,247.89
23.5200,246.89
23.5400,254.51
23.5600,250.18
23.5800,257.71
23.6000,245.34
23.6200,260.83
23.6400,254.70
23.6600,247.48
23.6800,256.64
23.7000,256.64
23.7200,248.33
23.7400,261.84
23.7600,254.21
23.7800,258.96
23.8000,253.19
23.8200,254.70
23.8400,253.07
23.8600,255.88
23.8800,253.25
23.9000,262.89
23.9200,265.29
23.9400,258.09
23.9600,265.17
23.9800,253.26
24.0000,262.64
24.0200,267.03
24.0400,262.42
24.0600,262.96
24.0800,263.47
24.1000,266.25
24.1200,262.64
24.1400,261.83
24.1600,271.45
24.1800,265.67
24.2000,270.28
24.2200,263.63
24.2400,272.37
24.2600,269.96
24.2800,276.28
24.3000,267.48
24.3200,278.60
24.3400,263.03
24.3600,272.33
24.3800,271.68
24.4000,279.14
24.4200,275.27
24.4400,272.80
24.4600,276.64
24.4800,275.27
24.5000,272.36
24.5200,274.35
24.5400,278.88
24.5600,273.54
24.5800,282.85
24.6000,279.91
24.6200,278.55
24.6400,280.65
24.6600,282.32
24.6800,284.13
24.7000,275.96
24.7200,275.89
24.7400,280.90
24.7600,284.07
24.7800,269.94
24.8000,284.35
24.8200,280.09
24.8400,289.73
24.8600,279.05
24.8800,285.64
24.9000,284.99
24.9200,284.52
24.9400,286.89
24.9600,275.89
24.9800,281.32
25.0000,293.45
25.0200,283.10
25.0400,296.51
25.0600,280.72
25.0800,285.61
25.1000,285.24
25.1200,280.46
25.1400,285.17
25.1600,293.35
25.1800,284.84
25.2000,286.60
25.2200,293.41
25.2400,285.86
25.2600,290.82
25.2800,287.10
25.3000,302.98
25.3200,293.21
25.3400,286.96
25.3600,292.90
25.3800,290.68
25.4000,287.67
25.4200,295.23
25.4400,293.24
25.4600,292.25
25.4800,290.90
25.5000,289.58
25.5200,291.17
25.5400,292.96
25.5600,293.11
25.5800,298.89
25.6000,286.89
25.6200,293.34
25.6400,304.14
25.6600,295.44
25.6800,305.51
25.7000,303.93
25.7200,292.58
25.7400,303.33
25.7600,303.65
25.7800,300.60
25.8000,303.44
25.8200,306.05
25.8400,288.72
25.8600,299.83
25.8800,298.45
25.9000,304.48
25.9200,306.19
25.9400,303.22
25.9600,291.78
25.9800,310.66
26.0000,294.34
26.0200,301.91
26.0400,299.25
26.0600,301.30
26.0800,305.03
26.1000,311.10
26.1200,296.66
26.1400,293.92
26.1600,299.38
26.1800,300.16
26.2000,308.33
26.2200,308.96
26.2400,308.75
26.2600,298.33
26.2800,300.32
26.3000,299.19
26.3200,307.88
26.3400,313.90
26.3600,318.73
26.3800,320.60
26.4000,341.10
26.4200,346.06
26.4400,363.33
26.4600,390.82
26.4800,413.47
26.5000,433.58
26.5200,469.02
26.5400,492.08
26.5600,494.31
26.5800,524.60
26.6000,523.85
26.6200,524.29
26.6400,502.78
26.6600,480.67
26.6800,469.98
26.7000,436.83
26.7200,410.60
26.7400,387.07
26.7600,361.60
26.7800,362.59
26.8000,332.20
26.8200,319.66
