temperature,instantaneous_cte,thermal_strain,length_change_percent
25,31.492624953437765,0,0
26,31.85154673323863,0,0
27,32.679442393307816,0,0
28,32.3499853094541,0,0
29,32.75874276799398,0,0
30,32.740414783792026,0,0
31,32.372732017240125,0,0
32,32.26475566017921,0,0
33,32.46254966602129,0,0
34,31.768675459341566,0,0
35,32.44986179962305,0,0
36,31.97618198115339,0,0
37,33.002033391460685,0,0
38,32.00488880859116,0,0
39,32.863970241814926,0,0
40,32.237673527544565,0,0
41,32.59868725716811,0,0
42,32.491385759117456,0,0
43,32.0011138121323,0,0
44,31.87719298897719,0,0
45,32.35628493518484,0,0
46,31.615590609635287,0,0
47,31.711650062119677,0,0
48,32.6867466547965,0,0
49,32.025445695823706,0,0
50,32.64082505938216,0,0
51,31.836026292590013,0,0
52,32.557984770363355,0,0
53,32.79552061145719,0,0
54,32.5571512805292,0,0
55,32.165506279296814,0,0
56,32.939438353314316,0,0
57,32.6759211498948,0,0
58,32.449753245040725,0,0
59,32.62288855327789,0,0
60,33.33844963876224,0,0
61,33.2156856012386,0,0
62,32.48841436735242,0,0
63,32.85545388045792,0,0
64,32.51659646049806,0,0
65,32.57715528588803,0,0
66,32.81326170016875,0,0
67,32.84593320880447,0,0
68,32.712997401119146,0,0
69,33.05666278199101,0,0
70,33.202840303735606,0,0
71,33.73922589866079,0,0
72,32.50912819872919,0,0
73,32.50983867126403,0,0
74,32.13178918740353,0,0
75,32.06527223775183,0,0
76,33.432304834091994,0,0
77,33.11590046479524,0,0
78,32.21711960902969,0,0
79,32.88615862862237,0,0
80,33.38733665407949,0,0
81,31.393163147719203,0,0
82,33.65911595855408,0,0
83,33.96179340679513,0,0
84,32.150242715240594,0,0
85,32.569949700211545,0,0
86,33.45163835407831,0,0
87,32.77892225442519,0,0
88,32.97992101250315,0,0
89,33.106364992630844,0,0
90,32.84150571113483,0,0
91,32.385424841636,0,0
92,33.527117830936376,0,0
93,33.54195531233348,0,0
94,33.16529598298149,0,0
95,33.683303105124295,0,0
96,33.525772330218174,0,0
97,33.33104226994315,0,0
98,33.82168206344506,0,0
99,32.74355961839864,0,0
100,32.77169656181011,0,0
101,33.29273426709725,0,0
102,32.894210136333015,0,0
103,32.39307300091151,0,0
104,32.90518049733738,0,0
105,32.95436618552446,0,0
106,33.48673559538359,0,0
107,33.0993908840374,0,0
108,32.76344944391173,0,0
109,33.474700314279396,0,0
110,33.211996210673604,0,0
111,33.22987477921795,0,0
112,34.01026463013179,0,0
113,33.47403058314347,0,0
114,33.24816560780623,0,0
115,33.845447951475315,0,0
116,34.314732013557425,0,0
117,32.80525631989935,0,0
118,33.39837477803093,0,0
119,33.18689321706966,0,0
120,33.800552435317634,0,0
121,33.196498760872885,0,0
122,33.33266391626556,0,0
123,33.13915374564323,0,0
124,34.30681756929456,0,0
125,33.11562842781019,0,0
126,34.03826327341097,0,0
127,33.32184326558155,0,0
128,33.28902250956851,0,0
129,33.46007548981053,0,0
130,33.87279791261949,0,0
131,33.88131024847399,0,0
132,33.89306023227355,0,0
133,33.78990958843573,0,0
134,34.104483929466504,0,0
135,33.06080290494665,0,0
136,33.38537846652437,0,0
137,34.00321008842575,0,0
138,32.974161537772154,0,0
139,33.72357003322465,0,0
140,34.15842050746821,0,0
141,33.39322030350929,0,0
142,33.791229770587655,0,0
143,33.8996572390277,0,0
144,32.406700321133016,0,0
145,33.6829563253099,0,0
146,33.77427709844939,0,0
147,33.847806346708026,0,0
148,33.90879125891431,0,0
149,33.98496211692274,0,0
150,34.22929512982976,0,0
151,34.445323897435,0,0
152,33.02392600574923,0,0
153,33.966525134577445,0,0
154,34.75699850662139,0,0
155,33.60285285902085,0,0
156,34.3523054129486,0,0
157,33.25496005643999,0,0
158,33.98234751376968,0,0
159,33.77363888993862,0,0
160,34.52206244809309,0,0
161,34.423028071902166,0,0
162,33.644984412666936,0,0
163,34.19274508832009,0,0
164,34.397074324434186,0,0
165,34.8821604100738,0,0
166,34.605952741333134,0,0
167,34.38668384937486,0,0
168,34.270405988068354,0,0
169,34.13834303537304,0,0
170,34.75119261736527,0,0
171,34.30369605544642,0,0
172,34.63916374962922,0,0
173,34.04467828586268,0,0
174,34.342334631811916,0,0
175,34.75567306119208,0,0
176,34.48427093956531,0,0
177,33.541255363651686,0,0
178,34.4573021555723,0,0
179,33.714496592508645,0,0
180,34.978908257947836,0,0
181,34.69517078530953,0,0
182,34.642568987565,0,0
183,35.41347630070713,0,0
184,34.60957553905027,0,0
185,33.94764192158587,0,0
186,34.874269004689985,0,0
187,34.99408315971988,0,0
188,34.169255019261655,0,0
189,34.1354944714952,0,0
190,34.221365107708905,0,0
191,34.2321211626592,0,0
192,34.24597140524062,0,0
193,34.67158968312502,0,0
194,35.6731992932339,0,0
