temperature,instantaneous_cte,thermal_strain,length_change_percent
25,32.102653733949026,0,0
26,32.346130005548126,0,0
27,31.688245759864177,0,0
28,32.37978845010846,0,0
29,32.02342402755573,0,0
30,32.04052274395673,0,0
31,32.2678018460064,0,0
32,32.38204443661269,0,0
33,32.086373503921784,0,0
34,31.918854843651257,0,0
35,31.837658436057072,0,0
36,32.71684368557844,0,0
37,32.089218381535666,0,0
38,32.62238377608572,0,0
39,31.458262652061396,0,0
40,32.5640885809517,0,0
41,32.13970138949466,0,0
42,32.83016818756379,0,0
43,32.04791663968271,0,0
44,32.24648068157812,0,0
45,32.78612942460374,0,0
46,32.29419238111368,0,0
47,32.44303827334323,0,0
48,31.760602096722597,0,0
49,32.5792436758312,0,0
50,32.63495280117643,0,0
51,32.969308994175535,0,0
52,32.799103366155656,0,0
53,32.18873018317552,0,0
54,32.58547451454542,0,0
55,32.57506452085291,0,0
56,32.98242963048561,0,0
57,31.586395848210618,0,0
58,32.70756842611076,0,0
59,32.294737169501175,0,0
60,32.60755032886198,0,0
61,33.030590818586994,0,0
62,32.63543944165885,0,0
63,33.19896975165235,0,0
64,32.90816534701318,0,0
65,32.64673506538586,0,0
66,32.42680483154993,0,0
67,31.851768711912918,0,0
68,32.00588088858535,0,0
69,33.291489722570674,0,0
70,32.80028605325711,0,0
71,32.29200569339831,0,0
72,33.59384890253568,0,0
73,32.92272854602593,0,0
74,33.171298746541744,0,0
75,32.59796335867329,0,0
76,32.28408737721015,0,0
77,33.87058555825205,0,0
78,34.01123440940358,0,0
79,32.81445181713309,0,0
80,34.43247910949777,0,0
81,32.579042213399354,0,0
82,33.01532320407754,0,0
83,34.031908192533,0,0
84,32.61220684627034,0,0
85,33.04616951482594,0,0
86,32.425726360321846,0,0
87,32.1938653581723,0,0
88,33.48103904429405,0,0
89,33.59697541766521,0,0
90,33.067647480685046,0,0
91,33.42660387315034,0,0
92,32.28499838238858,0,0
93,32.6715014426417,0,0
94,32.5303830561588,0,0
95,32.565165097837315,0,0
96,33.49186931385806,0,0
97,33.12743100092159,0,0
98,33.90316772149198,0,0
99,33.27640830379517,0,0
100,33.72625994818296,0,0
101,33.14667425274489,0,0
102,33.02379107877201,0,0
103,32.77753628478062,0,0
104,32.54994157224172,0,0
105,32.71202116635183,0,0
106,32.42527919870511,0,0
107,32.854756141847645,0,0
108,32.5516488478298,0,0
109,34.554181314687156,0,0
110,33.407144944245715,0,0
111,33.17349759786571,0,0
112,33.6480242932527,0,0
113,33.38564660674843,0,0
114,33.10562603504349,0,0
115,33.11008773722454,0,0
116,33.401971283713806,0,0
117,33.7876832568706,0,0
118,34.00814972002008,0,0
119,32.64798704082754,0,0
120,32.68676893741493,0,0
121,33.64064235513634,0,0
