mix_id,slump,air_content,unit_weight,fresh_temperature
M00_Control,101.7,5.4,2381.7,24.2
M05F_5pct_Fine,111.0,5.9,2361.7,24.0
M10F_10pct_Fine,121.7,6.4,2338.7,24.1
M15F_15pct_Fine,138.3,7.1,2315.0,23.9
M20F_20pct_Fine,151.7,8.0,2291.7,24.0
M10C_10pct_Coarse,111.7,6.2,2341.7,24.1
M15C_15pct_Coarse,131.3,7.0,2318.7,24.0
M10M_10pct_Mixed,121.3,6.3,2337.7,24.0
M25F_25pct_Fine,171.7,8.8,2264.7,23.9
M30F_30pct_Fine,191.7,9.8,2238.7,23.8
M00_HS_Control,91.7,4.9,2421.7,24.1
M10F_HS_10pct,108.3,5.5,2394.7,24.0
