building_id,building_type,building_function,construction_year,building_age_years,architectural_style,quality_rating,epc_rating,num_floors,floor_height_m,total_height_m,footprint_area_m2,total_floor_area_m2,building_width_m,building_length_m,rooftop_area_m2,wall_area_m2,window_area_m2,window_wall_ratio,volume_m3,wall_material,roof_material,window_type,hvac_system,wall_u_value,wall_r_value,roof_u_value,roof_r_value,window_u_value,window_shgc,envelope_avg_u_value,heat_loss_coefficient_w_k,thermal_mass_kj_k,wall_cost_per_m2,roof_cost_per_m2,window_cost_per_m2,hvac_system_cost,wall_carbon_kgco2_m2,roof_carbon_kgco2_m2,window_carbon_kgco2_m2,hvac_carbon_kgco2_year
BLD_001,industrial,Warehouse,2002,22,Neo-traditional,good,B,1,3.06,3.06,2449.23,2449.23,35.21,69.57,2449.23,640.51,108.88,0.17,7486.47,cavity_wall_insulated,pitched_insulated,double_glazed,district_heating,0.28,3.57,0.16,6.25,2.8,0.76,0.274,845.6,5156676.86,165,135,285,8000,48,42,75,1200
BLD_002,commercial,Hotel,1938,86,Traditional,poor,G,2,3.05,6.09,573.82,1147.64,17.46,32.86,573.82,613.06,259.21,0.423,3495.19,brick_uninsulated,pitched_uninsulated,single_glazed,gas_boiler_old,2.1,0.48,2.3,0.43,5.8,0.86,3.005,3566.29,2035696.5,85,75,185,3500,45,35,55,2500
BLD_003,educational,Library,1972,52,Brutalist,fair,D,2,2.84,5.67,451.1,902.19,15.06,29.96,451.1,510.74,134.33,0.263,2558.99,cavity_wall_insulated,pitched_insulated,double_glazed,gas_boiler_old,0.28,3.57,0.16,6.25,2.8,0.76,0.576,553.69,1723974.19,165,135,285,3500,48,42,75,2500
BLD_004,industrial,Warehouse,1982,42,Neo-traditional,excellent,D,2,2.85,5.69,933.41,1866.82,23.37,39.93,933.41,720.64,216.96,0.301,5312.58,cavity_wall_insulated,pitched_insulated,double_glazed,gas_boiler_condensing,0.28,3.57,0.16,6.25,2.8,0.76,0.543,897.86,3080773.93,165,135,285,5500,48,42,75,1800
BLD_005,educational,School,1981,43,Contemporary,good,D,4,2.74,10.94,497.34,1989.37,18.49,26.9,497.34,993.52,313.02,0.315,5443.27,brick_insulated,pitched_insulated,double_glazed_low_e,gas_boiler_condensing,0.35,2.86,0.16,6.25,1.8,0.7,0.591,881.19,3358924.52,145,135,385,5500,55,42,82,1800
BLD_006,industrial,Manufacturing,1937,87,Edwardian,fair,G,1,2.93,2.93,1558.5,1558.5,30.16,51.67,1558.5,480.33,73.4,0.153,4573.88,brick_uninsulated,pitched_uninsulated,single_glazed,electric_resistance,2.1,0.48,2.3,0.43,5.8,0.86,2.386,4864.82,3524267.62,85,75,185,2500,45,35,55,3500
BLD_007,educational,School,2008,16,Contemporary,good,C,3,2.95,8.85,763.99,2291.96,24.41,31.3,763.99,985.65,310.52,0.315,6758.51,cavity_wall_insulated,flat_insulated,double_glazed_low_e,gas_boiler_condensing,0.28,3.57,0.18,5.56,1.8,0.7,0.506,885.49,4631592.81,165,155,385,5500,48,45,82,1800
BLD_008,commercial,Mixed-use,1944,80,Classical,fair,G,3,2.79,8.37,336.39,1009.17,12.59,26.73,336.39,657.82,302.49,0.46,2814.29,brick_uninsulated,flat_uninsulated,single_glazed,gas_boiler_old,2.1,0.48,1.8,0.56,5.8,0.86,3.124,3106.14,1908669.59,85,85,185,3500,45,38,55,2500
BLD_009,industrial,Workshop,1997,27,Postmodern,good,A,1,2.83,2.83,692.45,692.45,20.96,33.04,692.45,305.52,102.64,0.336,1958.92,timber_frame,flat_insulated,double_glazed_low_e,air_source_heat_pump,0.25,4.0,0.18,5.56,1.8,0.7,0.361,360.11,1482948.67,125,155,385,12000,28,45,82,800
BLD_010,commercial,Hotel,1932,92,Classical,fair,G,3,3.22,9.65,1116.15,3348.44,26.8,41.64,1116.15,1321.62,462.74,0.35,10775.78,brick_uninsulated,pitched_uninsulated,single_glazed,gas_boiler_old,2.1,0.48,2.3,0.43,5.8,0.86,2.894,7054.68,6400080.44,85,75,185,3500,45,35,55,2500
BLD_011,commercial,Hotel,1954,70,International Style,fair,G,8,3.26,26.1,590.88,4727.06,17.75,33.28,590.88,2663.95,1174.56,0.441,15421.64,cavity_wall_insulated,pitched_insulated,single_glazed,gas_boiler_old,0.28,3.57,0.16,6.25,5.8,0.86,2.25,7324.02,7925739.02,165,135,185,3500,48,42,55,2500
BLD_012,residential,Single-family,2020,4,Smart building,excellent,A,2,3.21,6.41,85.62,171.24,7.21,11.88,85.62,244.89,70.07,0.286,549.24,timber_frame,flat_insulated,double_glazed_low_e,ground_source_heat_pump,0.25,4.0,0.18,5.56,1.8,0.7,0.56,185.24,237459.15,125,155,385,22000,28,45,82,600
BLD_013,industrial,Factory,2002,22,Neo-traditional,good,A,1,3.35,3.35,2958.56,2958.56,41.49,71.3,2958.56,756.44,234.25,0.31,9920.47,brick_insulated,pitched_insulated,double_glazed_low_e,air_source_heat_pump,0.35,2.86,0.16,6.25,1.8,0.7,0.29,1077.79,4842145.88,145,135,385,12000,55,42,82,800
BLD_014,industrial,Factory,1943,81,Georgian,good,G,2,3.01,6.02,935.92,1871.83,21.12,44.31,935.92,787.67,265.72,0.337,5633.07,brick_uninsulated,pitched_uninsulated,single_glazed,gas_boiler_old,2.1,0.48,2.3,0.43,5.8,0.86,2.779,4789.89,4230073.6,85,75,185,3500,45,35,55,2500
BLD_015,educational,Training center,1938,86,Traditional,poor,G,4,3.5,13.99,968.3,3873.2,25.08,38.6,968.3,1781.71,789.45,0.443,13544.58,brick_uninsulated,flat_uninsulated,single_glazed,gas_boiler_old,2.1,0.48,1.8,0.56,5.8,0.86,3.057,8405.5,9212253.06,85,85,185,3500,45,38,55,2500
BLD_016,educational,University,2011,13,Sustainable,excellent,A,3,2.83,8.49,1106.23,3318.7,29.07,38.06,1106.23,1139.51,489.66,0.43,9389.62,timber_frame,pitched_insulated,double_glazed_low_e,ground_source_heat_pump,0.25,4.0,0.16,6.25,1.8,0.7,0.544,1220.85,3774858.54,125,135,385,22000,28,42,82,600
BLD_017,commercial,Mixed-use,1991,33,Corporate,good,D,5,2.89,14.45,501.84,2509.21,15.36,32.66,501.84,1387.88,598.66,0.431,7251.12,cavity_wall_insulated,flat_insulated,double_glazed_low_e,district_heating,0.28,3.57,0.18,5.56,1.8,0.7,0.735,1388.9,3172146.79,165,155,385,8000,48,45,82,1200
BLD_018,industrial,Workshop,2011,13,Modern,excellent,A,2,3.16,6.32,2487.03,4974.06,36.63,67.89,2487.03,1321.83,328.48,0.249,15725.59,cavity_wall_insulated,flat_insulated,double_glazed_low_e,air_source_heat_pump,0.28,3.57,0.18,5.56,1.8,0.7,0.346,1317.07,10350409.07,165,155,385,12000,48,45,82,800
BLD_019,educational,Library,1968,56,Post-war,fair,G,2,3.46,6.92,1371.84,2743.69,25.13,54.59,1371.84,1104.08,349.06,0.316,9499.9,concrete_block,flat_uninsulated,double_glazed,gas_boiler_old,1.8,0.56,1.8,0.56,2.8,0.76,1.941,4805.72,4525414.28,95,85,285,3500,65,38,75,2500
BLD_020,industrial,Workshop,1937,87,Victorian,fair,G,1,3.16,3.16,2840.39,2840.39,36.73,77.32,2840.39,719.93,121.98,0.169,8964.4,brick_uninsulated,flat_uninsulated,single_glazed,gas_boiler_old,2.1,0.48,1.8,0.56,5.8,0.86,1.987,7075.88,6731809.27,85,85,185,3500,45,38,55,2500
BLD_021,residential,Townhouse,1934,90,Traditional,fair,G,3,3.04,9.11,173.98,521.94,10.48,16.61,173.98,493.33,99.28,0.201,1584.51,brick_uninsulated,pitched_uninsulated,single_glazed,gas_boiler_old,2.1,0.48,2.3,0.43,5.8,0.86,2.703,1803.48,756935.61,85,75,185,3500,45,35,55,2500
BLD_022,commercial,Hotel,2001,23,Postmodern,good,F,6,2.78,16.65,604.2,3625.17,18.92,31.94,604.2,1693.61,837.61,0.495,10060.53,brick_insulated,pitched_insulated,double_glazed,gas_boiler_condensing,0.35,2.86,0.16,6.25,2.8,0.76,1.193,2741.58,4146951.47,145,135,285,5500,55,42,75,1800
BLD_023,educational,University,1953,71,Modernist,fair,G,3,3.07,9.2,698.7,2096.09,16.87,41.41,698.7,1072.15,448.59,0.418,6426.22,brick_uninsulated,flat_uninsulated,single_glazed,gas_boiler_old,2.1,0.48,1.8,0.56,5.8,0.86,2.919,5168.96,5062670.88,85,85,185,3500,45,38,55,2500
