building_id,materials_breakdown,total_gwp_materials_kgco2eq,total_embodied_energy_mj,total_water_usage_l,gwp_per_m2_kgco2eq,embodied_energy_per_m2_mj,construction_gwp_kgco2eq,transport_gwp_kgco2eq,transport_distance_km,hvac_manufacturing_gwp_kgco2eq,hvac_operational_gwp_kgco2eq_year,hvac_lifespan_years,total_embodied_carbon_kgco2eq
BLD_001,"[{'material': 'mineral_wool_insulation', 'quantity_kg': 2562.04, 'area_m2': 640.51, 'gwp_total_kgco2eq': 3279.41, 'gwp_per_m2_kgco2eq': 5.12, 'embodied_energy_total_mj': 43042.27, 'embodied_energy_per_m2_mj': 67.2, 'water_usage_total_l': 1281.02, 'recyclability_pct': 60, 'lifespan_years': 50}, {'material': 'concrete_reinforced', 'quantity_kg': 1469538.0, 'area_m2': 2449.23, 'gwp_total_kgco2eq': 470252.16, 'gwp_per_m2_kgco2eq': 192.0, 'embodied_energy_total_mj': 2939076.0, 'embodied_energy_per_m2_mj': 1200.0, 'water_usage_total_l': 5143383.0, 'recyclability_pct': 70, 'lifespan_years': 100}, {'material': 'mineral_wool_insulation', 'quantity_kg': 14695.38, 'area_m2': 2449.23, 'gwp_total_kgco2eq': 18810.09, 'gwp_per_m2_kgco2eq': 7.68, 'embodied_energy_total_mj': 246882.38, 'embodied_energy_per_m2_mj': 100.8, 'water_usage_total_l': 7347.69, 'recyclability_pct': 60, 'lifespan_years': 50}, {'material': 'glass_double_glazed', 'quantity_kg': 10888.0, 'area_m2': 108.88, 'gwp_total_kgco2eq': 9254.8, 'gwp_per_m2_kgco2eq': 85.0, 'embodied_energy_total_mj': 173119.2, 'embodied_energy_per_m2_mj': 1590.0, 'water_usage_total_l': 3266.4, 'recyclability_pct': 100, 'lifespan_years': 35}, {'material': 'aluminum', 'quantity_kg': 544.4, 'area_m2': 108.88, 'gwp_total_kgco2eq': 4485.86, 'gwp_per_m2_kgco2eq': 41.2, 'embodied_energy_total_mj': 92548.0, 'embodied_energy_per_m2_mj': 850.0, 'water_usage_total_l': 217.76, 'recyclability_pct': 95, 'lifespan_years': 50}, {'material': 'gypsum_board', 'quantity_kg': 55107.68, 'area_m2': 4898.46, 'gwp_total_kgco2eq': 20940.92, 'gwp_per_m2_kgco2eq': 4.28, 'embodied_energy_total_mj': 336156.82, 'embodied_energy_per_m2_mj': 68.62, 'water_usage_total_l': 33064.61, 'recyclability_pct': 100, 'lifespan_years': 30}]",527023.24,3830824.67,5188560.48,215.18,1564.09,36738.45,10225.95,106.18,450,2500,15,574437.64
BLD_002,"[{'material': 'brick_clay', 'quantity_kg': 353122.56, 'area_m2': 613.06, 'gwp_total_kgco2eq': 84749.41, 'gwp_per_m2_kgco2eq': 138.24, 'embodied_energy_total_mj': 1059367.68, 'embodied_energy_per_m2_mj': 1728.0, 'water_usage_total_l': 529683.84, 'recyclability_pct': 75, 'lifespan_years': 100}, {'material': 'mineral_wool_insulation', 'quantity_kg': 2452.24, 'area_m2': 613.06, 'gwp_total_kgco2eq': 3138.87, 'gwp_per_m2_kgco2eq': 5.12, 'embodied_energy_total_mj': 41197.63, 'embodied_energy_per_m2_mj': 67.2, 'water_usage_total_l': 1226.12, 'recyclability_pct': 60, 'lifespan_years': 50}, {'material': 'concrete_reinforced', 'quantity_kg': 344292.0, 'area_m2': 573.82, 'gwp_total_kgco2eq': 110173.44, 'gwp_per_m2_kgco2eq': 192.0, 'embodied_energy_total_mj': 688584.0, 'embodied_energy_per_m2_mj': 1200.0, 'water_usage_total_l': 1205022.0, 'recyclability_pct': 70, 'lifespan_years': 100}, {'material': 'mineral_wool_insulation', 'quantity_kg': 3442.92, 'area_m2': 573.82, 'gwp_total_kgco2eq': 4406.94, 'gwp_per_m2_kgco2eq': 7.68, 'embodied_energy_total_mj': 57841.06, 'embodied_energy_per_m2_mj': 100.8, 'water_usage_total_l': 1721.46, 'recyclability_pct': 60, 'lifespan_years': 50}, {'material': 'glass_double_glazed', 'quantity_kg': 16200.62, 'area_m2': 259.21, 'gwp_total_kgco2eq': 13770.53, 'gwp_per_m2_kgco2eq': 53.13, 'embodied_energy_total_mj': 257589.94, 'embodied_energy_per_m2_mj': 993.75, 'water_usage_total_l': 4860.19, 'recyclability_pct': 100, 'lifespan_years': 35}, {'material': 'aluminum', 'quantity_kg': 1296.05, 'area_m2': 259.21, 'gwp_total_kgco2eq': 10679.45, 'gwp_per_m2_kgco2eq': 41.2, 'embodied_energy_total_mj': 220328.5, 'embodied_energy_per_m2_mj': 850.0, 'water_usage_total_l': 518.42, 'recyclability_pct': 95, 'lifespan_years': 50}, {'material': 'gypsum_board', 'quantity_kg': 25821.9, 'area_m2': 2295.28, 'gwp_total_kgco2eq': 9812.32, 'gwp_per_m2_kgco2eq': 4.27, 'embodied_energy_total_mj': 157513.59, 'embodied_energy_per_m2_mj': 68.62, 'water_usage_total_l': 15493.14, 'recyclability_pct': 100, 'lifespan_years': 30}]",236730.96,2482422.4,1758525.17,206.28,2163.07,17214.6,8915.97,192.61,450,2500,15,263311.53
BLD_003,"[{'material': 'mineral_wool_insulation', 'quantity_kg': 2042.96, 'area_m2': 510.74, 'gwp_total_kgco2eq': 2614.99, 'gwp_per_m2_kgco2eq': 5.12, 'embodied_energy_total_mj': 34321.73, 'embodied_energy_per_m2_mj': 67.2, 'water_usage_total_l': 1021.48, 'recyclability_pct': 60, 'lifespan_years': 50}, {'material': 'concrete_reinforced', 'quantity_kg': 270660.0, 'area_m2': 451.1, 'gwp_total_kgco2eq': 86611.2, 'gwp_per_m2_kgco2eq': 192.0, 'embodied_energy_total_mj': 541320.0, 'embodied_energy_per_m2_mj': 1200.0, 'water_usage_total_l': 947310.0, 'recyclability_pct': 70, 'lifespan_years': 100}, {'material': 'mineral_wool_insulation', 'quantity_kg': 2706.6, 'area_m2': 451.1, 'gwp_total_kgco2eq': 3464.45, 'gwp_per_m2_kgco2eq': 7.68, 'embodied_energy_total_mj': 45470.88, 'embodied_energy_per_m2_mj': 100.8, 'water_usage_total_l': 1353.3, 'recyclability_pct': 60, 'lifespan_years': 50}, {'material': 'glass_double_glazed', 'quantity_kg': 13433.0, 'area_m2': 134.33, 'gwp_total_kgco2eq': 11418.05, 'gwp_per_m2_kgco2eq': 85.0, 'embodied_energy_total_mj': 213584.7, 'embodied_energy_per_m2_mj': 1590.0, 'water_usage_total_l': 4029.9, 'recyclability_pct': 100, 'lifespan_years': 35}, {'material': 'aluminum', 'quantity_kg': 671.65, 'area_m2': 134.33, 'gwp_total_kgco2eq': 5534.4, 'gwp_per_m2_kgco2eq': 41.2, 'embodied_energy_total_mj': 114180.5, 'embodied_energy_per_m2_mj': 850.0, 'water_usage_total_l': 268.66, 'recyclability_pct': 95, 'lifespan_years': 50}, {'material': 'gypsum_board', 'quantity_kg': 20299.28, 'area_m2': 1804.38, 'gwp_total_kgco2eq': 7713.72, 'gwp_per_m2_kgco2eq': 4.27, 'embodied_energy_total_mj': 123825.58, 'embodied_energy_per_m2_mj': 68.62, 'water_usage_total_l': 12179.57, 'recyclability_pct': 100, 'lifespan_years': 30}]",117356.81,1072703.39,966162.91,130.08,1189.0,13532.85,3069.49,159.8,450,2500,15,134409.15
BLD_004,"[{'material': 'mineral_wool_insulation', 'quantity_kg': 2882.56, 'area_m2': 720.64, 'gwp_total_kgco2eq': 3689.68, 'gwp_per_m2_kgco2eq': 5.12, 'embodied_energy_total_mj': 48427.01, 'embodied_energy_per_m2_mj': 67.2, 'water_usage_total_l': 1441.28, 'recyclability_pct': 60, 'lifespan_years': 50}, {'material': 'concrete_reinforced', 'quantity_kg': 560046.0, 'area_m2': 933.41, 'gwp_total_kgco2eq': 179214.72, 'gwp_per_m2_kgco2eq': 192.0, 'embodied_energy_total_mj': 1120092.0, 'embodied_energy_per_m2_mj': 1200.0, 'water_usage_total_l': 1960161.0, 'recyclability_pct': 70, 'lifespan_years': 100}, {'material': 'mineral_wool_insulation', 'quantity_kg': 5600.46, 'area_m2': 933.41, 'gwp_total_kgco2eq': 7168.59, 'gwp_per_m2_kgco2eq': 7.68, 'embodied_energy_total_mj': 94087.73, 'embodied_energy_per_m2_mj': 100.8, 'water_usage_total_l': 2800.23, 'recyclability_pct': 60, 'lifespan_years': 50}, {'material': 'glass_double_glazed', 'quantity_kg': 21696.0, 'area_m2': 216.96, 'gwp_total_kgco2eq': 18441.6, 'gwp_per_m2_kgco2eq': 85.0, 'embodied_energy_total_mj': 344966.4, 'embodied_energy_per_m2_mj': 1590.0, 'water_usage_total_l': 6508.8, 'recyclability_pct': 100, 'lifespan_years': 35}, {'material': 'aluminum', 'quantity_kg': 1084.8, 'area_m2': 216.96, 'gwp_total_kgco2eq': 8938.75, 'gwp_per_m2_kgco2eq': 41.2, 'embodied_energy_total_mj': 184416.0, 'embodied_energy_per_m2_mj': 850.0, 'water_usage_total_l': 433.92, 'recyclability_pct': 95, 'lifespan_years': 50}, {'material': 'gypsum_board', 'quantity_kg': 42003.45, 'area_m2': 3733.64, 'gwp_total_kgco2eq': 15961.31, 'gwp_per_m2_kgco2eq': 4.28, 'embodied_energy_total_mj': 256221.05, 'embodied_energy_per_m2_mj': 68.62, 'water_usage_total_l': 25202.07, 'recyclability_pct': 100, 'lifespan_years': 30}]",233414.65,2048210.19,1996547.3,125.03,1097.17,28002.3,5489.26,139.8,520,1800,18,267426.21
BLD_005,"[{'material': 'brick_clay', 'quantity_kg': 572267.52, 'area_m2': 993.52, 'gwp_total_kgco2eq': 137344.2, 'gwp_per_m2_kgco2eq': 138.24, 'embodied_energy_total_mj': 1716802.56, 'embodied_energy_per_m2_mj': 1728.0, 'water_usage_total_l': 858401.28, 'recyclability_pct': 75, 'lifespan_years': 100}, {'material': 'mineral_wool_insulation', 'quantity_kg': 3974.08, 'area_m2': 993.52, 'gwp_total_kgco2eq': 5086.82, 'gwp_per_m2_kgco2eq': 5.12, 'embodied_energy_total_mj': 66764.54, 'embodied_energy_per_m2_mj': 67.2, 'water_usage_total_l': 1987.04, 'recyclability_pct': 60, 'lifespan_years': 50}, {'material': 'concrete_reinforced', 'quantity_kg': 298404.0, 'area_m2': 497.34, 'gwp_total_kgco2eq': 95489.28, 'gwp_per_m2_kgco2eq': 192.0, 'embodied_energy_total_mj': 596808.0, 'embodied_energy_per_m2_mj': 1200.0, 'water_usage_total_l': 1044414.0, 'recyclability_pct': 70, 'lifespan_years': 100}, {'material': 'mineral_wool_insulation', 'quantity_kg': 2984.04, 'area_m2': 497.34, 'gwp_total_kgco2eq': 3819.57, 'gwp_per_m2_kgco2eq': 7.68, 'embodied_energy_total_mj': 50131.87, 'embodied_energy_per_m2_mj': 100.8, 'water_usage_total_l': 1492.02, 'recyclability_pct': 60, 'lifespan_years': 50}, {'material': 'glass_double_glazed', 'quantity_kg': 31302.0, 'area_m2': 313.02, 'gwp_total_kgco2eq': 26606.7, 'gwp_per_m2_kgco2eq': 85.0, 'embodied_energy_total_mj': 497701.8, 'embodied_energy_per_m2_mj': 1590.0, 'water_usage_total_l': 9390.6, 'recyclability_pct': 100, 'lifespan_years': 35}, {'material': 'aluminum', 'quantity_kg': 1565.1, 'area_m2': 313.02, 'gwp_total_kgco2eq': 12896.42, 'gwp_per_m2_kgco2eq': 41.2, 'embodied_energy_total_mj': 266067.0, 'embodied_energy_per_m2_mj': 850.0, 'water_usage_total_l': 626.04, 'recyclability_pct': 95, 'lifespan_years': 50}, {'material': 'gypsum_board', 'quantity_kg': 44760.83, 'area_m2': 3978.74, 'gwp_total_kgco2eq': 17009.11, 'gwp_per_m2_kgco2eq': 4.28, 'embodied_energy_total_mj': 273041.03, 'embodied_energy_per_m2_mj': 68.63, 'water_usage_total_l': 26856.5, 'recyclability_pct': 100, 'lifespan_years': 30}]",298252.1,3467316.8,1943167.48,149.92,1742.92,29840.55,4347.35,73.4,520,1800,18,332960.0
BLD_006,"[{'material': 'brick_clay', 'quantity_kg': 276670.08, 'area_m2': 480.33, 'gwp_total_kgco2eq': 66400.82, 'gwp_per_m2_kgco2eq': 138.24, 'embodied_energy_total_mj': 830010.24, 'embodied_energy_per_m2_mj': 1728.0, 'water_usage_total_l': 415005.12, 'recyclability_pct': 75, 'lifespan_years': 100}, {'material': 'mineral_wool_insulation', 'quantity_kg': 1921.32, 'area_m2': 480.33, 'gwp_total_kgco2eq': 2459.29, 'gwp_per_m2_kgco2eq': 5.12, 'embodied_energy_total_mj': 32278.18, 'embodied_energy_per_m2_mj': 67.2, 'water_usage_total_l': 960.66, 'recyclability_pct': 60, 'lifespan_years': 50}, {'material': 'concrete_reinforced', 'quantity_kg': 935100.0, 'area_m2': 1558.5, 'gwp_total_kgco2eq': 299232.0, 'gwp_per_m2_kgco2eq': 192.0, 'embodied_energy_total_mj': 1870200.0, 'embodied_energy_per_m2_mj': 1200.0, 'water_usage_total_l': 3272850.0, 'recyclability_pct': 70, 'lifespan_years': 100}, {'material': 'mineral_wool_insulation', 'quantity_kg': 9351.0, 'area_m2': 1558.5, 'gwp_total_kgco2eq': 11969.28, 'gwp_per_m2_kgco2eq': 7.68, 'embodied_energy_total_mj': 157096.8, 'embodied_energy_per_m2_mj': 100.8, 'water_usage_total_l': 4675.5, 'recyclability_pct': 60, 'lifespan_years': 50}, {'material': 'glass_double_glazed', 'quantity_kg': 4587.5, 'area_m2': 73.4, 'gwp_total_kgco2eq': 3899.38, 'gwp_per_m2_kgco2eq': 53.12, 'embodied_energy_total_mj': 72941.25, 'embodied_energy_per_m2_mj': 993.75, 'water_usage_total_l': 1376.25, 'recyclability_pct': 100, 'lifespan_years': 35}, {'material': 'aluminum', 'quantity_kg': 367.0, 'area_m2': 73.4, 'gwp_total_kgco2eq': 3024.08, 'gwp_per_m2_kgco2eq': 41.2, 'embodied_energy_total_mj': 62390.0, 'embodied_energy_per_m2_mj': 850.0, 'water_usage_total_l': 146.8, 'recyclability_pct': 95, 'lifespan_years': 50}, {'material': 'gypsum_board', 'quantity_kg': 35066.25, 'area_m2': 3117.0, 'gwp_total_kgco2eq': 13325.18, 'gwp_per_m2_kgco2eq': 4.28, 'embodied_energy_total_mj': 213904.13, 'embodied_energy_per_m2_mj': 68.63, 'water_usage_total_l': 21039.75, 'recyclability_pct': 100, 'lifespan_years': 30}]",400310.03,3238820.6,3716054.08,256.86,2078.17,23377.5,5747.88,73.4,450,2500,15,429885.41
BLD_007,"[{'material': 'mineral_wool_insulation', 'quantity_kg': 3942.6, 'area_m2': 985.65, 'gwp_total_kgco2eq': 5046.53, 'gwp_per_m2_kgco2eq': 5.12, 'embodied_energy_total_mj': 66235.68, 'embodied_energy_per_m2_mj': 67.2, 'water_usage_total_l': 1971.3, 'recyclability_pct': 60, 'lifespan_years': 50}, {'material': 'concrete_reinforced', 'quantity_kg': 458394.0, 'area_m2': 763.99, 'gwp_total_kgco2eq': 146686.08, 'gwp_per_m2_kgco2eq': 192.0, 'embodied_energy_total_mj': 916788.0, 'embodied_energy_per_m2_mj': 1200.0, 'water_usage_total_l': 1604379.0, 'recyclability_pct': 70, 'lifespan_years': 100}, {'material': 'mineral_wool_insulation', 'quantity_kg': 4583.94, 'area_m2': 763.99, 'gwp_total_kgco2eq': 5867.44, 'gwp_per_m2_kgco2eq': 7.68, 'embodied_energy_total_mj': 77010.19, 'embodied_energy_per_m2_mj': 100.8, 'water_usage_total_l': 2291.97, 'recyclability_pct': 60, 'lifespan_years': 50}, {'material': 'glass_double_glazed', 'quantity_kg': 31052.0, 'area_m2': 310.52, 'gwp_total_kgco2eq': 26394.2, 'gwp_per_m2_kgco2eq': 85.0, 'embodied_energy_total_mj': 493726.8, 'embodied_energy_per_m2_mj': 1590.0, 'water_usage_total_l': 9315.6, 'recyclability_pct': 100, 'lifespan_years': 35}, {'material': 'aluminum', 'quantity_kg': 1552.6, 'area_m2': 310.52, 'gwp_total_kgco2eq': 12793.42, 'gwp_per_m2_kgco2eq': 41.2, 'embodied_energy_total_mj': 263942.0, 'embodied_energy_per_m2_mj': 850.0, 'water_usage_total_l': 621.04, 'recyclability_pct': 95, 'lifespan_years': 50}, {'material': 'gypsum_board', 'quantity_kg': 51569.1, 'area_m2': 4583.92, 'gwp_total_kgco2eq': 19596.26, 'gwp_per_m2_kgco2eq': 4.28, 'embodied_energy_total_mj': 314571.51, 'embodied_energy_per_m2_mj': 68.62, 'water_usage_total_l': 30941.46, 'recyclability_pct': 100, 'lifespan_years': 30}]",216383.93,2132274.18,1649520.37,94.41,930.33,34379.4,2006.08,58.71,520,1800,18,253289.41
BLD_008,"[{'material': 'brick_clay', 'quantity_kg': 378904.32, 'area_m2': 657.82, 'gwp_total_kgco2eq': 90937.04, 'gwp_per_m2_kgco2eq': 138.24, 'embodied_energy_total_mj': 1136712.96, 'embodied_energy_per_m2_mj': 1728.0, 'water_usage_total_l': 568356.48, 'recyclability_pct': 75, 'lifespan_years': 100}, {'material': 'mineral_wool_insulation', 'quantity_kg': 2631.28, 'area_m2': 657.82, 'gwp_total_kgco2eq': 3368.04, 'gwp_per_m2_kgco2eq': 5.12, 'embodied_energy_total_mj': 44205.5, 'embodied_energy_per_m2_mj': 67.2, 'water_usage_total_l': 1315.64, 'recyclability_pct': 60, 'lifespan_years': 50}, {'material': 'concrete_reinforced', 'quantity_kg': 201834.0, 'area_m2': 336.39, 'gwp_total_kgco2eq': 64586.88, 'gwp_per_m2_kgco2eq': 192.0, 'embodied_energy_total_mj': 403668.0, 'embodied_energy_per_m2_mj': 1200.0, 'water_usage_total_l': 706419.0, 'recyclability_pct': 70, 'lifespan_years': 100}, {'material': 'mineral_wool_insulation', 'quantity_kg': 2018.34, 'area_m2': 336.39, 'gwp_total_kgco2eq': 2583.48, 'gwp_per_m2_kgco2eq': 7.68, 'embodied_energy_total_mj': 33908.11, 'embodied_energy_per_m2_mj': 100.8, 'water_usage_total_l': 1009.17, 'recyclability_pct': 60, 'lifespan_years': 50}, {'material': 'glass_double_glazed', 'quantity_kg': 18905.62, 'area_m2': 302.49, 'gwp_total_kgco2eq': 16069.78, 'gwp_per_m2_kgco2eq': 53.12, 'embodied_energy_total_mj': 300599.44, 'embodied_energy_per_m2_mj': 993.75, 'water_usage_total_l': 5671.69, 'recyclability_pct': 100, 'lifespan_years': 35}, {'material': 'aluminum', 'quantity_kg': 1512.45, 'area_m2': 302.49, 'gwp_total_kgco2eq': 12462.59, 'gwp_per_m2_kgco2eq': 41.2, 'embodied_energy_total_mj': 257116.5, 'embodied_energy_per_m2_mj': 850.0, 'water_usage_total_l': 604.98, 'recyclability_pct': 95, 'lifespan_years': 50}, {'material': 'gypsum_board', 'quantity_kg': 22706.33, 'area_m2': 2018.34, 'gwp_total_kgco2eq': 8628.4, 'gwp_per_m2_kgco2eq': 4.28, 'embodied_energy_total_mj': 138508.58, 'embodied_energy_per_m2_mj': 68.62, 'water_usage_total_l': 13623.8, 'recyclability_pct': 100, 'lifespan_years': 30}]",198636.21,2314719.09,1297000.76,196.83,2293.69,15137.55,7011.33,179.93,450,2500,15,221235.09
BLD_009,"[{'material': 'concrete_reinforced', 'quantity_kg': 415470.0, 'area_m2': 692.45, 'gwp_total_kgco2eq': 132950.4, 'gwp_per_m2_kgco2eq': 192.0, 'embodied_energy_total_mj': 830940.0, 'embodied_energy_per_m2_mj': 1200.0, 'water_usage_total_l': 1454145.0, 'recyclability_pct': 70, 'lifespan_years': 100}, {'material': 'mineral_wool_insulation', 'quantity_kg': 4154.7, 'area_m2': 692.45, 'gwp_total_kgco2eq': 5318.02, 'gwp_per_m2_kgco2eq': 7.68, 'embodied_energy_total_mj': 69798.96, 'embodied_energy_per_m2_mj': 100.8, 'water_usage_total_l': 2077.35, 'recyclability_pct': 60, 'lifespan_years': 50}, {'material': 'glass_double_glazed', 'quantity_kg': 10264.0, 'area_m2': 102.64, 'gwp_total_kgco2eq': 8724.4, 'gwp_per_m2_kgco2eq': 85.0, 'embodied_energy_total_mj': 163197.6, 'embodied_energy_per_m2_mj': 1590.0, 'water_usage_total_l': 3079.2, 'recyclability_pct': 100, 'lifespan_years': 35}, {'material': 'aluminum', 'quantity_kg': 513.2, 'area_m2': 102.64, 'gwp_total_kgco2eq': 4228.77, 'gwp_per_m2_kgco2eq': 41.2, 'embodied_energy_total_mj': 87244.0, 'embodied_energy_per_m2_mj': 850.0, 'water_usage_total_l': 205.28, 'recyclability_pct': 95, 'lifespan_years': 50}, {'material': 'gypsum_board', 'quantity_kg': 15580.13, 'area_m2': 1384.9, 'gwp_total_kgco2eq': 5920.45, 'gwp_per_m2_kgco2eq': 4.28, 'embodied_energy_total_mj': 95038.76, 'embodied_energy_per_m2_mj': 68.62, 'water_usage_total_l': 9348.08, 'recyclability_pct': 100, 'lifespan_years': 30}]",157142.04,1246219.32,1468854.91,226.94,1799.72,10386.75,3875.75,140.17,1200,800,20,172604.54
BLD_010,"[{'material': 'brick_clay', 'quantity_kg': 761253.12, 'area_m2': 1321.62, 'gwp_total_kgco2eq': 182700.75, 'gwp_per_m2_kgco2eq': 138.24, 'embodied_energy_total_mj': 2283759.36, 'embodied_energy_per_m2_mj': 1728.0, 'water_usage_total_l': 1141879.68, 'recyclability_pct': 75, 'lifespan_years': 100}, {'material': 'mineral_wool_insulation', 'quantity_kg': 5286.48, 'area_m2': 1321.62, 'gwp_total_kgco2eq': 6766.69, 'gwp_per_m2_kgco2eq': 5.12, 'embodied_energy_total_mj': 88812.86, 'embodied_energy_per_m2_mj': 67.2, 'water_usage_total_l': 2643.24, 'recyclability_pct': 60, 'lifespan_years': 50}, {'material': 'concrete_reinforced', 'quantity_kg': 669690.0, 'area_m2': 1116.15, 'gwp_total_kgco2eq': 214300.8, 'gwp_per_m2_kgco2eq': 192.0, 'embodied_energy_total_mj': 1339380.0, 'embodied_energy_per_m2_mj': 1200.0, 'water_usage_total_l': 2343915.0, 'recyclability_pct': 70, 'lifespan_years': 100}, {'material': 'mineral_wool_insulation', 'quantity_kg': 6696.9, 'area_m2': 1116.15, 'gwp_total_kgco2eq': 8572.03, 'gwp_per_m2_kgco2eq': 7.68, 'embodied_energy_total_mj': 112507.92, 'embodied_energy_per_m2_mj': 100.8, 'water_usage_total_l': 3348.45, 'recyclability_pct': 60, 'lifespan_years': 50}, {'material': 'glass_double_glazed', 'quantity_kg': 28921.25, 'area_m2': 462.74, 'gwp_total_kgco2eq': 24583.06, 'gwp_per_m2_kgco2eq': 53.12, 'embodied_energy_total_mj': 459847.88, 'embodied_energy_per_m2_mj': 993.75, 'water_usage_total_l': 8676.38, 'recyclability_pct': 100, 'lifespan_years': 35}, {'material': 'aluminum', 'quantity_kg': 2313.7, 'area_m2': 462.74, 'gwp_total_kgco2eq': 19064.89, 'gwp_per_m2_kgco2eq': 41.2, 'embodied_energy_total_mj': 393329.0, 'embodied_energy_per_m2_mj': 850.0, 'water_usage_total_l': 925.48, 'recyclability_pct': 95, 'lifespan_years': 50}, {'material': 'gypsum_board', 'quantity_kg': 75339.9, 'area_m2': 6696.88, 'gwp_total_kgco2eq': 28629.16, 'gwp_per_m2_kgco2eq': 4.28, 'embodied_energy_total_mj': 459573.39, 'embodied_energy_per_m2_mj': 68.62, 'water_usage_total_l': 45203.94, 'recyclability_pct': 100, 'lifespan_years': 30}]",484617.38,5137210.41,3546592.17,144.73,1534.21,50226.6,15007.04,156.21,450,2500,15,550301.02
