material,quantity_kg,area_m2,gwp_total_kgco2eq,gwp_per_m2_kgco2eq,embodied_energy_total_mj,embodied_energy_per_m2_mj,water_usage_total_l,recyclability_pct,lifespan_years,demolition_gwp_kgco2eq,installation_gwp_kgco2eq,total_gwp_with_installation,measure,building_id,scenario_name,operational_gwp_savings_kgco2eq_year,capacity_kwp
glass_double_glazed,10888.0,108.88,9254.8,85.0,173119.2,1590.0,3266.4,100.0,35,566.18,10.89,9831.86,window_replacement,BLD_001,Minimal,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_001,Minimal,1700.0,
glass_double_glazed,10888.0,108.88,9254.8,85.0,173119.2,1590.0,3266.4,100.0,35,566.18,10.89,9831.86,window_replacement,BLD_001,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_001,Standard,1700.0,
solar_pv,,,66129.21,,918461.25,,,,25,,3673.85,69803.06,solar_pv,BLD_001,Standard,18369.22,36.74
glass_double_glazed,10888.0,108.88,9254.8,85.0,173119.2,1590.0,3266.4,100.0,35,566.18,10.89,9831.86,window_replacement,BLD_001,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_001,Deep Retrofit,1700.0,
solar_pv,,,66129.21,,918461.25,,,,25,,3673.85,69803.06,solar_pv,BLD_001,Deep Retrofit,18369.22,36.74
eps_insulation,1532.65,613.06,5333.62,8.7,135792.79,221.5,306.53,95.0,50,,30.65,5364.27,wall_insulation,BLD_002,Minimal,,
mineral_wool_insulation,3442.92,573.82,4406.94,7.68,57841.06,100.8,1721.46,60.0,50,,23.91,4430.85,roof_insulation,BLD_002,Minimal,,
eps_insulation,1532.65,613.06,5333.62,8.7,135792.79,221.5,306.53,95.0,50,,30.65,5364.27,wall_insulation,BLD_002,Standard,,
mineral_wool_insulation,3442.92,573.82,4406.94,7.68,57841.06,100.8,1721.46,60.0,50,,23.91,4430.85,roof_insulation,BLD_002,Standard,,
glass_double_glazed,25921.0,259.21,22032.85,85.0,412143.9,1590.0,7776.3,100.0,35,1347.89,25.92,23406.66,window_replacement,BLD_002,Standard,,
