building_id,scenario_name,baseline_consumption_kwh,num_measures,measure_list,measures,total_cost_eur,annual_energy_saving_kwh,annual_cost_saving_eur,annual_carbon_saving_kgco2,total_energy_saving_pct,total_carbon_saving_pct,simple_payback_years,npv_20years_eur,roi_percent,pre_retrofit_epc,post_retrofit_epc,building_type,total_floor_area_m2,epc_rating,construction_year,building_age_years,retrofit_embodied_carbon_kgco2eq,retrofit_embodied_energy_mj,carbon_payback_years,lifetime_carbon_benefit_kgco2eq,benefit_to_impact_ratio,total_lifetime_carbon_savings,cost_per_kgco2_saved,cost_per_kwh_saved
BLD_001,Minimal,477255.28,2,"window_replacement, hvac_upgrade_heat_pump","[{'measure': 'window_replacement', 'cost_eur': 48996.0, 'energy_saving_pct': 12.0, 'carbon_saving_pct': 14.4, 'lifetime_years': 30}, {'measure': 'hvac_upgrade_heat_pump', 'cost_eur': 12000, 'energy_saving_pct': 24.64, 'carbon_saving_pct': 30.82, 'lifetime_years': 15}]",60996.0,174866.33,26229.95,75528.51,36.64,45.22,2.33,329239.42,539.77,B,A,industrial,2449.23,B,2002,22,10454.8,188619.2,0.655,683692.6,45.205,1877757.9499999997,0.81,0.35
BLD_001,Standard,477255.28,4,"window_replacement, hvac_upgrade_heat_pump, led_lighting, solar_pv","[{'measure': 'window_replacement', 'cost_eur': 48996.0, 'energy_saving_pct': 12.0, 'carbon_saving_pct': 14.4, 'lifetime_years': 30}, {'measure': 'hvac_upgrade_heat_pump', 'cost_eur': 12000, 'energy_saving_pct': 24.64, 'carbon_saving_pct': 30.82, 'lifetime_years': 15}, {'measure': 'led_lighting', 'cost_eur': 61230.75, 'energy_saving_pct': 6.08, 'carbon_saving_pct': 3.51, 'lifetime_years': 15}, {'measure': 'solar_pv', 'cost_eur': 44086.14, 'energy_saving_pct': 11.46, 'carbon_saving_pct': 12.31, 'lifetime_years': 25}]",166312.89,258567.59,38785.14,101942.2,54.18,61.03,4.29,410712.04,246.95,B,A,industrial,2449.23,B,2002,22,76584.01000000001,1107080.45,1.6600000000000001,1304239.83,39.83,2471970.99,1.63,0.64
BLD_001,Deep Retrofit,477255.28,6,"window_replacement, hvac_upgrade_heat_pump, led_lighting, solar_pv, smart_controls, ventilation_heat_recovery","[{'measure': 'window_replacement', 'cost_eur': 48996.0, 'energy_saving_pct': 12.0, 'carbon_saving_pct': 14.4, 'lifetime_years': 30}, {'measure': 'hvac_upgrade_heat_pump', 'cost_eur': 12000, 'energy_saving_pct': 24.64, 'carbon_saving_pct': 30.82, 'lifetime_years': 15}, {'measure': 'led_lighting', 'cost_eur': 61230.75, 'energy_saving_pct': 6.08, 'carbon_saving_pct': 3.51, 'lifetime_years': 15}, {'measure': 'solar_pv', 'cost_eur': 44086.14, 'energy_saving_pct': 11.46, 'carbon_saving_pct': 12.31, 'lifetime_years': 25}, {'measure': 'smart_controls', 'cost_eur': 3500, 'energy_saving_pct': 5.5, 'carbon_saving_pct': 3.74, 'lifetime_years': 10}, {'measure': 'ventilation_heat_recovery', 'cost_eur': 8500, 'energy_saving_pct': 3.87, 'carbon_saving_pct': 2.82, 'lifetime_years': 20}]",178312.89,303284.85,45492.73,112899.35,63.55,67.59,3.92,498504.03,279.57,B,A,industrial,2449.23,B,2002,22,76584.01000000001,1107080.45,1.6466666666666665,1400114.89,43.083333333333336,2745899.74,1.58,0.59
BLD_002,Minimal,322037.02,2,"wall_insulation, roof_insulation","[{'measure': 'wall_insulation', 'cost_eur': 52110.1, 'energy_saving_pct': 17.6, 'carbon_saving_pct': 20.0, 'lifetime_years': 40}, {'measure': 'roof_insulation', 'cost_eur': 43036.5, 'energy_saving_pct': 11.87, 'carbon_saving_pct': 9.6, 'lifetime_years': 40}]",95146.6,94890.14,14233.52,33363.04,29.47,29.6,6.68,116612.25,122.56,G,F,commercial,1147.64,G,1938,86,9740.56,193633.85,0.585,824280.88,84.93,824335.44,2.85,1.0
BLD_002,Standard,322037.02,4,"wall_insulation, roof_insulation, window_replacement, hvac_upgrade_heat_pump","[{'measure': 'wall_insulation', 'cost_eur': 52110.1, 'energy_saving_pct': 17.6, 'carbon_saving_pct': 20.0, 'lifetime_years': 40}, {'measure': 'roof_insulation', 'cost_eur': 43036.5, 'energy_saving_pct': 11.87, 'carbon_saving_pct': 9.6, 'lifetime_years': 40}, {'measure': 'window_replacement', 'cost_eur': 116644.5, 'energy_saving_pct': 8.46, 'carbon_saving_pct': 10.14, 'lifetime_years': 30}, {'measure': 'hvac_upgrade_heat_pump', 'cost_eur': 12000, 'energy_saving_pct': 17.38, 'carbon_saving_pct': 21.69, 'lifetime_years': 15}]",223791.1,178116.76,26717.51,69241.9,55.31,61.43,8.38,173698.04,77.62,G,D,commercial,1147.64,G,1938,86,32973.409999999996,621277.75,0.6775,2336362.34,100.94,1698074.0899999999,3.23,1.26
BLD_002,Deep Retrofit,322037.02,8,"wall_insulation, roof_insulation, window_replacement, hvac_upgrade_heat_pump, led_lighting, solar_pv, smart_controls, ventilation_heat_recovery","[{'measure': 'wall_insulation', 'cost_eur': 52110.1, 'energy_saving_pct': 17.6, 'carbon_saving_pct': 20.0, 'lifetime_years': 40}, {'measure': 'roof_insulation', 'cost_eur': 43036.5, 'energy_saving_pct': 11.87, 'carbon_saving_pct': 9.6, 'lifetime_years': 40}, {'measure': 'window_replacement', 'cost_eur': 116644.5, 'energy_saving_pct': 8.46, 'carbon_saving_pct': 10.14, 'lifetime_years': 30}, {'measure': 'hvac_upgrade_heat_pump', 'cost_eur': 12000, 'energy_saving_pct': 17.38, 'carbon_saving_pct': 21.69, 'lifetime_years': 15}, {'measure': 'led_lighting', 'cost_eur': 28691.0, 'energy_saving_pct': 4.29, 'carbon_saving_pct': 2.47, 'lifetime_years': 15}, {'measure': 'solar_pv', 'cost_eur': 10328.76, 'energy_saving_pct': 8.08, 'carbon_saving_pct': 8.66, 'lifetime_years': 25}, {'measure': 'smart_controls', 'cost_eur': 3500, 'energy_saving_pct': 3.88, 'carbon_saving_pct': 2.63, 'lifetime_years': 10}, {'measure': 'ventilation_heat_recovery', 'cost_eur': 8500, 'energy_saving_pct': 2.73, 'carbon_saving_pct': 1.98, 'lifetime_years': 20}]",274810.86,239236.81,35885.52,86994.44,74.29,77.18,7.66,259075.07,94.27,G,D,commercial,1147.64,G,1938,86,48466.549999999996,836460.25,1.224,3026747.9499999997,101.486,2126394.45,3.16,1.15
BLD_003,Minimal,128375.53,2,"window_replacement, hvac_upgrade_heat_pump","[{'measure': 'window_replacement', 'cost_eur': 60448.5, 'energy_saving_pct': 12.0, 'carbon_saving_pct': 14.4, 'lifetime_years': 30}, {'measure': 'hvac_upgrade_heat_pump', 'cost_eur': 12000, 'energy_saving_pct': 24.64, 'carbon_saving_pct': 30.82, 'lifetime_years': 15}]",72448.5,47036.79,7055.52,20316.2,36.64,45.22,10.27,32519.81,44.89,D,B,educational,902.19,D,1972,52,12618.05,229084.7,1.59,198286.75,18.925,495286.95,3.57,1.54
BLD_003,Standard,128375.53,4,"window_replacement, hvac_upgrade_heat_pump, led_lighting, solar_pv","[{'measure': 'window_replacement', 'cost_eur': 60448.5, 'energy_saving_pct': 12.0, 'carbon_saving_pct': 14.4, 'lifetime_years': 30}, {'measure': 'hvac_upgrade_heat_pump', 'cost_eur': 12000, 'energy_saving_pct': 24.64, 'carbon_saving_pct': 30.82, 'lifetime_years': 15}, {'measure': 'led_lighting', 'cost_eur': 22554.75, 'energy_saving_pct': 6.08, 'carbon_saving_pct': 3.51, 'lifetime_years': 15}, {'measure': 'solar_pv', 'cost_eur': 8119.8, 'energy_saving_pct': 11.46, 'carbon_saving_pct': 12.31, 'lifetime_years': 25}]",103123.05,69551.36,10432.7,27421.14,54.18,61.03,9.88,52089.23,50.51,D,A,educational,902.19,D,1972,52,24797.75,398247.2,2.1199999999999997,332179.88,16.183333333333334,660730.75,3.76,1.48
BLD_003,Deep Retrofit,128375.53,5,"window_replacement, hvac_upgrade_heat_pump, led_lighting, solar_pv, smart_controls","[{'measure': 'window_replacement', 'cost_eur': 60448.5, 'energy_saving_pct': 12.0, 'carbon_saving_pct': 14.4, 'lifetime_years': 30}, {'measure': 'hvac_upgrade_heat_pump', 'cost_eur': 12000, 'energy_saving_pct': 24.64, 'carbon_saving_pct': 30.82, 'lifetime_years': 15}, {'measure': 'led_lighting', 'cost_eur': 22554.75, 'energy_saving_pct': 6.08, 'carbon_saving_pct': 3.51, 'lifetime_years': 15}, {'measure': 'solar_pv', 'cost_eur': 8119.8, 'energy_saving_pct': 11.46, 'carbon_saving_pct': 12.31, 'lifetime_years': 25}, {'measure': 'smart_controls', 'cost_eur': 3500, 'energy_saving_pct': 5.5, 'carbon_saving_pct': 3.74, 'lifetime_years': 10}]",106623.05,76610.26,11491.54,29102.13,59.68,64.77,9.28,64342.03,60.35,D,A,educational,902.19,D,1972,52,24797.75,398247.2,2.0866666666666664,346888.54000000004,16.586666666666666,702755.5,3.66,1.39
BLD_004,Minimal,508127.24,2,"window_replacement, hvac_upgrade_heat_pump","[{'measure': 'window_replacement', 'cost_eur': 97632.0, 'energy_saving_pct': 12.0, 'carbon_saving_pct': 14.4, 'lifetime_years': 30}, {'measure': 'hvac_upgrade_heat_pump', 'cost_eur': 12000, 'energy_saving_pct': 24.64, 'carbon_saving_pct': 30.82, 'lifetime_years': 15}]",109632.0,186177.82,27926.67,80414.18,36.64,45.22,3.93,305846.38,278.98,D,B,industrial,1866.82,D,1982,42,19641.6,360466.4,0.88,716682.58,29.549999999999997,1990712.8999999997,1.36,0.59
BLD_004,Standard,508127.24,4,"window_replacement, hvac_upgrade_heat_pump, led_lighting, solar_pv","[{'measure': 'window_replacement', 'cost_eur': 97632.0, 'energy_saving_pct': 12.0, 'carbon_saving_pct': 14.4, 'lifetime_years': 30}, {'measure': 'hvac_upgrade_heat_pump', 'cost_eur': 12000, 'energy_saving_pct': 24.64, 'carbon_saving_pct': 30.82, 'lifetime_years': 15}, {'measure': 'led_lighting', 'cost_eur': 46670.5, 'energy_saving_pct': 6.08, 'carbon_saving_pct': 3.51, 'lifetime_years': 15}, {'measure': 'solar_pv', 'cost_eur': 16801.38, 'energy_saving_pct': 11.46, 'carbon_saving_pct': 12.31, 'lifetime_years': 25}]",173103.88,275293.42,41294.01,108536.48,54.18,61.03,4.19,441246.76,254.9,D,A,industrial,1866.82,D,1982,42,44843.67,710495.15,1.7699999999999998,1111165.02,25.746666666666666,2668568.33,1.59,0.63
BLD_004,Deep Retrofit,508127.24,6,"window_replacement, hvac_upgrade_heat_pump, led_lighting, solar_pv, smart_controls, ventilation_heat_recovery","[{'measure': 'window_replacement', 'cost_eur': 97632.0, 'energy_saving_pct': 12.0, 'carbon_saving_pct': 14.4, 'lifetime_years': 30}, {'measure': 'hvac_upgrade_heat_pump', 'cost_eur': 12000, 'energy_saving_pct': 24.64, 'carbon_saving_pct': 30.82, 'lifetime_years': 15}, {'measure': 'led_lighting', 'cost_eur': 46670.5, 'energy_saving_pct': 6.08, 'carbon_saving_pct': 3.51, 'lifetime_years': 15}, {'measure': 'solar_pv', 'cost_eur': 16801.38, 'energy_saving_pct': 11.46, 'carbon_saving_pct': 12.31, 'lifetime_years': 25}, {'measure': 'smart_controls', 'cost_eur': 3500, 'energy_saving_pct': 5.5, 'carbon_saving_pct': 3.74, 'lifetime_years': 10}, {'measure': 'ventilation_heat_recovery', 'cost_eur': 8500, 'energy_saving_pct': 3.87, 'carbon_saving_pct': 2.82, 'lifetime_years': 20}]",185103.88,322903.28,48435.49,120202.41,63.55,67.59,3.82,535493.93,289.29,D,A,industrial,1866.82,D,1982,42,44843.67,710495.15,1.7466666666666668,1213241.91,27.486666666666665,2960216.58,1.54,0.57
BLD_005,Minimal,295893.63,2,"hvac_upgrade_heat_pump, led_lighting","[{'measure': 'hvac_upgrade_heat_pump', 'cost_eur': 12000, 'energy_saving_pct': 28.0, 'carbon_saving_pct': 36.0, 'lifetime_years': 15}, {'measure': 'led_lighting', 'cost_eur': 49734.25, 'energy_saving_pct': 6.91, 'carbon_saving_pct': 4.1, 'lifetime_years': 15}]",61734.25,103302.38,15495.36,41524.53,34.91,40.1,3.98,168797.54,273.43,D,C,educational,1989.37,D,1981,43,1200.0,15500.0,0.79,32650.0,24.19,1036913.25,1.49,0.6
BLD_005,Standard,295893.63,4,"hvac_upgrade_heat_pump, led_lighting, solar_pv, smart_controls","[{'measure': 'hvac_upgrade_heat_pump', 'cost_eur': 12000, 'energy_saving_pct': 28.0, 'carbon_saving_pct': 36.0, 'lifetime_years': 15}, {'measure': 'led_lighting', 'cost_eur': 49734.25, 'energy_saving_pct': 6.91, 'carbon_saving_pct': 4.1, 'lifetime_years': 15}, {'measure': 'solar_pv', 'cost_eur': 8952.12, 'energy_saving_pct': 13.02, 'carbon_saving_pct': 14.38, 'lifetime_years': 25}, {'measure': 'smart_controls', 'cost_eur': 3500, 'energy_saving_pct': 6.25, 'carbon_saving_pct': 4.37, 'lifetime_years': 10}]",74186.37,160309.39,24046.41,60940.02,54.18,58.84,3.09,283563.47,382.23,D,A,educational,1989.37,D,1981,43,14628.18,202002.5,2.295,111727.06,14.885000000000002,1508872.32,1.22,0.46
BLD_005,Deep Retrofit,295893.63,5,"hvac_upgrade_heat_pump, led_lighting, solar_pv, smart_controls, ventilation_heat_recovery","[{'measure': 'hvac_upgrade_heat_pump', 'cost_eur': 12000, 'energy_saving_pct': 28.0, 'carbon_saving_pct': 36.0, 'lifetime_years': 15}, {'measure': 'led_lighting', 'cost_eur': 49734.25, 'energy_saving_pct': 6.91, 'carbon_saving_pct': 4.1, 'lifetime_years': 15}, {'measure': 'solar_pv', 'cost_eur': 8952.12, 'energy_saving_pct': 13.02, 'carbon_saving_pct': 14.38, 'lifetime_years': 25}, {'measure': 'smart_controls', 'cost_eur': 3500, 'energy_saving_pct': 6.25, 'carbon_saving_pct': 4.37, 'lifetime_years': 10}, {'measure': 'ventilation_heat_recovery', 'cost_eur': 8500, 'energy_saving_pct': 4.4, 'carbon_saving_pct': 3.29, 'lifetime_years': 20}]",82686.37,173325.48,25998.82,64349.84,58.58,62.14,3.18,304110.45,367.79,D,A,educational,1989.37,D,1981,43,14628.18,202002.5,2.295,111727.06,14.885000000000002,1594117.82,1.28,0.48
BLD_006,Minimal,638316.35,2,"wall_insulation, roof_insulation","[{'measure': 'wall_insulation', 'cost_eur': 40828.05, 'energy_saving_pct': 17.6, 'carbon_saving_pct': 20.0, 'lifetime_years': 40}, {'measure': 'roof_insulation', 'cost_eur': 116887.5, 'energy_saving_pct': 11.87, 'carbon_saving_pct': 9.6, 'lifetime_years': 40}]",157715.55,188083.74,28212.56,66129.57,29.47,29.6,5.59,262016.12,166.13,G,F,industrial,1558.5,G,1937,87,16148.150000000001,263489.9,0.49,1637002.15,131.685,1637091.1000000003,2.38,0.84
BLD_006,Standard,638316.35,4,"wall_insulation, roof_insulation, window_replacement, hvac_upgrade_heat_pump","[{'measure': 'wall_insulation', 'cost_eur': 40828.05, 'energy_saving_pct': 17.6, 'carbon_saving_pct': 20.0, 'lifetime_years': 40}, {'measure': 'roof_insulation', 'cost_eur': 116887.5, 'energy_saving_pct': 11.87, 'carbon_saving_pct': 9.6, 'lifetime_years': 40}, {'measure': 'window_replacement', 'cost_eur': 33030.0, 'energy_saving_pct': 8.46, 'carbon_saving_pct': 10.14, 'lifetime_years': 30}, {'measure': 'hvac_upgrade_heat_pump', 'cost_eur': 12000, 'energy_saving_pct': 17.38, 'carbon_saving_pct': 21.69, 'lifetime_years': 15}]",202745.55,353048.97,52957.35,137245.82,55.31,61.43,3.83,585126.03,288.6,G,D,industrial,1558.5,G,1937,87,23587.15,395695.9,0.3625,4641831.3,188.2825,3407558.35,1.48,0.57
BLD_006,Deep Retrofit,638316.35,8,"wall_insulation, roof_insulation, window_replacement, hvac_upgrade_heat_pump, led_lighting, solar_pv, smart_controls, ventilation_heat_recovery","[{'measure': 'wall_insulation', 'cost_eur': 40828.05, 'energy_saving_pct': 17.6, 'carbon_saving_pct': 20.0, 'lifetime_years': 40}, {'measure': 'roof_insulation', 'cost_eur': 116887.5, 'energy_saving_pct': 11.87, 'carbon_saving_pct': 9.6, 'lifetime_years': 40}, {'measure': 'window_replacement', 'cost_eur': 33030.0, 'energy_saving_pct': 8.46, 'carbon_saving_pct': 10.14, 'lifetime_years': 30}, {'measure': 'hvac_upgrade_heat_pump', 'cost_eur': 12000, 'energy_saving_pct': 17.38, 'carbon_saving_pct': 21.69, 'lifetime_years': 15}, {'measure': 'led_lighting', 'cost_eur': 38962.5, 'energy_saving_pct': 4.29, 'carbon_saving_pct': 2.47, 'lifetime_years': 15}, {'measure': 'solar_pv', 'cost_eur': 28053.0, 'energy_saving_pct': 8.08, 'carbon_saving_pct': 8.66, 'lifetime_years': 25}, {'measure': 'smart_controls', 'cost_eur': 3500, 'energy_saving_pct': 3.88, 'carbon_saving_pct': 2.63, 'lifetime_years': 10}, {'measure': 'ventilation_heat_recovery', 'cost_eur': 8500, 'energy_saving_pct': 2.73, 'carbon_saving_pct': 1.98, 'lifetime_years': 20}]",281761.05,474196.3,71129.45,172433.51,74.29,77.18,3.96,776465.49,275.58,G,D,industrial,1558.5,G,1937,87,65666.65,980133.4,1.024,6077217.32,189.272,4245171.1,1.63,0.59
