year,total_consumption_kwh,heating_cooling_kwh,lighting_kwh,equipment_kwh,other_kwh,cost_eur,carbon_emissions_kgco2,building_id
2019,453469.12,247173.06,101214.03,95167.68,9914.34,68020.37,158714.19,BLD_001
2020,450085.46,209559.54,70127.08,106498.15,63900.69,67512.82,157529.91,BLD_001
2021,477790.36,248836.69,72652.06,118009.91,38291.7,71668.55,167226.63,BLD_001
2022,495849.79,233661.24,83393.26,83471.58,95323.72,74377.47,173547.43,BLD_001
2023,477255.28,239809.15,92203.1,85487.36,59755.67,71588.29,167039.35,BLD_001
2019,313328.71,145368.66,56153.04,58478.47,53328.53,46999.31,109665.05,BLD_002
2020,313129.1,165494.24,53221.73,63071.54,31341.59,46969.36,109595.18,BLD_002
2021,322108.18,146444.88,67885.74,53808.95,53968.6,48316.23,112737.86,BLD_002
2022,309722.71,168764.36,76366.22,71496.31,-6904.18,46458.41,108402.95,BLD_002
2023,322037.02,148062.06,70340.39,62480.09,41154.47,48305.55,112712.96,BLD_002
2019,121532.69,60707.73,18647.84,29281.12,12896.01,18229.9,42536.44,BLD_003
2020,125108.73,64587.66,22666.09,25272.81,12582.17,18766.31,43788.06,BLD_003
2021,130703.48,61232.68,32278.33,29736.78,7455.69,19605.52,45746.22,BLD_003
2022,137791.36,74336.06,28907.25,33371.33,1176.72,20668.7,48226.98,BLD_003
2023,128375.53,60284.93,19836.94,23432.77,24820.89,19256.33,44931.43,BLD_003
2019,461509.51,220202.3,107473.45,85690.93,48142.83,69226.43,161528.33,BLD_004
2020,463328.32,233642.39,76028.67,106667.31,46989.96,69499.25,162164.91,BLD_004
2021,460254.54,252536.46,104581.1,78184.16,24952.82,69038.18,161089.09,BLD_004
2022,463590.71,246419.85,102307.86,103334.7,11528.3,69538.61,162256.75,BLD_004
2023,508127.24,232419.67,94433.71,82106.71,99167.16,76219.09,177844.53,BLD_004
2019,288624.66,147871.02,52844.23,45128.15,42781.26,43293.7,101018.63,BLD_005
2020,277346.15,133824.6,61837.27,59284.33,22399.95,41601.92,97071.15,BLD_005
2021,297975.02,148159.58,48259.86,65949.17,35606.41,44696.25,104291.26,BLD_005
2022,298634.85,151147.37,67818.99,59541.68,20126.79,44795.23,104522.2,BLD_005
2023,295893.63,145802.8,45136.18,47576.48,57378.17,44384.04,103562.77,BLD_005
2019,557052.46,286125.01,101069.15,111887.93,57970.38,83557.87,194968.36,BLD_006
2020,617381.07,293212.31,117943.43,139253.46,66971.88,92607.16,216083.37,BLD_006
2021,585645.07,268048.57,104815.91,97288.61,115491.98,87846.76,204975.77,BLD_006
2022,636980.42,338116.88,135893.64,151057.4,11912.51,95547.06,222943.15,BLD_006
2023,638316.35,299151.43,152720.95,130174.55,56269.42,95747.45,223410.72,BLD_006
2019,297665.43,160622.98,54115.68,47925.68,35001.09,44649.81,104182.9,BLD_007
