measure,embodied_carbon_kgco2eq,annual_carbon_savings_kgco2eq,carbon_payback_years,lifespan_years,lifetime_carbon_benefit_kgco2eq,benefit_to_impact_ratio,building_id,scenario_name
window_replacement,9831.86,18882.13,0.52,35,651042.6,66.22,BLD_001,Minimal
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_001,Minimal
window_replacement,9831.86,25485.55,0.39,35,882162.39,89.72,BLD_001,Standard
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_001,Standard
solar_pv,69803.06,18369.22,3.8,25,389427.44,5.58,BLD_001,Standard
window_replacement,9831.86,28224.84,0.35,35,978037.45,99.48,BLD_001,Deep Retrofit
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_001,Deep Retrofit
solar_pv,69803.06,18369.22,3.8,25,389427.44,5.58,BLD_001,Deep Retrofit
wall_insulation,5364.27,8340.76,0.64,50,411673.73,76.74,BLD_002,Minimal
roof_insulation,4430.85,8340.76,0.53,50,412607.15,93.12,BLD_002,Minimal
wall_insulation,5364.27,17310.47,0.31,50,860159.48,160.35,BLD_002,Standard
roof_insulation,4430.85,17310.47,0.26,50,861092.9,194.34,BLD_002,Standard
window_replacement,23406.66,17310.47,1.35,35,582459.96,24.88,BLD_002,Standard
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_002,Standard
wall_insulation,5364.27,21748.61,0.25,50,1082066.23,201.72,BLD_002,Deep Retrofit
roof_insulation,4430.85,21748.61,0.2,50,1082999.65,244.42,BLD_002,Deep Retrofit
window_replacement,23406.66,21748.61,1.08,35,737794.69,31.52,BLD_002,Deep Retrofit
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_002,Deep Retrofit
solar_pv,16353.87,4303.65,3.8,25,91237.38,5.58,BLD_002,Deep Retrofit
window_replacement,12130.0,5079.05,2.39,35,165636.75,13.66,BLD_003,Minimal
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_003,Minimal
window_replacement,12130.0,6855.28,1.77,35,227804.98,18.78,BLD_003,Standard
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_003,Standard
solar_pv,12856.35,3383.25,3.8,25,71724.9,5.58,BLD_003,Standard
window_replacement,12130.0,7275.53,1.67,35,242513.64,19.99,BLD_003,Deep Retrofit
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_003,Deep Retrofit
solar_pv,12856.35,3383.25,3.8,25,71724.9,5.58,BLD_003,Deep Retrofit
window_replacement,19591.49,20103.54,0.97,35,684032.58,34.91,BLD_004,Minimal
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_004,Minimal
