building_id,type,floor_area,efficiency_rating,hvac_efficiency
BLD_001,industrial,4084.4434408710476,C,0.8728918500954692
BLD_002,residential,1202.0838819909643,C,0.6203292642588698
BLD_003,educational,2001.6887501255983,B,0.8278109655320984
BLD_004,residential,4864.594334728975,F,0.6743186887373966
BLD_005,educational,4964.952016810479,E,0.8140786061708982
BLD_006,residential,2443.752583889521,C,0.8141485131528328
BLD_007,commercial,709.9954844612694,G,0.6814699691506064
BLD_008,commercial,4033.291826268561,C,0.779982053444764
BLD_009,educational,2600.43301961591,F,0.8381076385057229
BLD_010,residential,792.7321684337578,F,0.9379712115760958
BLD_011,commercial,2234.3742614296225,A,0.6808128389677521
BLD_012,educational,2480.686221828206,B,0.7733119185389445
BLD_013,industrial,1280.1409407849744,D,0.6637826307258218
BLD_014,educational,1902.6998424023493,D,0.7913485977701479
BLD_015,commercial,640.9098160500137,F,0.757413946679418
BLD_016,commercial,4526.72307692442,E,0.9226559822580909
BLD_017,educational,3066.997884824297,D,0.9364102085222721
BLD_018,residential,2249.047803602669,C,0.8900581282031752
BLD_019,commercial,4843.648882688621,E,0.6965997137078901
BLD_020,residential,4109.886413393178,B,0.945410427810181
BLD_021,educational,2276.9668317900637,C,0.6049279379502795
BLD_022,industrial,3680.858047314277,E,0.869944621340081
BLD_023,residential,4668.35395331007,E,0.9202358864403233
BLD_024,residential,3304.8415707240106,D,0.6222454226001083
BLD_025,industrial,3509.785636986233,E,0.8069542256977045
BLD_026,commercial,4492.457341593469,D,0.6418579860784056
BLD_027,commercial,4320.1122091973775,E,0.6825947219121344
BLD_028,commercial,2722.080183639758,D,0.7496393564254924
BLD_029,commercial,2477.0142583959655,C,0.9135172584857317
BLD_030,residential,1914.60191484347,D,0.9176482658741325
BLD_031,industrial,3219.8782067501775,D,0.6710714286571693
BLD_032,residential,846.4095942295685,C,0.6564274505389015
BLD_033,commercial,3309.59321660207,C,0.6369229909405947
BLD_034,educational,4116.524346046015,C,0.9123956494714922
BLD_035,industrial,1959.5525945237328,B,0.7247042433269412
BLD_036,commercial,995.2336603745455,C,0.7494877260191897
BLD_037,educational,2086.5598535037607,D,0.6576295486000295
BLD_038,industrial,2378.3495141695057,C,0.641952878566789
BLD_039,educational,1598.5648501149838,C,0.6765674768505745
BLD_040,educational,3663.5853150283,D,0.9401237289523362
BLD_041,educational,1610.9422827737053,E,0.8492947064735547
BLD_042,residential,1781.7822246986043,A,0.8133475168929638
BLD_043,commercial,2349.666559932041,A,0.720774936809339
BLD_044,residential,1578.028508001376,B,0.771308466097147
BLD_045,educational,2988.018900820976,E,0.6282986642164503
BLD_046,educational,1569.3689479657985,E,0.7287240964517386
BLD_047,educational,4925.404134026793,D,0.8857511556267843
BLD_048,educational,4258.861230151571,D,0.6652814786399489
BLD_049,residential,4362.61462166174,D,0.6770843666479419
BLD_050,commercial,2804.418762346764,C,0.8258104766433074
