building_id,building_type,building_function,construction_year,building_age_years,architectural_style,quality_rating,epc_rating,num_floors,floor_height_m,total_height_m,footprint_area_m2,total_floor_area_m2,building_width_m,building_length_m,rooftop_area_m2,wall_area_m2,window_area_m2,window_wall_ratio,volume_m3,wall_material,roof_material,window_type,hvac_system,wall_u_value,wall_r_value,roof_u_value,roof_r_value,window_u_value,window_shgc,envelope_avg_u_value,heat_loss_coefficient_w_k,thermal_mass_kj_k,wall_cost_per_m2,roof_cost_per_m2,window_cost_per_m2,hvac_system_cost,wall_carbon_kgco2_m2,roof_carbon_kgco2_m2,window_carbon_kgco2_m2,hvac_carbon_kgco2_year,total_embodied_carbon_kgco2eq,gwp_per_m2_kgco2eq,total_embodied_energy_mj,embodied_energy_per_m2_mj,avg_annual_consumption_kwh,std_annual_consumption_kwh,min_annual_consumption_kwh,max_annual_consumption_kwh,avg_annual_carbon_kgco2,avg_annual_cost_eur,best_retrofit_scenario,best_retrofit_cost_eur,best_retrofit_savings_kwh,best_retrofit_energy_pct,best_retrofit_roi_pct,best_retrofit_payback_years
BLD_001,industrial,Warehouse,2002,22,Neo-traditional,good,B,1,3.06,3.06,2449.23,2449.23,35.21,69.57,2449.23,640.51,108.88,0.17,7486.47,cavity_wall_insulated,pitched_insulated,double_glazed,district_heating,0.28,3.57,0.16,6.25,2.8,0.76,0.274,845.6,5156676.86,165,135,285,8000,48,42,75,1200,574437.64,215.18,3830824.67,1564.09,470890.002,19022.610356087283,450085.46,495849.79,164811.502,70633.5,Minimal,60996.0,174866.33,36.64,539.77,2.33
BLD_002,commercial,Hotel,1938,86,Traditional,poor,G,2,3.05,6.09,573.82,1147.64,17.46,32.86,573.82,613.06,259.21,0.423,3495.19,brick_uninsulated,pitched_uninsulated,single_glazed,gas_boiler_old,2.1,0.48,2.3,0.43,5.8,0.86,3.005,3566.29,2035696.5,85,75,185,3500,45,35,55,2500,263311.53,206.28,2482422.4,2163.07,316065.144,5668.255496784703,309722.71,322108.18,110622.8,47409.772000000004,Minimal,95146.6,94890.14,29.47,122.56,6.68
BLD_003,educational,Library,1972,52,Brutalist,fair,D,2,2.84,5.67,451.1,902.19,15.06,29.96,451.1,510.74,134.33,0.263,2558.99,cavity_wall_insulated,pitched_insulated,double_glazed,gas_boiler_old,0.28,3.57,0.16,6.25,2.8,0.76,0.576,553.69,1723974.19,165,135,285,3500,48,42,75,2500,134409.15,130.08,1072703.39,1189.0,128702.35800000001,6144.907741152013,121532.69,137791.36,45045.826,19305.352000000003,Deep Retrofit,106623.05,76610.26,59.68,60.35,9.28
BLD_004,industrial,Warehouse,1982,42,Neo-traditional,excellent,D,2,2.85,5.69,933.41,1866.82,23.37,39.93,933.41,720.64,216.96,0.301,5312.58,cavity_wall_insulated,pitched_insulated,double_glazed,gas_boiler_condensing,0.28,3.57,0.16,6.25,2.8,0.76,0.543,897.86,3080773.93,165,135,285,5500,48,42,75,1800,267426.21,125.03,2048210.19,1097.17,471362.06399999995,20597.712626013345,460254.54,508127.24,164976.722,70704.312,Deep Retrofit,185103.88,322903.28,63.55,289.29,3.82
BLD_005,educational,School,1981,43,Contemporary,good,D,4,2.74,10.94,497.34,1989.37,18.49,26.9,497.34,993.52,313.02,0.315,5443.27,brick_insulated,pitched_insulated,double_glazed_low_e,gas_boiler_condensing,0.35,2.86,0.16,6.25,1.8,0.7,0.591,881.19,3358924.52,145,135,385,5500,55,42,82,1800,332960.0,149.92,3467316.8,1742.92,291694.862,8951.887329533898,277346.15,298634.85,102093.202,43754.228,Standard,74186.37,160309.39,54.18,382.23,3.09
BLD_006,industrial,Manufacturing,1937,87,Edwardian,fair,G,1,2.93,2.93,1558.5,1558.5,30.16,51.67,1558.5,480.33,73.4,0.153,4573.88,brick_uninsulated,pitched_uninsulated,single_glazed,electric_resistance,2.1,0.48,2.3,0.43,5.8,0.86,2.386,4864.82,3524267.62,85,75,185,2500,45,35,55,3500,429885.41,256.86,3238820.6,2078.17,607075.074,35135.692614039006,557052.46,638316.35,212476.27399999998,91061.26,Standard,202745.55,353048.97,55.31,288.6,3.83
BLD_007,educational,School,2008,16,Contemporary,good,C,3,2.95,8.85,763.99,2291.96,24.41,31.3,763.99,985.65,310.52,0.315,6758.51,cavity_wall_insulated,flat_insulated,double_glazed_low_e,gas_boiler_condensing,0.28,3.57,0.18,5.56,1.8,0.7,0.506,885.49,4631592.81,165,155,385,5500,48,45,82,1800,253289.41,94.41,2132274.18,930.33,292518.852,9763.542663573488,282784.83,306689.39,102381.59599999999,43877.828,Standard,86550.82,166158.32,54.18,328.42,3.47
BLD_008,commercial,Mixed-use,1944,80,Classical,fair,G,3,2.79,8.37,336.39,1009.17,12.59,26.73,336.39,657.82,302.49,0.46,2814.29,brick_uninsulated,flat_uninsulated,single_glazed,gas_boiler_old,2.1,0.48,1.8,0.56,5.8,0.86,3.124,3106.14,1908669.59,85,85,185,3500,45,38,55,2500,221235.09,196.83,2314719.09,2293.69,278434.74199999997,10762.934082766184,268062.42,293796.15,97452.16,41765.21,Minimal,81143.95,86568.8,29.47,138.08,6.25
BLD_009,industrial,Workshop,1997,27,Postmodern,good,A,1,2.83,2.83,692.45,692.45,20.96,33.04,692.45,305.52,102.64,0.336,1958.92,timber_frame,flat_insulated,double_glazed_low_e,air_source_heat_pump,0.25,4.0,0.18,5.56,1.8,0.7,0.361,360.11,1482948.67,125,155,385,12000,28,45,82,800,172604.54,226.94,1246219.32,1799.72,105309.094,4870.833914729594,101106.12,112201.77,36858.182,15796.364000000001,Standard,33275.35,40794.77,36.36,173.59,5.44
BLD_010,commercial,Hotel,1932,92,Classical,fair,G,3,3.22,9.65,1116.15,3348.44,26.8,41.64,1116.15,1321.62,462.74,0.35,10775.78,brick_uninsulated,pitched_uninsulated,single_glazed,gas_boiler_old,2.1,0.48,2.3,0.43,5.8,0.86,2.894,7054.68,6400080.44,85,75,185,3500,45,35,55,2500,550301.02,144.73,5137210.41,1534.21,936333.93,44433.45853280556,889709.95,982592.34,327716.87600000005,140450.088,Minimal,196048.95,288756.22,29.47,228.69,4.53
BLD_011,commercial,Hotel,1954,70,International Style,fair,G,8,3.26,26.1,590.88,4727.06,17.75,33.28,590.88,2663.95,1174.56,0.441,15421.64,cavity_wall_insulated,pitched_insulated,single_glazed,gas_boiler_old,0.28,3.57,0.16,6.25,5.8,0.86,2.25,7324.02,7925739.02,165,135,185,3500,48,42,55,2500,356013.65,59.83,3762018.13,795.85,1307294.7559999998,39276.38664781135,1249531.01,1354007.66,457553.164,196094.212,Deep Retrofit,681364.34,844716.45,63.55,176.66,5.38
BLD_012,residential,Single-family,2020,4,Smart building,excellent,A,2,3.21,6.41,85.62,171.24,7.21,11.88,85.62,244.89,70.07,0.286,549.24,timber_frame,flat_insulated,double_glazed_low_e,ground_source_heat_pump,0.25,4.0,0.18,5.56,1.8,0.7,0.56,185.24,237459.15,125,155,385,22000,28,45,82,600,33536.86,160.03,305847.99,1786.08,12741.346000000001,382.9564986130938,12220.39,13197.02,4459.469999999999,1911.202,Minimal,3500.0,1533.9,12.0,-2.2,15.21
BLD_013,industrial,Factory,2002,22,Neo-traditional,good,A,1,3.35,3.35,2958.56,2958.56,41.49,71.3,2958.56,756.44,234.25,0.31,9920.47,brick_insulated,pitched_insulated,double_glazed_low_e,air_source_heat_pump,0.35,2.86,0.16,6.25,1.8,0.7,0.29,1077.79,4842145.88,145,135,385,12000,55,42,82,800,824827.93,254.88,6184088.3,2090.24,468240.38,24234.24451408376,428614.95,490928.24,163884.13400000002,70236.058,Standard,139218.08,208487.37,42.47,234.2,4.45
BLD_014,industrial,Factory,1943,81,Georgian,good,G,2,3.01,6.02,935.92,1871.83,21.12,44.31,935.92,787.67,265.72,0.337,5633.07,brick_uninsulated,pitched_uninsulated,single_glazed,gas_boiler_old,2.1,0.48,2.3,0.43,5.8,0.86,2.779,4789.89,4230073.6,85,75,185,3500,45,35,55,2500,374901.9,182.11,3378299.84,1804.81,737778.522,26077.678523930583,710009.02,766247.15,258222.484,110666.776,Deep Retrofit,344362.26,569234.31,74.29,268.89,4.03
BLD_015,educational,Training center,1938,86,Traditional,poor,G,4,3.5,13.99,968.3,3873.2,25.08,38.6,968.3,1781.71,789.45,0.443,13544.58,brick_uninsulated,flat_uninsulated,single_glazed,gas_boiler_old,2.1,0.48,1.8,0.56,5.8,0.86,3.057,8405.5,9212253.06,85,85,185,3500,45,38,55,2500,623339.88,143.64,6445235.57,1664.06,851973.1359999999,28465.97203649523,819890.16,885452.47,298190.598,127795.97,Minimal,224067.85,260903.88,29.47,159.85,5.73
BLD_016,educational,University,2011,13,Sustainable,excellent,A,3,2.83,8.49,1106.23,3318.7,29.07,38.06,1106.23,1139.51,489.66,0.43,9389.62,timber_frame,pitched_insulated,double_glazed_low_e,ground_source_heat_pump,0.25,4.0,0.16,6.25,1.8,0.7,0.544,1220.85,3774858.54,125,135,385,22000,28,42,82,600,367470.01,93.73,3089245.95,930.86,284305.448,12218.27130682857,266273.0,295609.72,99506.906,42645.818,Standard,114879.64,124349.1,42.47,141.56,6.16
BLD_017,commercial,Mixed-use,1991,33,Corporate,good,D,5,2.89,14.45,501.84,2509.21,15.36,32.66,501.84,1387.88,598.66,0.431,7251.12,cavity_wall_insulated,flat_insulated,double_glazed_low_e,district_heating,0.28,3.57,0.18,5.56,1.8,0.7,0.735,1388.9,3172146.79,165,155,385,8000,48,45,82,1200,244949.79,81.43,2551178.48,1016.73,467894.288,19361.06488711998,449062.63,495775.2,163763.0,70184.14199999999,Standard,87263.37,268601.33,54.18,586.9,2.17
BLD_018,industrial,Workshop,2011,13,Modern,excellent,A,2,3.16,6.32,2487.03,4974.06,36.63,67.89,2487.03,1321.83,328.48,0.249,15725.59,cavity_wall_insulated,flat_insulated,double_glazed_low_e,air_source_heat_pump,0.28,3.57,0.18,5.56,1.8,0.7,0.346,1317.07,10350409.07,165,155,385,12000,48,45,82,800,676409.1,118.08,4808136.54,966.64,759887.932,18645.85571302968,745483.45,792056.99,265960.778,113983.18999999999,Standard,181118.04,319965.96,42.47,294.24,3.77
BLD_019,educational,Library,1968,56,Post-war,fair,G,2,3.46,6.92,1371.84,2743.69,25.13,54.59,1371.84,1104.08,349.06,0.316,9499.9,concrete_block,flat_uninsulated,double_glazed,gas_boiler_old,1.8,0.56,1.8,0.56,2.8,0.76,1.941,4805.72,4525414.28,95,85,285,3500,65,38,75,2500,500367.56,163.08,4006439.32,1460.24,593053.162,26937.948011373664,569731.53,631808.49,207568.608,88957.972,Deep Retrofit,471097.17,469361.7,74.29,122.34,6.69
BLD_020,industrial,Workshop,1937,87,Victorian,fair,G,1,3.16,3.16,2840.39,2840.39,36.73,77.32,2840.39,719.93,121.98,0.169,8964.4,brick_uninsulated,flat_uninsulated,single_glazed,gas_boiler_old,2.1,0.48,1.8,0.56,5.8,0.86,1.987,7075.88,6731809.27,85,85,185,3500,45,38,55,2500,762067.5,248.62,5601941.8,1972.24,1104792.52,52610.545141634335,1024475.22,1169521.8,386677.38200000004,165718.878,Standard,341114.3,646855.54,55.31,323.18,3.52
BLD_021,residential,Townhouse,1934,90,Traditional,fair,G,3,3.04,9.11,173.98,521.94,10.48,16.61,173.98,493.33,99.28,0.201,1584.51,brick_uninsulated,pitched_uninsulated,single_glazed,gas_boiler_old,2.1,0.48,2.3,0.43,5.8,0.86,2.703,1803.48,756935.61,85,75,185,3500,45,35,55,2500,131174.47,228.55,1366622.96,2618.35,96936.232,5061.613419367383,90220.58,102600.84,33927.68,14540.435999999998,Deep Retrofit,131337.69,69788.43,71.56,18.58,12.55
BLD_022,commercial,Hotel,2001,23,Postmodern,good,F,6,2.78,16.65,604.2,3625.17,18.92,31.94,604.2,1693.61,837.61,0.495,10060.53,brick_insulated,pitched_insulated,double_glazed,gas_boiler_condensing,0.35,2.86,0.16,6.25,2.8,0.76,1.193,2741.58,4146951.47,145,135,285,5500,55,42,75,1800,561716.61,137.96,6367635.01,1756.51,862873.75,26782.252451099965,822919.31,896942.41,302005.814,129431.06199999999,Deep Retrofit,502429.35,547000.07,63.55,142.96,6.12
BLD_023,educational,University,1953,71,Modernist,fair,G,3,3.07,9.2,698.7,2096.09,16.87,41.41,698.7,1072.15,448.59,0.418,6426.22,brick_uninsulated,flat_uninsulated,single_glazed,gas_boiler_old,2.1,0.48,1.8,0.56,5.8,0.86,2.919,5168.96,5062670.88,85,85,185,3500,45,38,55,2500,391876.71,168.63,3948368.8,1883.68,446145.29000000004,15137.452702345607,421904.33,460756.89,156150.852,66921.794,Minimal,143535.25,130765.36,29.47,103.31,7.32
BLD_024,industrial,Warehouse,2001,23,Neo-traditional,good,B,1,2.72,2.72,1597.43,1597.43,35.03,45.61,1597.43,438.69,150.26,0.343,4345.45,timber_frame,flat_insulated,double_glazed,gas_boiler_condensing,0.25,4.0,0.18,5.56,2.8,0.76,0.383,780.37,2173147.2,125,155,285,5500,28,45,75,1800,382712.87,220.1,2663818.61,1667.57,301751.102,10848.414771295846,288062.34,318061.45,105612.88600000001,45262.666000000005,Minimal,79617.0,111370.1,36.64,212.16,4.77
BLD_025,educational,University,1938,86,Victorian,poor,G,4,3.23,12.9,1102.1,4408.39,24.27,45.42,1102.1,1798.22,606.24,0.337,14220.1,concrete_block,pitched_uninsulated,single_glazed,gas_boiler_old,1.8,0.56,2.3,0.43,5.8,0.86,2.826,8196.59,6371541.32,95,75,185,3500,65,35,55,2500,568000.31,110.6,4774816.21,1083.12,963439.3039999999,27350.95508777492,937741.13,996483.06,337203.75800000003,144515.898,Minimal,235506.2,291567.08,29.47,176.28,5.38
BLD_026,educational,University,1924,100,Edwardian,fair,G,1,3.08,3.08,1341.01,1341.01,25.18,53.25,1341.01,483.06,130.22,0.27,4129.41,brick_uninsulated,pitched_uninsulated,single_glazed,gas_boiler_old,2.1,0.48,2.3,0.43,5.8,0.86,2.511,4580.56,2309999.77,85,75,185,3500,45,35,55,2500,393111.18,269.03,3035721.86,2263.76,296651.37,8255.667190551594,287192.57,307019.18,103827.978,44497.708,Deep Retrofit,281898.28,219018.52,74.29,73.38,8.58
BLD_027,residential,Townhouse,2011,13,Smart building,excellent,B,1,3.1,3.1,82.6,82.6,5.85,14.12,82.6,123.84,31.94,0.258,256.13,timber_frame,flat_insulated,triple_glazed,district_heating,0.25,4.0,0.18,5.56,0.8,0.5,0.307,63.4,191298.27,125,155,485,8000,28,45,95,1200,24151.79,268.63,221949.13,2687.04,7786.404,378.0359272344366,7317.34,8155.56,2725.2419999999997,1167.9599999999998,Minimal,5565.0,1667.65,20.45,-33.13,22.25
BLD_028,educational,Training center,1989,35,Contemporary,good,E,2,3.36,6.71,541.35,1082.7,15.5,34.94,541.35,677.09,254.04,0.375,3634.1,timber_frame,flat_insulated,double_glazed,gas_boiler_condensing,0.25,4.0,0.18,5.56,2.8,0.76,0.751,914.52,2002038.89,125,155,285,5500,28,45,75,1800,169162.37,138.0,1472646.26,1360.16,180454.646,2150.558822290161,178011.15,183104.39,63159.126000000004,27068.195999999996,Deep Retrofit,175129.8,113122.03,63.55,44.15,10.32
BLD_029,commercial,Mixed-use,1990,34,High-tech,excellent,C,1,2.72,2.72,587.08,587.08,15.98,36.73,587.08,286.63,158.68,0.554,1596.04,brick_insulated,pitched_insulated,double_glazed_low_e,district_heating,0.35,2.86,0.16,6.25,1.8,0.7,0.486,424.34,1107697.12,145,135,385,8000,55,42,82,1200,197372.0,312.33,1745987.77,2974.02,97934.48000000001,2519.4213729346666,95091.23,101919.31,34277.068,14690.172,Standard,40744.44,52691.08,54.18,188.6,5.16
BLD_030,residential,Single-family,1976,48,Brutalist,fair,G,2,3.29,6.57,176.65,353.3,9.52,18.55,176.65,368.94,64.76,0.176,1160.69,brick_uninsulated,flat_uninsulated,double_glazed,gas_boiler_old,2.1,0.48,1.8,0.56,2.8,0.76,2.086,1138.08,779911.62,85,85,285,3500,45,38,75,2500,106293.63,281.23,1098612.24,3109.57,64937.867999999995,2214.978504516466,63065.45,68539.14,22728.252,9740.682,Deep Retrofit,101262.85,49045.37,71.56,8.09,13.76
