building_id,timestamp,building_type,total_floor_area_m2,num_floors,building_age_years,epc_rating,envelope_avg_u_value,window_wall_ratio,outdoor_temperature,outdoor_humidity,solar_radiation,indoor_temperature,indoor_humidity,co2_level,occupancy_ratio,total_energy_consumption_kwh,day_of_week,month,day_of_year
BLD_001,2023-01-01 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,11.52,75.86,824.15,19.18,46.55,408.9,0.292,209.866,6,1,1
BLD_001,2023-01-02 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,9.28,76.41,692.57,20.03,42.05,426.45,0.857,229.529,0,1,2
BLD_001,2023-01-03 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,12.63,81.66,804.06,19.67,52.49,413.09,0.766,221.182,1,1,3
BLD_001,2023-01-04 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,12.55,79.6,709.02,20.74,48.27,448.87,0.895,239.772,2,1,4
BLD_001,2023-01-05 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,8.43,73.22,887.89,19.67,50.36,447.76,0.752,248.232,3,1,5
BLD_001,2023-01-06 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,9.65,73.41,784.11,20.19,47.31,430.77,0.886,244.751,4,1,6
BLD_001,2023-01-07 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,12.88,71.5,884.65,20.01,48.09,403.83,0.24,174.453,5,1,7
BLD_001,2023-01-08 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,9.73,81.34,944.15,20.56,52.21,396.64,0.316,226.08,6,1,8
BLD_001,2023-01-09 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,10.95,76.9,879.47,19.16,50.25,443.63,0.748,250.289,0,1,9
BLD_001,2023-01-10 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,10.47,67.91,666.33,19.46,51.12,405.76,0.947,262.769,1,1,10
BLD_001,2023-01-11 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,13.98,69.02,903.83,19.98,45.15,401.08,0.862,235.151,2,1,11
BLD_001,2023-01-12 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,11.59,75.77,688.46,19.53,41.24,416.59,0.875,250.4,3,1,12
BLD_001,2023-01-13 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,9.73,80.02,860.9,19.75,47.27,435.2,0.799,254.262,4,1,13
BLD_001,2023-01-14 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,12.7,77.25,952.13,20.38,50.99,430.5,0.33,208.562,5,1,14
BLD_001,2023-01-15 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,9.84,76.45,737.03,18.65,54.47,412.41,0.382,227.615,6,1,15
BLD_001,2023-01-16 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,12.84,73.24,686.92,20.3,46.52,461.96,0.747,227.008,0,1,16
BLD_001,2023-01-17 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,13.53,69.26,714.78,20.38,50.6,423.51,0.914,238.172,1,1,17
BLD_001,2023-01-18 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,12.67,85.46,648.91,19.13,52.98,419.08,0.889,229.638,2,1,18
BLD_001,2023-01-19 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,10.81,73.01,668.7,19.59,50.91,440.62,0.98,255.674,3,1,19
BLD_001,2023-01-20 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,13.75,68.26,778.49,19.96,46.47,399.99,0.706,222.829,4,1,20
BLD_001,2023-01-21 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,9.92,76.31,739.08,20.21,41.84,398.75,0.257,219.446,5,1,21
BLD_001,2023-01-22 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,9.99,71.78,746.95,19.61,51.79,369.09,0.304,254.024,6,1,22
BLD_001,2023-01-23 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,12.68,72.8,647.1,19.83,42.65,453.96,0.796,237.544,0,1,23
BLD_001,2023-01-24 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,10.75,71.74,775.84,19.21,52.06,448.28,0.992,263.013,1,1,24
BLD_001,2023-01-25 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,13.42,73.13,655.73,20.15,45.09,440.62,0.773,234.274,2,1,25
BLD_001,2023-01-26 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,10.28,73.87,714.2,20.33,50.19,408.38,0.702,255.295,3,1,26
BLD_001,2023-01-27 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,14.05,70.94,670.23,19.91,42.77,457.26,0.826,210.419,4,1,27
BLD_001,2023-01-28 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,13.35,71.58,657.57,20.19,50.06,433.12,0.361,216.916,5,1,28
BLD_001,2023-01-29 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,12.37,73.07,800.45,20.48,39.38,368.38,0.334,191.066,6,1,29
BLD_001,2023-01-30 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,9.69,73.33,836.73,19.79,38.35,482.37,0.858,235.652,0,1,30
BLD_001,2023-01-31 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,13.94,71.17,875.73,19.4,47.38,431.49,0.908,232.724,1,1,31
BLD_001,2023-02-01 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,10.67,75.76,907.82,19.94,43.44,437.2,0.87,232.435,2,2,32
BLD_001,2023-02-02 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,11.94,71.85,929.76,19.08,45.17,419.73,0.86,244.295,3,2,33
