cell_id,test_condition,operating_temperature_K,current_density_A_cm2,fuel_utilization,test_duration_hours,total_cycles,final_voltage_V,voltage_degradation_rate_mV_kh,final_Ni_particle_size_nm,TPB_loss_percent,cracks_observed,delamination_observed,failure_mode
SOFC_EXP_001,Low-stress baseline,873,0.5,0.6,2865,1432,0.7,104.71204188481677,499.2550940821886,5.023692293401041,1,0,Normal degradation
SOFC_EXP_002,Nominal operation,973,1.0,0.7,2466,1233,0.7,121.65450121654503,502.44552502786973,1.0316778495013779,1,0,Normal degradation
SOFC_EXP_003,High-stress,1073,1.2,0.8,2183,1091,0.7,137.42556115437475,483.70185168049545,-4.770356098217601,1,1,Normal degradation
SOFC_EXP_004,High fuel util,973,0.8,0.85,921,460,0.7,325.73289902280135,503.31089786191984,2.0698060665422524,1,0,Normal degradation
SOFC_EXP_005,Thermal cycling,973,1.0,0.7,2662,1331,0.7,112.69722013523669,494.90161494424507,-0.21553364315302304,1,0,Normal degradation
SOFC_EXP_006,Low-stress baseline,873,0.5,0.6,1181,590,0.7,254.02201524132096,540.6915036840167,10.894401594576486,0,1,Normal degradation
SOFC_EXP_007,Nominal operation,973,1.0,0.7,1290,645,0.7,232.55813953488376,478.689258585228,4.026931427937761,1,0,Normal degradation
SOFC_EXP_008,High-stress,1073,1.2,0.8,548,274,0.7,547.4452554744527,509.35530965750127,-2.472129808817023,1,1,Normal degradation
SOFC_EXP_009,High fuel util,973,0.8,0.85,750,375,0.7,400.00000000000006,509.7223173047194,2.103844210390271,1,0,Normal degradation
SOFC_EXP_010,Thermal cycling,973,1.0,0.7,857,428,0.7,350.0583430571763,511.78414834120383,10.14181519501653,1,0,Normal degradation
SOFC_EXP_011,Low-stress baseline,873,0.5,0.6,2089,1044,0.7,143.60938247965538,535.1039971354738,10.02467327514955,1,0,Normal degradation
SOFC_EXP_012,Nominal operation,973,1.0,0.7,1150,575,0.7,260.86956521739137,526.2666728664832,-2.4311491711112687,0,1,Normal degradation
SOFC_EXP_013,High-stress,1073,1.2,0.8,2596,1298,0.7,115.56240369799694,478.2224870870751,-4.889404721396566,1,0,Normal degradation
SOFC_EXP_014,High fuel util,973,0.8,0.85,634,317,0.7,473.1861198738171,490.20166100382454,-1.9734998370686263,0,1,Normal degradation
SOFC_EXP_015,Thermal cycling,973,1.0,0.7,543,271,0.7,552.4861878453039,500.07863382324166,5.33423347258422,1,0,Normal degradation
