Temperature_C,Time_min,Linear_Shrinkage_percent,Shrinkage_Rate_percent_min,Relative_Density_fraction
25,0,0.000,0.0000,0.536
200,35,0.045,0.0013,0.537
400,70,-0.150,0.0014,0.535
600,105,-0.380,0.0022,0.532
800,140,0.680,0.0380,0.548
900,157,2.150,0.0880,0.580
1000,175,5.050,0.1610,0.640
1050,183,7.650,0.3250,0.695
1100,192,11.050,0.3780,0.765
1150,200,14.000,0.3690,0.825
1200,208,16.250,0.2810,0.870
1250,216,17.650,0.1750,0.900
1300,224,18.550,0.1130,0.920
1350,232,19.100,0.0690,0.935
1400,240,19.450,0.0440,0.945
1400,300,19.650,0.0033,0.950
