Temperature_C,Time_min,Linear_Shrinkage_percent,Shrinkage_Rate_percent_min,Relative_Density_fraction
25,0,0.000,0.0000,0.529
200,35,0.030,0.0009,0.530
400,70,-0.080,0.0008,0.529
600,105,-0.220,0.0015,0.527
800,140,0.450,0.0320,0.537
900,157,1.850,0.0820,0.565
1000,175,4.650,0.1550,0.625
1050,183,7.200,0.3180,0.680
1100,192,10.800,0.4000,0.755
1150,200,14.500,0.4630,0.835
1200,208,17.800,0.4130,0.900
1250,216,20.200,0.3000,0.945
1300,224,21.850,0.2060,0.975
1350,232,22.800,0.1190,0.990
1400,240,23.300,0.0630,0.996
1400,300,23.450,0.0025,0.998
